date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-29.97,0.2,99.8,Safe R,-30.03,3.11,-32.53,-31.03,1.06,35.01,64.99,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.66,-0.75,55.4,14.3,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-02,305,-29.97,0.2,99.8,Safe R,-30.03,3.11,-32.53,-31.03,1.06,35.01,64.99,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.66,-0.75,55.4,14.3,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-03,304,-29.97,0.2,99.8,Safe R,-30.03,3.11,-32.53,-31.03,1.06,35.01,64.99,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.66,-0.75,55.4,14.3,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-04,303,-30.02,0.2,99.8,Safe R,-30.03,3.05,-32.59,-31.03,1.0,34.99,65.01,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.72,-0.75,55.6,14.6,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-05,302,-30.0,0.2,99.8,Safe R,-30.03,3.08,-32.56,-31.03,1.03,35.0,65.0,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.69,-0.75,55.6,14.5,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-06,301,-30.0,0.2,99.8,Safe R,-30.03,3.08,-32.56,-31.03,1.03,35.0,65.0,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.69,-0.75,55.6,14.5,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-07,300,-30.0,0.2,99.8,Safe R,-30.03,3.08,-32.56,-31.03,1.03,35.0,65.0,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.69,-0.75,55.5,14.4,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-08,299,-29.99,0.2,99.8,Safe R,-30.03,3.09,-32.55,-31.03,1.04,35.01,64.99,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.68,-0.75,55.6,14.5,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-09,298,-29.99,0.2,99.8,Safe R,-30.03,3.09,-32.55,-31.03,1.04,35.01,64.99,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.68,-0.75,55.5,14.5,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
2026-01-10,297,-29.99,0.2,99.8,Safe R,-30.03,3.09,-32.55,-31.03,1.04,35.01,64.99,0.0,False,False,,,,0.0,0.0,0.0,37.0,49.5,1,-15.5,0.15,-27.68,-0.75,55.5,14.5,29.7,75.7,47.7,49.7,42.7,42.7,42.0,39.0,34.0,31.0,31.0,32.0,32.0,35.7,30.7,32.7,33.7,39.7,45.7,43.7,47.7,39.8,38.8,38.8,37.8,36.8,35.8,34.8,33.8,33.8,32.8,32.8,32.8,33.8,33.8,34.8,35.8
