date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,60.81,100.0,0.0,Safe D,49.24,3.11,60.81,48.71,12.1,80.4,19.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.39,0.23,21.6,-53.4,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-02,305,60.81,100.0,0.0,Safe D,49.24,3.11,60.81,48.71,12.1,80.4,19.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.39,0.23,21.6,-53.4,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-03,304,60.81,100.0,0.0,Safe D,49.24,3.11,60.81,48.71,12.1,80.4,19.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.39,0.23,21.6,-53.4,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-04,303,60.73,100.0,0.0,Safe D,49.22,3.05,60.73,48.71,12.02,80.37,19.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.33,0.23,21.7,-53.2,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-05,302,60.77,100.0,0.0,Safe D,49.23,3.08,60.77,48.71,12.06,80.38,19.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.36,0.23,21.7,-53.2,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-06,301,60.77,100.0,0.0,Safe D,49.23,3.08,60.77,48.71,12.06,80.38,19.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.36,0.23,21.7,-53.2,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-07,300,60.77,100.0,0.0,Safe D,49.23,3.08,60.77,48.71,12.06,80.38,19.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.36,0.23,21.7,-53.3,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-08,299,60.78,100.0,0.0,Safe D,49.23,3.09,60.78,48.71,12.07,80.39,19.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.37,0.23,21.7,-53.3,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-09,298,60.78,100.0,0.0,Safe D,49.23,3.09,60.78,48.71,12.07,80.39,19.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.37,0.23,21.7,-53.3,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-10,297,60.78,100.0,0.0,Safe D,49.23,3.09,60.78,48.71,12.07,80.39,19.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.37,0.23,21.7,-53.3,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-11,296,60.74,100.0,0.0,Safe D,49.23,3.06,60.74,48.71,12.04,80.37,19.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.34,0.23,21.6,-53.5,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-12,295,60.81,100.0,0.0,Safe D,49.24,3.11,60.81,48.71,12.1,80.4,19.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.39,0.23,21.5,-53.6,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-13,294,60.78,100.0,0.0,Safe D,49.23,3.09,60.78,48.71,12.07,80.39,19.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.37,0.23,21.4,-53.8,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-14,293,60.79,100.0,0.0,Safe D,49.24,3.1,60.79,48.71,12.09,80.4,19.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.38,0.23,21.5,-53.7,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-15,292,60.81,100.0,0.0,Safe D,49.24,3.11,60.81,48.71,12.1,80.4,19.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.39,0.23,21.5,-53.7,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-16,291,60.81,100.0,0.0,Safe D,49.24,3.11,60.81,48.71,12.1,80.4,19.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.39,0.23,21.5,-53.8,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-17,290,60.86,100.0,0.0,Safe D,49.25,3.15,60.86,48.71,12.15,80.43,19.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.43,0.23,21.4,-53.9,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.1,76.1,78.1,79.1,85.1,91.1,89.1,93.1,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-18,289,60.78,100.0,0.0,Safe D,49.23,3.09,60.78,48.71,12.07,80.39,19.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.37,0.23,21.4,-53.8,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-19,288,60.82,100.0,0.0,Safe D,49.24,3.12,60.82,48.71,12.11,80.41,19.59,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.4,0.23,21.4,-53.8,51.6,97.6,69.6,71.6,64.6,64.6,87.2,84.2,79.2,76.2,76.2,77.2,77.2,81.0,76.0,78.0,79.0,85.0,91.0,89.0,93.0,84.7,83.7,83.7,82.7,81.7,80.7,79.7,78.7,78.7,77.7,77.7,77.7,78.7,78.7,79.7,80.7
2026-01-20,287,60.91,100.0,0.0,Safe D,49.26,3.19,60.91,48.71,12.2,80.45,19.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.47,0.23,21.3,-54.0,51.6,97.6,69.6,71.6,64.6,64.6,87.3,84.3,79.3,76.3,76.3,77.3,77.3,81.1,76.1,78.1,79.1,85.1,91.1,89.1,93.1,84.8,83.8,83.8,82.8,81.8,80.8,79.8,78.8,78.8,77.8,77.8,77.8,78.8,78.8,79.8,80.8
2026-01-21,286,60.91,100.0,0.0,Safe D,49.26,3.19,60.91,48.71,12.2,80.45,19.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,53.47,0.23,21.4,-53.9,51.6,97.6,69.6,71.6,64.6,64.6,87.3,84.3,79.3,76.3,76.3,77.3,77.3,81.1,76.1,78.1,79.1,85.1,91.1,89.1,93.1,84.8,83.8,83.8,82.8,81.8,80.8,79.8,78.8,78.8,77.8,77.8,77.8,78.8,78.8,79.8,80.8
