section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,LA-03,house,Democratic candidate (LA-03),Republican candidate (LA-03),-32.05,0.1,99.9,Safe R,80533,156487,0,237021.0,33.98,66.02,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-35.7,5.32,False,-30.19,55.4,14.0,,,,,,,,,,,
demographic,,,,,,,,,29895,121450,0,,19.8,80.2,0.0,,,0.0,0,,,,,,,,,,,,,race,White,63.85,151345.0,,,,,,,
demographic,,,,,,,,,43242,22522,0,,65.8,34.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,27.75,65764.0,,,,,,,
demographic,,,,,,,,,4135,6817,0,,37.8,62.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,4.62,10952.0,,,,,,,
demographic,,,,,,,,,1891,2866,0,,39.8,60.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,2.01,4758.0,,,,,,,
demographic,,,,,,,,,1296,2661,0,,32.8,67.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.67,3956.0,,,,,,,
demographic,,,,,,,,,81,165,0,,32.8,67.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.1,246.0,,,,,,,
demographic,,,,,,,,,17537,25376,0,,40.9,59.1,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,18.11,42913.0,,,,,,,
demographic,,,,,,,,,16865,27673,0,,37.9,62.1,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.79,44537.0,,,,,,,
demographic,,,,,,,,,12538,25612,0,,32.9,67.1,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,16.1,38150.0,,,,,,,
demographic,,,,,,,,,12139,28506,0,,29.9,70.1,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.15,40645.0,,,,,,,
demographic,,,,,,,,,11489,26979,0,,29.9,70.1,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,16.23,38468.0,,,,,,,
demographic,,,,,,,,,6597,14777,0,,30.9,69.1,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,9.02,21374.0,,,,,,,
demographic,,,,,,,,,3375,7559,0,,30.9,69.1,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.61,10934.0,,,,,,,
demographic,,,,,,,,,12257,22616,0,,35.1,64.9,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,14.71,34873.0,,,,,,,
demographic,,,,,,,,,25954,60135,0,,30.1,69.9,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,36.32,86089.0,,,,,,,
demographic,,,,,,,,,14256,30089,0,,32.1,67.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,18.71,44346.0,,,,,,,
demographic,,,,,,,,,5693,11481,0,,33.1,66.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,7.25,17174.0,,,,,,,
demographic,,,,,,,,,14435,22438,0,,39.1,60.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,15.56,36873.0,,,,,,,
demographic,,,,,,,,,5544,6735,0,,45.1,54.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,5.18,12279.0,,,,,,,
demographic,,,,,,,,,1497,1972,0,,43.1,56.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,1.46,3469.0,,,,,,,
demographic,,,,,,,,,904,1014,0,,47.1,52.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,0.81,1918.0,,,,,,,
demographic,,,,,,,,,6829,10871,0,,38.6,61.4,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,7.47,17700.0,,,,,,,
demographic,,,,,,,,,5474,9092,0,,37.6,62.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,6.15,14566.0,,,,,,,
demographic,,,,,,,,,4295,7134,0,,37.6,62.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,4.82,11429.0,,,,,,,
demographic,,,,,,,,,4737,8213,0,,36.6,63.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,5.46,12950.0,,,,,,,
demographic,,,,,,,,,4023,7283,0,,35.6,64.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,4.77,11305.0,,,,,,,
demographic,,,,,,,,,3755,7104,0,,34.6,65.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,4.58,10858.0,,,,,,,
demographic,,,,,,,,,3152,6234,0,,33.6,66.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,3.96,9386.0,,,,,,,
demographic,,,,,,,,,2889,5979,0,,32.6,67.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,3.74,8868.0,,,,,,,
demographic,,,,,,,,,3363,6959,0,,32.6,67.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,4.35,10322.0,,,,,,,
demographic,,,,,,,,,5273,11423,0,,31.6,68.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,7.04,16696.0,,,,,,,
demographic,,,,,,,,,6330,13714,0,,31.6,68.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,8.46,20044.0,,,,,,,
demographic,,,,,,,,,8963,19417,0,,31.6,68.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,11.97,28380.0,,,,,,,
demographic,,,,,,,,,6911,14301,0,,32.6,67.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,8.95,21212.0,,,,,,,
demographic,,,,,,,,,4558,9432,0,,32.6,67.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,5.9,13991.0,,,,,,,
demographic,,,,,,,,,4990,9869,0,,33.6,66.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,6.27,14859.0,,,,,,,
demographic,,,,,,,,,4999,9457,0,,34.6,65.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,6.1,14456.0,,,,,,,
county,,,,,-59.93,,,,3768,15041,0,18809.0,,,,,,,0,,,,,,,,,,,,,,,,,22001,78.8,16.3,2.4,0.3,0.2,0.0
county,,,,,-10.51,,,,13854,17109,0,30963.0,,,,,,,0,,,,,,,,,,,,,,,,,22019,65.6,24.2,4.6,1.8,0.4,0.1
county,,,,,-82.27,,,,210,2157,0,2367.0,,,,,,,0,,,,,,,,,,,,,,,,,22023,93.2,1.2,3.0,0.3,0.4,0.0
county,,,,,-29.89,,,,7237,13408,0,20645.0,,,,,,,0,,,,,,,,,,,,,,,,,22045,58.5,31.0,5.0,2.8,0.3,0.0
county,,,,,-57.32,,,,2157,7950,0,10107.0,,,,,,,0,,,,,,,,,,,,,,,,,22053,79.0,15.5,2.0,0.3,0.4,0.0
county,,,,,-27.31,,,,28416,49773,0,78189.0,,,,,,,0,,,,,,,,,,,,,,,,,22055,65.1,23.7,5.9,2.2,0.3,0.0
county,,,,,-16.54,,,,8662,12096,0,20758.0,,,,,,,0,,,,,,,,,,,,,,,,,22097,55.0,39.8,2.2,0.5,0.2,0.0
county,,,,,-35.22,,,,5537,11559,0,17096.0,,,,,,,0,,,,,,,,,,,,,,,,,22099,66.1,27.6,2.9,0.8,0.3,0.0
county,,,,,-27.61,,,,5324,9385,0,14709.0,,,,,,,0,,,,,,,,,,,,,,,,,22101,56.5,29.5,7.9,1.4,1.7,0.0
county,,,,,-31.26,,,,1640,3132,0,4773.0,,,,,,,0,,,,,,,,,,,,,,,,,22109,66.6,18.1,5.7,1.2,5.0,0.0
county,,,,,-59.93,,,,3728,14877,0,18604.0,,,,,,,0,,,,,,,,,,,,,,,,,22113,79.2,12.7,3.5,2.2,0.3,0.0
