date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-43.0,0.0,100.0,Safe R,-34.54,3.11,-43.0,-34.59,-8.41,28.5,71.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.54,-0.41,57.0,17.4,13.1,59.1,31.1,33.1,26.1,26.1,35.5,32.5,27.5,24.5,24.5,25.5,25.5,29.9,24.9,26.9,27.9,33.9,39.9,37.9,41.9,33.0,32.0,32.0,31.0,30.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,27.0,27.0,28.0,29.0
2026-01-02,305,-43.0,0.0,100.0,Safe R,-34.54,3.11,-43.0,-34.59,-8.41,28.5,71.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.54,-0.41,57.0,17.4,13.1,59.1,31.1,33.1,26.1,26.1,35.5,32.5,27.5,24.5,24.5,25.5,25.5,29.9,24.9,26.9,27.9,33.9,39.9,37.9,41.9,33.0,32.0,32.0,31.0,30.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,27.0,27.0,28.0,29.0
2026-01-03,304,-43.0,0.0,100.0,Safe R,-34.54,3.11,-43.0,-34.59,-8.41,28.5,71.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.54,-0.41,57.0,17.4,13.1,59.1,31.1,33.1,26.1,26.1,35.5,32.5,27.5,24.5,24.5,25.5,25.5,29.9,24.9,26.9,27.9,33.9,39.9,37.9,41.9,33.0,32.0,32.0,31.0,30.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,27.0,27.0,28.0,29.0
2026-01-04,303,-43.08,0.0,100.0,Safe R,-34.56,3.04,-43.08,-34.59,-8.5,28.46,71.54,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.61,-0.41,57.1,17.6,13.1,59.1,31.1,33.1,26.1,26.1,35.4,32.4,27.4,24.4,24.4,25.4,25.4,29.8,24.8,26.8,27.8,33.8,39.8,37.8,41.8,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
2026-01-05,302,-43.03,0.0,100.0,Safe R,-34.55,3.08,-43.03,-34.59,-8.45,28.48,71.52,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.57,-0.41,57.1,17.6,13.1,59.1,31.1,33.1,26.1,26.1,35.4,32.4,27.4,24.4,24.4,25.4,25.4,29.8,24.8,26.8,27.8,33.8,39.8,37.8,41.8,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
2026-01-06,301,-43.03,0.0,100.0,Safe R,-34.55,3.08,-43.03,-34.59,-8.45,28.48,71.52,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.57,-0.41,57.1,17.6,13.1,59.1,31.1,33.1,26.1,26.1,35.4,32.4,27.4,24.4,24.4,25.4,25.4,29.8,24.8,26.8,27.8,33.8,39.8,37.8,41.8,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
2026-01-07,300,-43.03,0.0,100.0,Safe R,-34.55,3.08,-43.03,-34.59,-8.45,28.48,71.52,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.57,-0.41,57.1,17.5,13.1,59.1,31.1,33.1,26.1,26.1,35.4,32.4,27.4,24.4,24.4,25.4,25.4,29.8,24.8,26.8,27.8,33.8,39.8,37.8,41.8,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
2026-01-08,299,-43.03,0.0,100.0,Safe R,-34.55,3.08,-43.03,-34.59,-8.45,28.48,71.52,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.57,-0.41,57.1,17.5,13.1,59.1,31.1,33.1,26.1,26.1,35.4,32.4,27.4,24.4,24.4,25.4,25.4,29.8,24.8,26.8,27.8,33.8,39.8,37.8,41.8,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
2026-01-09,298,-43.02,0.0,100.0,Safe R,-34.55,3.09,-43.02,-34.59,-8.43,28.49,71.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.56,-0.41,57.1,17.5,13.1,59.1,31.1,33.1,26.1,26.1,35.5,32.5,27.5,24.5,24.5,25.5,25.5,29.9,24.9,26.9,27.9,33.9,39.9,37.9,41.9,33.0,32.0,32.0,31.0,30.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,27.0,27.0,28.0,29.0
2026-01-10,297,-43.02,0.0,100.0,Safe R,-34.55,3.09,-43.02,-34.59,-8.43,28.49,71.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,137209,17548950,0,-30.56,-0.41,57.1,17.5,13.1,59.1,31.1,33.1,26.1,26.1,35.5,32.5,27.5,24.5,24.5,25.5,25.5,29.9,24.9,26.9,27.9,33.9,39.9,37.9,41.9,33.0,32.0,32.0,31.0,30.0,29.0,28.0,27.0,27.0,26.0,26.0,26.0,27.0,27.0,28.0,29.0
