date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,31.4,99.9,0.1,Safe D,24.28,3.11,31.4,20.13,11.27,65.7,34.3,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.44,-0.72,33.0,-30.6,61.0,98.0,79.0,81.0,74.0,74.0,73.0,70.0,65.0,62.0,62.0,63.0,63.0,64.0,59.0,61.0,62.0,68.0,74.0,72.0,76.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-02,305,31.4,99.9,0.1,Safe D,24.28,3.11,31.4,20.13,11.27,65.7,34.3,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.44,-0.72,33.0,-30.6,61.0,98.0,79.0,81.0,74.0,74.0,73.0,70.0,65.0,62.0,62.0,63.0,63.0,64.0,59.0,61.0,62.0,68.0,74.0,72.0,76.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-03,304,31.4,99.9,0.1,Safe D,24.28,3.11,31.4,20.13,11.27,65.7,34.3,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.44,-0.72,33.0,-30.6,61.0,98.0,79.0,81.0,74.0,74.0,73.0,70.0,65.0,62.0,62.0,63.0,63.0,64.0,59.0,61.0,62.0,68.0,74.0,72.0,76.0,70.6,69.6,69.6,68.6,67.6,66.6,65.6,64.6,64.6,63.6,63.6,63.6,64.6,64.6,65.6,66.6
2026-01-04,303,31.3,99.9,0.1,Safe D,24.25,3.04,31.3,20.13,11.17,65.65,34.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.37,-0.72,33.1,-30.3,61.0,98.0,79.0,81.0,74.0,74.0,72.9,69.9,64.9,61.9,61.9,62.9,62.9,63.9,58.9,60.9,61.9,67.9,73.9,71.9,75.9,70.5,69.5,69.5,68.5,67.5,66.5,65.5,64.5,64.5,63.5,63.5,63.5,64.5,64.5,65.5,66.5
2026-01-05,302,31.36,99.9,0.1,Safe D,24.27,3.08,31.36,20.13,11.22,65.68,34.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.41,-0.72,33.1,-30.4,61.0,98.0,79.0,81.0,74.0,74.0,72.9,69.9,64.9,61.9,61.9,62.9,62.9,63.9,58.9,60.9,61.9,67.9,73.9,71.9,75.9,70.5,69.5,69.5,68.5,67.5,66.5,65.5,64.5,64.5,63.5,63.5,63.5,64.5,64.5,65.5,66.5
2026-01-06,301,31.36,99.9,0.1,Safe D,24.27,3.08,31.36,20.13,11.22,65.68,34.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.41,-0.72,33.1,-30.4,61.0,98.0,79.0,81.0,74.0,74.0,72.9,69.9,64.9,61.9,61.9,62.9,62.9,63.9,58.9,60.9,61.9,67.9,73.9,71.9,75.9,70.5,69.5,69.5,68.5,67.5,66.5,65.5,64.5,64.5,63.5,63.5,63.5,64.5,64.5,65.5,66.5
2026-01-07,300,31.36,99.9,0.1,Safe D,24.27,3.08,31.36,20.13,11.22,65.68,34.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.41,-0.72,33.1,-30.5,61.0,98.0,79.0,81.0,74.0,74.0,72.9,69.9,64.9,61.9,61.9,62.9,62.9,63.9,58.9,60.9,61.9,67.9,73.9,71.9,75.9,70.5,69.5,69.5,68.5,67.5,66.5,65.5,64.5,64.5,63.5,63.5,63.5,64.5,64.5,65.5,66.5
2026-01-08,299,31.36,99.9,0.1,Safe D,24.27,3.08,31.36,20.13,11.22,65.68,34.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.41,-0.72,33.1,-30.5,61.0,98.0,79.0,81.0,74.0,74.0,72.9,69.9,64.9,61.9,61.9,62.9,62.9,63.9,58.9,60.9,61.9,67.9,73.9,71.9,75.9,70.5,69.5,69.5,68.5,67.5,66.5,65.5,64.5,64.5,63.5,63.5,63.5,64.5,64.5,65.5,66.5
2026-01-09,298,31.37,99.9,0.1,Safe D,24.27,3.09,31.37,20.13,11.24,65.68,34.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.42,-0.72,33.1,-30.4,61.0,98.0,79.0,81.0,74.0,74.0,72.9,69.9,64.9,61.9,61.9,62.9,62.9,63.9,58.9,60.9,61.9,67.9,73.9,71.9,75.9,70.5,69.5,69.5,68.5,67.5,66.5,65.5,64.5,64.5,63.5,63.5,63.5,64.5,64.5,65.5,66.5
2026-01-10,297,31.37,99.9,0.1,Safe D,24.27,3.09,31.37,20.13,11.24,65.68,34.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2915615,0,0,24.42,-0.72,33.1,-30.4,61.0,98.0,79.0,81.0,74.0,74.0,72.9,69.9,64.9,61.9,61.9,62.9,62.9,63.9,58.9,60.9,61.9,67.9,73.9,71.9,75.9,70.5,69.5,69.5,68.5,67.5,66.5,65.5,64.5,64.5,63.5,63.5,63.5,64.5,64.5,65.5,66.5
