date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,53.96,100.0,0.0,Safe D,49.64,3.11,53.96,46.35,7.61,76.98,23.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.19,-0.46,21.6,-53.3,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-02,305,53.96,100.0,0.0,Safe D,49.64,3.11,53.96,46.35,7.61,76.98,23.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.19,-0.46,21.6,-53.3,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-03,304,53.96,100.0,0.0,Safe D,49.64,3.11,53.96,46.35,7.61,76.98,23.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.19,-0.46,21.6,-53.3,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-04,303,53.87,100.0,0.0,Safe D,49.62,3.05,53.87,46.35,7.53,76.94,23.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.13,-0.46,21.8,-53.0,69.3,98.0,87.3,89.3,82.3,82.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-05,302,53.91,100.0,0.0,Safe D,49.63,3.08,53.91,46.35,7.57,76.96,23.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.16,-0.46,21.8,-53.1,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-06,301,53.91,100.0,0.0,Safe D,49.63,3.08,53.91,46.35,7.57,76.96,23.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.16,-0.46,21.8,-53.1,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-07,300,53.91,100.0,0.0,Safe D,49.63,3.08,53.91,46.35,7.57,76.96,23.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.16,-0.46,21.7,-53.2,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-08,299,53.93,100.0,0.0,Safe D,49.63,3.09,53.93,46.35,7.58,76.96,23.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.17,-0.46,21.8,-53.1,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-09,298,53.93,100.0,0.0,Safe D,49.63,3.09,53.93,46.35,7.58,76.96,23.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.17,-0.46,21.7,-53.1,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-10,297,53.93,100.0,0.0,Safe D,49.63,3.09,53.93,46.35,7.58,76.96,23.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.17,-0.46,21.7,-53.1,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-11,296,53.89,100.0,0.0,Safe D,49.62,3.06,53.89,46.35,7.54,76.94,23.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.14,-0.46,21.7,-53.3,69.3,98.0,87.3,89.3,82.3,82.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-12,295,53.96,100.0,0.0,Safe D,49.64,3.11,53.96,46.35,7.61,76.98,23.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.19,-0.46,21.6,-53.4,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-13,294,53.93,100.0,0.0,Safe D,49.63,3.09,53.93,46.35,7.58,76.96,23.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.17,-0.46,21.5,-53.6,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
2026-01-14,293,53.94,100.0,0.0,Safe D,49.63,3.1,53.94,46.35,7.6,76.97,23.03,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.18,-0.46,21.6,-53.6,69.3,98.0,87.3,89.3,82.3,82.3,83.8,80.8,75.8,72.8,72.8,73.8,73.8,73.9,68.9,70.9,71.9,77.9,83.9,81.9,85.9,81.8,80.8,80.8,79.8,78.8,77.8,76.8,75.8,75.8,74.8,74.8,74.8,75.8,75.8,76.8,77.8
