date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,30.01,99.8,0.2,Safe D,25.16,3.18,30.01,21.09,8.92,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.49,32.7,-31.2,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-02,305,30.01,99.8,0.2,Safe D,25.16,3.18,30.01,21.09,8.92,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.49,32.7,-31.2,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-03,304,30.02,99.8,0.2,Safe D,25.16,3.19,30.02,21.09,8.93,65.01,34.99,0.0,False,False,,,,0.0,0.0,0.0,25.5,32.7,-31.2,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-04,303,29.94,99.8,0.2,Safe D,25.14,3.13,29.94,21.09,8.85,64.97,35.03,0.0,False,False,,,,0.0,0.0,0.0,25.44,32.8,-30.9,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-05,302,29.99,99.8,0.2,Safe D,25.16,3.17,29.99,21.09,8.9,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.48,32.8,-31.0,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-06,301,29.99,99.8,0.2,Safe D,25.16,3.17,29.99,21.09,8.9,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.48,32.8,-31.0,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-07,300,29.99,99.8,0.2,Safe D,25.16,3.17,29.99,21.09,8.9,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.48,32.8,-31.1,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-08,299,29.99,99.8,0.2,Safe D,25.16,3.17,29.99,21.09,8.9,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.48,32.8,-31.1,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-09,298,29.99,99.8,0.2,Safe D,25.16,3.17,29.99,21.09,8.9,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.48,32.8,-31.0,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
2026-01-10,297,29.99,99.8,0.2,Safe D,25.16,3.17,29.99,21.09,8.9,65.0,35.0,0.0,False,False,,,,0.0,0.0,0.0,25.48,32.8,-31.0,60.1,98.0,78.1,80.1,73.1,73.1,72.5,69.5,64.5,61.5,61.5,62.5,62.5,63.5,58.5,60.5,61.5,67.5,73.5,71.5,75.5,69.9,68.9,68.9,67.9,66.9,65.9,64.9,63.9,63.9,62.9,62.9,62.9,63.9,63.9,64.9,65.9
