section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,MA-09,house,Democratic candidate (MA-09),Republican candidate (MA-09),23.13,98.7,1.3,Safe D,198292,123792,0,322083.0,61.57,38.43,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,16.14,5.32,False,17.65,34.8,-27.2,,,,,,,,,,,
demographic,,,,,,,,,162961,117938,0,,58.0,42.0,0.0,,,0.0,0,,,,,,,,,,,,,race,White,87.21,280899.0,,,,,,,
demographic,,,,,,,,,14600,298,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,4.63,14898.0,,,,,,,
demographic,,,,,,,,,12126,3826,0,,76.0,24.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,4.95,15952.0,,,,,,,
demographic,,,,,,,,,4296,1211,0,,78.0,22.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,1.71,5506.0,,,,,,,
demographic,,,,,,,,,3148,1285,0,,71.0,29.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.38,4433.0,,,,,,,
demographic,,,,,,,,,280,114,0,,71.0,29.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.12,395.0,,,,,,,
demographic,,,,,,,,,31243,13838,0,,69.3,30.7,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,14.0,45081.0,,,,,,,
demographic,,,,,,,,,29405,14943,0,,66.3,33.7,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,13.77,44348.0,,,,,,,
demographic,,,,,,,,,27684,17474,0,,61.3,38.7,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,14.02,45158.0,,,,,,,
demographic,,,,,,,,,35449,25351,0,,58.3,41.7,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,18.88,60800.0,,,,,,,
