section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,MA-GOV,governor,Maura Healey,Mike Minogue,34.14,100.0,0.0,Safe D,1630828,800740,0,2431568.0,67.07,32.93,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,27.69,5.32,False,33.01,27.7,-41.4,,,,,,,,,,,
demographic,,,,,,,,,1023453,701622,0,,59.3,40.7,0.0,,,0.0,0,,,,,,,,,,,,,race,White,70.94,1725075.0,,,,,,,
demographic,,,,,,,,,206105,4206,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,8.65,210311.0,,,,,,,
demographic,,,,,,,,,207840,60937,0,,77.3,22.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,11.05,268777.0,,,,,,,
demographic,,,,,,,,,153733,40061,0,,79.3,20.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,7.97,193794.0,,,,,,,
demographic,,,,,,,,,21875,8369,0,,72.3,27.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.24,30244.0,,,,,,,
demographic,,,,,,,,,2435,932,0,,72.3,27.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.14,3367.0,,,,,,,
demographic,,,,,,,,,326452,114413,0,,74.0,26.0,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,18.13,440866.0,,,,,,,
demographic,,,,,,,,,303808,123802,0,,71.0,29.0,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,17.59,427610.0,,,,,,,
demographic,,,,,,,,,252361,129726,0,,66.0,34.0,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.71,382087.0,,,,,,,
demographic,,,,,,,,,273693,160410,0,,63.0,37.0,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.85,434103.0,,,,,,,
demographic,,,,,,,,,241990,141829,0,,63.0,37.0,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,15.78,383819.0,,,,,,,
demographic,,,,,,,,,148326,83260,0,,64.0,36.0,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,9.52,231585.0,,,,,,,
demographic,,,,,,,,,84222,47276,0,,64.0,36.0,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.41,131498.0,,,,,,,
demographic,,,,,,,,,140190,73105,0,,65.7,34.3,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,8.77,213295.0,,,,,,,
demographic,,,,,,,,,338497,218923,0,,60.7,39.3,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,22.92,557420.0,,,,,,,
demographic,,,,,,,,,225344,133910,0,,62.7,37.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,14.77,359254.0,,,,,,,
demographic,,,,,,,,,118064,67205,0,,63.7,36.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,7.62,185270.0,,,,,,,
demographic,,,,,,,,,425337,184678,0,,69.7,30.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,25.09,610015.0,,,,,,,
demographic,,,,,,,,,268452,86054,0,,75.7,24.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,14.58,354506.0,,,,,,,
demographic,,,,,,,,,55764,19873,0,,73.7,26.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,3.11,75637.0,,,,,,,
demographic,,,,,,,,,59205,16967,0,,77.7,22.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,3.13,76172.0,,,,,,,
demographic,,,,,,,,,77171,30118,0,,71.9,28.1,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,4.41,107289.0,,,,,,,
demographic,,,,,,,,,63470,26015,0,,70.9,29.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,3.68,89486.0,,,,,,,
demographic,,,,,,,,,50820,20830,0,,70.9,29.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,2.95,71650.0,,,,,,,
demographic,,,,,,,,,50119,21553,0,,69.9,30.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,2.95,71672.0,,,,,,,
demographic,,,,,,,,,48255,21753,0,,68.9,31.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,2.88,70007.0,,,,,,,
demographic,,,,,,,,,44528,21024,0,,67.9,32.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,2.7,65551.0,,,,,,,
demographic,,,,,,,,,42056,20782,0,,66.9,33.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,2.58,62838.0,,,,,,,
demographic,,,,,,,,,42659,22047,0,,65.9,34.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,2.66,64706.0,,,,,,,
demographic,,,,,,,,,41484,21439,0,,65.9,34.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,2.59,62924.0,,,,,,,
demographic,,,,,,,,,83598,45157,0,,64.9,35.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,5.3,128755.0,,,,,,,
demographic,,,,,,,,,116900,63145,0,,64.9,35.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,7.4,180045.0,,,,,,,
demographic,,,,,,,,,179045,96714,0,,64.9,35.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,11.34,275759.0,,,,,,,
demographic,,,,,,,,,154710,79955,0,,65.9,34.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,9.65,234665.0,,,,,,,
demographic,,,,,,,,,128276,66294,0,,65.9,34.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,8.0,194570.0,,,,,,,
demographic,,,,,,,,,188892,93339,0,,66.9,33.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,11.61,282232.0,,,,,,,
demographic,,,,,,,,,318868,150552,0,,67.9,32.1,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,19.31,469419.0,,,,,,,
county,,,,,29.24,,,,67206,36800,0,104007.0,,,,,,,0,,,,,,,,,,,,,,,,,25001,87.2,2.5,2.8,1.3,0.4,0.0
county,,,,,48.97,,,,35762,12252,0,48014.0,,,,,,,0,,,,,,,,,,,,,,,,,25003,87.1,2.9,4.4,1.6,0.1,0.0
county,,,,,9.48,,,,106406,87985,0,194391.0,,,,,,,0,,,,,,,,,,,,,,,,,25005,80.2,3.7,7.7,2.3,0.2,0.0
county,,,,,61.98,,,,6915,1623,0,8538.0,,,,,,,0,,,,,,,,,,,,,,,,,25007,80.6,4.1,2.2,0.9,0.9,0.1
county,,,,,28.9,,,,181280,99990,0,281270.0,,,,,,,0,,,,,,,,,,,,,,,,,25009,70.0,3.2,19.8,3.6,0.1,0.0
county,,,,,47.15,,,,21704,7795,0,29499.0,,,,,,,0,,,,,,,,,,,,,,,,,25011,88.5,1.3,4.0,1.7,0.2,0.0
county,,,,,17.23,,,,85436,60317,0,145753.0,,,,,,,0,,,,,,,,,,,,,,,,,25013,64.2,7.5,22.4,2.5,0.2,0.0
county,,,,,51.37,,,,44814,14399,0,59213.0,,,,,,,0,,,,,,,,,,,,,,,,,25015,79.8,2.7,6.1,7.1,0.1,0.0
county,,,,,48.62,,,,424401,146725,0,571126.0,,,,,,,0,,,,,,,,,,,,,,,,,25017,69.0,4.8,7.8,12.7,0.1,0.0
county,,,,,45.74,,,,3619,1347,0,4966.0,,,,,,,0,,,,,,,,,,,,,,,,,25019,71.8,6.9,14.5,1.8,0.1,0.0
county,,,,,37.54,,,,186306,84605,0,270911.0,,,,,,,0,,,,,,,,,,,,,,,,,25021,72.7,6.7,4.6,11.9,0.1,0.0
county,,,,,17.16,,,,123203,87114,0,210316.0,,,,,,,0,,,,,,,,,,,,,,,,,25023,79.1,7.7,3.8,1.5,0.1,0.0
county,,,,,62.12,,,,169427,39593,0,209020.0,,,,,,,0,,,,,,,,,,,,,,,,,25025,47.8,16.0,19.7,10.8,0.1,0.0
county,,,,,18.39,,,,174348,120196,0,294544.0,,,,,,,0,,,,,,,,,,,,,,,,,25027,74.2,4.7,11.2,5.2,0.1,0.0
