date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,32.37,99.9,0.1,Safe D,28.86,3.11,34.03,25.91,6.46,66.19,33.81,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.46,-0.34,30.2,-36.2,58.4,98.0,76.4,78.4,71.4,71.4,73.2,70.2,65.2,62.2,62.2,63.2,63.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-02,305,32.37,99.9,0.1,Safe D,28.86,3.11,34.03,25.91,6.46,66.19,33.81,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.46,-0.34,30.2,-36.2,58.4,98.0,76.4,78.4,71.4,71.4,73.2,70.2,65.2,62.2,62.2,63.2,63.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-03,304,32.37,99.9,0.1,Safe D,28.86,3.11,34.03,25.91,6.46,66.19,33.81,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.46,-0.34,30.2,-36.2,58.4,98.0,76.4,78.4,71.4,71.4,73.2,70.2,65.2,62.2,62.2,63.2,63.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-04,303,32.3,99.9,0.1,Safe D,28.85,3.04,33.95,25.91,6.39,66.15,33.85,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.39,-0.34,30.3,-35.9,58.4,98.0,76.4,78.4,71.4,71.4,73.1,70.1,65.1,62.1,62.1,63.1,63.1,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-05,302,32.34,99.9,0.1,Safe D,28.86,3.08,34.0,25.91,6.43,66.17,33.83,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.43,-0.34,30.3,-36.0,58.4,98.0,76.4,78.4,71.4,71.4,73.1,70.1,65.1,62.1,62.1,63.1,63.1,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-06,301,32.34,99.9,0.1,Safe D,28.86,3.08,34.0,25.91,6.43,66.17,33.83,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.43,-0.34,30.3,-36.0,58.4,98.0,76.4,78.4,71.4,71.4,73.1,70.1,65.1,62.1,62.1,63.1,63.1,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-07,300,32.34,99.9,0.1,Safe D,28.86,3.08,34.0,25.91,6.43,66.17,33.83,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.43,-0.34,30.3,-36.1,58.4,98.0,76.4,78.4,71.4,71.4,73.1,70.1,65.1,62.1,62.1,63.1,63.1,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-08,299,32.34,99.9,0.1,Safe D,28.86,3.08,34.0,25.91,6.43,66.17,33.83,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.43,-0.34,30.3,-36.1,58.4,98.0,76.4,78.4,71.4,71.4,73.1,70.1,65.1,62.1,62.1,63.1,63.1,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-09,298,32.35,99.9,0.1,Safe D,28.86,3.09,34.01,25.91,6.44,66.18,33.82,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.44,-0.34,30.3,-36.0,58.4,98.0,76.4,78.4,71.4,71.4,73.2,70.2,65.2,62.2,62.2,63.2,63.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
2026-01-10,297,32.35,99.9,0.1,Safe D,28.86,3.09,34.01,25.91,6.44,66.18,33.82,0.0,False,False,,,,0.0,0.0,0.0,53.92,30.95,2,22.96,0.15,3804689,1400141,0,30.44,-0.34,30.3,-36.0,58.4,98.0,76.4,78.4,71.4,71.4,73.2,70.2,65.2,62.2,62.2,63.2,63.2,64.8,59.8,61.8,62.8,68.8,74.8,72.8,76.8,71.0,70.0,70.0,69.0,68.0,67.0,66.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,66.0,67.0
