date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,25.83,99.3,0.7,Safe D,20.98,3.18,25.83,18.95,6.88,62.92,37.08,0.0,False,False,,,,0.0,0.0,0.0,22.29,34.5,-27.6,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-02,305,25.83,99.3,0.7,Safe D,20.98,3.18,25.83,18.95,6.88,62.92,37.08,0.0,False,False,,,,0.0,0.0,0.0,22.29,34.5,-27.6,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-03,304,25.84,99.3,0.7,Safe D,20.99,3.19,25.84,18.95,6.9,62.92,37.08,0.0,False,False,,,,0.0,0.0,0.0,22.3,34.5,-27.6,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-04,303,25.77,99.3,0.7,Safe D,20.97,3.13,25.77,18.95,6.82,62.88,37.12,0.0,False,False,,,,0.0,0.0,0.0,22.24,34.6,-27.3,49.2,95.2,67.2,69.2,62.2,62.2,70.0,67.0,62.0,59.0,59.0,60.0,60.0,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-05,302,25.82,99.3,0.7,Safe D,20.98,3.17,25.82,18.95,6.87,62.91,37.09,0.0,False,False,,,,0.0,0.0,0.0,22.28,34.6,-27.4,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-06,301,25.82,99.3,0.7,Safe D,20.98,3.17,25.82,18.95,6.87,62.91,37.09,0.0,False,False,,,,0.0,0.0,0.0,22.28,34.6,-27.4,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-07,300,25.82,99.3,0.7,Safe D,20.98,3.17,25.82,18.95,6.87,62.91,37.09,0.0,False,False,,,,0.0,0.0,0.0,22.28,34.6,-27.5,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-08,299,25.82,99.3,0.7,Safe D,20.98,3.17,25.82,18.95,6.87,62.91,37.09,0.0,False,False,,,,0.0,0.0,0.0,22.28,34.6,-27.5,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-09,298,25.82,99.3,0.7,Safe D,20.98,3.17,25.82,18.95,6.87,62.91,37.09,0.0,False,False,,,,0.0,0.0,0.0,22.28,34.6,-27.5,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-10,297,25.82,99.3,0.7,Safe D,20.98,3.17,25.82,18.95,6.87,62.91,37.09,0.0,False,False,,,,0.0,0.0,0.0,22.28,34.6,-27.5,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-11,296,25.79,99.3,0.7,Safe D,20.98,3.15,25.79,18.95,6.85,62.9,37.1,0.0,False,False,,,,0.0,0.0,0.0,22.26,34.5,-27.7,49.2,95.2,67.2,69.2,62.2,62.2,70.0,67.0,62.0,59.0,59.0,60.0,60.0,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-12,295,25.84,99.3,0.7,Safe D,20.99,3.19,25.84,18.95,6.9,62.92,37.08,0.0,False,False,,,,0.0,0.0,0.0,22.3,34.4,-27.8,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-13,294,25.82,99.3,0.7,Safe D,20.98,3.17,25.82,18.95,6.87,62.91,37.09,0.0,False,False,,,,0.0,0.0,0.0,22.28,34.4,-28.0,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.7,56.7,58.7,59.7,65.7,71.7,69.7,73.7,68.0,67.0,67.0,66.0,65.0,64.0,63.0,62.0,62.0,61.0,61.0,61.0,62.0,62.0,63.0,64.0
2026-01-14,293,25.83,99.3,0.7,Safe D,20.98,3.18,25.83,18.95,6.88,62.92,37.08,0.0,False,False,,,,0.0,0.0,0.0,22.29,34.4,-27.9,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-15,292,25.86,99.3,0.7,Safe D,20.99,3.2,25.86,18.95,6.91,62.93,37.07,0.0,False,False,,,,0.0,0.0,0.0,22.31,34.4,-27.9,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-16,291,25.86,99.3,0.7,Safe D,20.99,3.2,25.86,18.95,6.91,62.93,37.07,0.0,False,False,,,,0.0,0.0,0.0,22.31,34.4,-28.0,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-17,290,25.91,99.3,0.7,Safe D,21.0,3.24,25.91,18.95,6.96,62.95,37.05,0.0,False,False,,,,0.0,0.0,0.0,22.35,34.3,-28.1,49.3,95.3,67.3,69.3,62.3,62.3,70.1,67.1,62.1,59.1,59.1,60.1,60.1,61.8,56.8,58.8,59.8,65.8,71.8,69.8,73.8,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
