date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,83.48,100.0,0.0,Safe D,78.43,3.18,83.48,75.67,7.82,91.74,8.26,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.72,1.87,8.8,-79.0,59.7,98.0,77.7,79.7,72.7,72.7,98.0,95.4,90.4,87.4,87.4,88.4,88.4,91.6,86.6,88.6,89.6,95.6,98.0,98.0,98.0,97.0,96.0,96.0,95.0,94.0,93.0,92.0,91.0,91.0,90.0,90.0,90.0,91.0,91.0,92.0,93.0
2026-01-02,305,83.48,100.0,0.0,Safe D,78.43,3.18,83.48,75.67,7.82,91.74,8.26,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.72,1.87,8.8,-79.0,59.7,98.0,77.7,79.7,72.7,72.7,98.0,95.4,90.4,87.4,87.4,88.4,88.4,91.6,86.6,88.6,89.6,95.6,98.0,98.0,98.0,97.0,96.0,96.0,95.0,94.0,93.0,92.0,91.0,91.0,90.0,90.0,90.0,91.0,91.0,92.0,93.0
2026-01-03,304,83.49,100.0,0.0,Safe D,78.43,3.19,83.49,75.67,7.83,91.75,8.25,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.73,1.87,8.8,-79.0,59.7,98.0,77.7,79.7,72.7,72.7,98.0,95.4,90.4,87.4,87.4,88.4,88.4,91.7,86.7,88.7,89.7,95.7,98.0,98.0,98.0,97.0,96.0,96.0,95.0,94.0,93.0,92.0,91.0,91.0,90.0,90.0,90.0,91.0,91.0,92.0,93.0
2026-01-04,303,83.42,100.0,0.0,Safe D,78.42,3.13,83.42,75.67,7.76,91.71,8.29,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.67,1.87,8.9,-78.7,59.6,98.0,77.6,79.6,72.6,72.6,98.0,95.4,90.4,87.4,87.4,88.4,88.4,91.6,86.6,88.6,89.6,95.6,98.0,98.0,98.0,96.9,95.9,95.9,94.9,93.9,92.9,91.9,90.9,90.9,89.9,89.9,89.9,90.9,90.9,91.9,92.9
2026-01-05,302,83.47,100.0,0.0,Safe D,78.43,3.17,83.47,75.67,7.8,91.73,8.27,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.71,1.87,8.9,-78.8,59.7,98.0,77.7,79.7,72.7,72.7,98.0,95.4,90.4,87.4,87.4,88.4,88.4,91.6,86.6,88.6,89.6,95.6,98.0,98.0,98.0,96.9,95.9,95.9,94.9,93.9,92.9,91.9,90.9,90.9,89.9,89.9,89.9,90.9,90.9,91.9,92.9
2026-01-06,301,83.93,100.0,0.0,Safe D,78.89,3.17,83.93,75.67,8.26,91.96,8.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.71,1.87,8.9,-78.8,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.6,90.6,87.6,87.6,88.6,88.6,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
2026-01-07,300,83.93,100.0,0.0,Safe D,78.89,3.17,83.93,75.67,8.26,91.96,8.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.71,1.87,8.9,-78.9,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.6,90.6,87.6,87.6,88.6,88.6,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
2026-01-08,299,83.93,100.0,0.0,Safe D,78.89,3.17,83.93,75.67,8.26,91.96,8.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.71,1.87,8.9,-78.9,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.6,90.6,87.6,87.6,88.6,88.6,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
2026-01-09,298,83.93,100.0,0.0,Safe D,78.89,3.17,83.93,75.67,8.26,91.96,8.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.71,1.87,8.9,-78.8,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.6,90.6,87.6,87.6,88.6,88.6,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
2026-01-10,297,83.93,100.0,0.0,Safe D,78.89,3.17,83.93,75.67,8.26,91.96,8.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.71,1.87,8.9,-78.8,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.6,90.6,87.6,87.6,88.6,88.6,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
2026-01-11,296,83.91,100.0,0.0,Safe D,78.89,3.15,83.91,75.67,8.24,91.95,8.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.69,1.87,8.8,-79.0,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.6,90.6,87.6,87.6,88.6,88.6,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
2026-01-12,295,83.95,100.0,0.0,Safe D,78.89,3.19,83.95,75.67,8.29,91.98,8.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.73,1.87,8.8,-79.2,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.7,90.7,87.7,87.7,88.7,88.7,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
2026-01-13,294,83.93,100.0,0.0,Safe D,78.89,3.17,83.93,75.67,8.26,91.96,8.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,82.71,1.87,8.7,-79.4,59.9,98.0,77.9,79.9,72.9,72.9,98.0,95.6,90.6,87.6,87.6,88.6,88.6,91.9,86.9,88.9,89.9,95.9,98.0,98.0,98.0,97.2,96.2,96.2,95.2,94.2,93.2,92.2,91.2,91.2,90.2,90.2,90.2,91.2,91.2,92.2,93.2
