section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,MD-06,house,Democratic candidate (MD-06),Republican candidate (MD-06),15.92,93.8,6.2,Likely D,158379,114878,0,273257.0,57.96,42.04,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,8.93,5.32,False,11.84,36.6,-23.5,,,,,,,,,,,
demographic,,,,,,,,,81751,90802,0,,47.4,52.6,0.0,,,0.0,0,,,,,,,,,,,,,race,White,63.15,172553.0,,,,,,,
demographic,,,,,,,,,35242,2500,0,,93.4,6.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,13.81,37742.0,,,,,,,
demographic,,,,,,,,,20632,10927,0,,65.4,34.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,11.55,31559.0,,,,,,,
demographic,,,,,,,,,17267,8360,0,,67.4,32.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,9.38,25627.0,,,,,,,
demographic,,,,,,,,,3221,2114,0,,60.4,39.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.95,5335.0,,,,,,,
demographic,,,,,,,,,266,175,0,,60.4,39.6,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.16,441.0,,,,,,,
demographic,,,,,,,,,29351,15793,0,,65.0,35.0,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,16.52,45144.0,,,,,,,
demographic,,,,,,,,,31077,19033,0,,62.0,38.0,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.34,50110.0,,,,,,,
demographic,,,,,,,,,27117,20443,0,,57.0,43.0,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,17.41,47560.0,,,,,,,
