date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,36.87,100.0,0.0,Safe D,30.41,3.11,36.87,29.51,7.36,68.43,31.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,33.44,-0.08,29.3,-37.9,50.7,96.7,68.7,70.7,63.7,63.7,75.5,72.5,67.5,64.5,64.5,65.5,65.5,67.4,62.4,64.4,65.4,71.4,77.4,75.4,79.4,73.5,72.5,72.5,71.5,70.5,69.5,68.5,67.5,67.5,66.5,66.5,66.5,67.5,67.5,68.5,69.5
2026-01-02,305,36.87,100.0,0.0,Safe D,30.41,3.11,36.87,29.51,7.36,68.43,31.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,33.44,-0.08,29.3,-37.9,50.7,96.7,68.7,70.7,63.7,63.7,75.5,72.5,67.5,64.5,64.5,65.5,65.5,67.4,62.4,64.4,65.4,71.4,77.4,75.4,79.4,73.5,72.5,72.5,71.5,70.5,69.5,68.5,67.5,67.5,66.5,66.5,66.5,67.5,67.5,68.5,69.5
2026-01-03,304,36.87,100.0,0.0,Safe D,30.41,3.11,36.87,29.51,7.36,68.43,31.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,33.44,-0.08,29.3,-37.9,50.7,96.7,68.7,70.7,63.7,63.7,75.5,72.5,67.5,64.5,64.5,65.5,65.5,67.4,62.4,64.4,65.4,71.4,77.4,75.4,79.4,73.5,72.5,72.5,71.5,70.5,69.5,68.5,67.5,67.5,66.5,66.5,66.5,67.5,67.5,68.5,69.5
2026-01-04,303,36.8,100.0,0.0,Safe D,30.41,3.04,36.8,29.51,7.29,68.4,31.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,33.37,-0.08,29.4,-37.7,50.6,96.6,68.6,70.6,63.6,63.6,75.4,72.4,67.4,64.4,64.4,65.4,65.4,67.4,62.4,64.4,65.4,71.4,77.4,75.4,79.4,73.4,72.4,72.4,71.4,70.4,69.4,68.4,67.4,67.4,66.4,66.4,66.4,67.4,67.4,68.4,69.4
2026-01-05,302,36.84,100.0,0.0,Safe D,30.41,3.08,36.84,29.51,7.33,68.42,31.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,33.41,-0.08,29.4,-37.7,50.7,96.7,68.7,70.7,63.7,63.7,75.5,72.5,67.5,64.5,64.5,65.5,65.5,67.4,62.4,64.4,65.4,71.4,77.4,75.4,79.4,73.4,72.4,72.4,71.4,70.4,69.4,68.4,67.4,67.4,66.4,66.4,66.4,67.4,67.4,68.4,69.4
2026-01-06,301,34.6,100.0,0.0,Safe D,30.41,3.08,36.84,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.41,-0.08,29.4,-37.7,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-07,300,34.6,100.0,0.0,Safe D,30.41,3.08,36.84,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.41,-0.08,29.4,-37.8,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-08,299,34.6,100.0,0.0,Safe D,30.41,3.08,36.84,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.41,-0.08,29.4,-37.8,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-09,298,34.6,100.0,0.0,Safe D,30.41,3.09,36.85,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.42,-0.08,29.4,-37.8,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-10,297,34.6,100.0,0.0,Safe D,30.41,3.09,36.85,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.42,-0.08,29.4,-37.8,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-11,296,34.57,100.0,0.0,Safe D,30.41,3.05,36.81,29.51,5.06,67.29,32.71,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.38,-0.08,29.3,-38.0,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-12,295,34.61,100.0,0.0,Safe D,30.41,3.1,36.86,29.51,5.1,67.31,32.69,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.43,-0.08,29.3,-38.1,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-13,294,34.6,100.0,0.0,Safe D,30.41,3.09,36.85,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.42,-0.08,29.2,-38.3,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-14,293,34.6,100.0,0.0,Safe D,30.41,3.09,36.85,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.42,-0.08,29.2,-38.2,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-15,292,34.62,100.0,0.0,Safe D,30.41,3.11,36.87,29.51,5.11,67.31,32.69,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.44,-0.08,29.2,-38.2,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-16,291,34.62,100.0,0.0,Safe D,30.41,3.11,36.87,29.51,5.11,67.31,32.69,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.44,-0.08,29.2,-38.3,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-17,290,34.66,100.0,0.0,Safe D,30.41,3.15,36.91,29.51,5.15,67.33,32.67,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.48,-0.08,29.2,-38.4,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.4,71.4,71.4,70.4,69.4,68.4,67.4,66.4,66.4,65.4,65.4,65.4,66.4,66.4,67.4,68.4
2026-01-18,289,34.6,100.0,0.0,Safe D,30.41,3.08,36.84,29.51,5.09,67.3,32.7,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.41,-0.08,29.2,-38.3,49.5,95.5,67.5,69.5,62.5,62.5,74.3,71.3,66.3,63.3,63.3,64.3,64.3,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-19,288,34.63,100.0,0.0,Safe D,30.41,3.12,36.88,29.51,5.12,67.31,32.69,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.45,-0.08,29.2,-38.2,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.3,71.3,71.3,70.3,69.3,68.3,67.3,66.3,66.3,65.3,65.3,65.3,66.3,66.3,67.3,68.3
2026-01-20,287,34.69,100.0,0.0,Safe D,30.41,3.19,36.95,29.51,5.18,67.34,32.66,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.52,-0.08,29.1,-38.5,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.4,71.4,71.4,70.4,69.4,68.4,67.4,66.4,66.4,65.4,65.4,65.4,66.4,66.4,67.4,68.4
2026-01-21,286,34.69,100.0,0.0,Safe D,30.41,3.19,36.95,29.51,5.18,67.34,32.66,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.52,-0.08,29.1,-38.4,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.4,71.4,71.4,70.4,69.4,68.4,67.4,66.4,66.4,65.4,65.4,65.4,66.4,66.4,67.4,68.4
2026-01-22,285,34.71,100.0,0.0,Safe D,30.41,3.21,36.97,29.51,5.2,67.35,32.65,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.54,-0.08,29.1,-38.5,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.4,71.4,71.4,70.4,69.4,68.4,67.4,66.4,66.4,65.4,65.4,65.4,66.4,66.4,67.4,68.4
2026-01-23,284,34.71,100.0,0.0,Safe D,30.41,3.21,36.97,29.51,5.2,67.35,32.65,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.54,-0.08,29.1,-38.5,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.4,71.4,71.4,70.4,69.4,68.4,67.4,66.4,66.4,65.4,65.4,65.4,66.4,66.4,67.4,68.4
2026-01-24,283,34.71,100.0,0.0,Safe D,30.41,3.22,36.98,29.51,5.21,67.36,32.64,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.55,-0.08,29.1,-38.5,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.4,61.4,63.4,64.4,70.4,76.4,74.4,78.4,72.4,71.4,71.4,70.4,69.4,68.4,67.4,66.4,66.4,65.4,65.4,65.4,66.4,66.4,67.4,68.4
2026-01-25,282,34.66,100.0,0.0,Safe D,30.41,3.15,36.91,29.51,5.15,67.33,32.67,0.0,False,False,,,,0.0,0.0,0.0,49.9,28.0,1,21.9,0.15,0,0,0,33.48,-0.08,29.1,-38.6,49.6,95.6,67.6,69.6,62.6,62.6,74.4,71.4,66.4,63.4,63.4,64.4,64.4,66.3,61.3,63.3,64.3,70.3,76.3,74.3,78.3,72.4,71.4,71.4,70.4,69.4,68.4,67.4,66.4,66.4,65.4,65.4,65.4,66.4,66.4,67.4,68.4
