date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,9.63,82.1,17.9,Likely D,7.49,3.11,9.63,7.09,2.55,54.82,45.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.63,-0.97,39.6,-17.4,53.0,98.0,71.0,73.0,66.0,66.0,62.4,59.4,54.4,51.4,51.4,52.4,52.4,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-02,305,9.63,82.1,17.9,Likely D,7.49,3.11,9.63,7.09,2.55,54.82,45.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.63,-0.97,39.6,-17.4,53.0,98.0,71.0,73.0,66.0,66.0,62.4,59.4,54.4,51.4,51.4,52.4,52.4,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-03,304,9.63,82.1,17.9,Likely D,7.49,3.11,9.63,7.09,2.55,54.82,45.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.63,-0.97,39.6,-17.4,53.0,98.0,71.0,73.0,66.0,66.0,62.4,59.4,54.4,51.4,51.4,52.4,52.4,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-04,303,9.57,82.0,18.0,Likely D,7.49,3.05,9.57,7.09,2.49,54.79,45.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.57,-0.97,39.7,-17.1,53.0,98.0,71.0,73.0,66.0,66.0,62.3,59.3,54.3,51.3,51.3,52.3,52.3,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-05,302,9.6,82.0,18.0,Likely D,7.49,3.08,9.6,7.09,2.52,54.8,45.2,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.6,-0.97,39.7,-17.2,53.0,98.0,71.0,73.0,66.0,66.0,62.3,59.3,54.3,51.3,51.3,52.3,52.3,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-06,301,9.6,82.0,18.0,Likely D,7.49,3.08,9.6,7.09,2.52,54.8,45.2,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.6,-0.97,39.7,-17.2,53.0,98.0,71.0,73.0,66.0,66.0,62.3,59.3,54.3,51.3,51.3,52.3,52.3,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-07,300,9.6,82.0,18.0,Likely D,7.49,3.08,9.6,7.09,2.52,54.8,45.2,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.6,-0.97,39.7,-17.3,53.0,98.0,71.0,73.0,66.0,66.0,62.3,59.3,54.3,51.3,51.3,52.3,52.3,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-08,299,9.61,82.1,17.9,Likely D,7.49,3.09,9.61,7.09,2.53,54.81,45.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.61,-0.97,39.7,-17.2,53.0,98.0,71.0,73.0,66.0,66.0,62.3,59.3,54.3,51.3,51.3,52.3,52.3,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-09,298,9.61,82.1,17.9,Likely D,7.49,3.09,9.61,7.09,2.53,54.81,45.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.61,-0.97,39.7,-17.2,53.0,98.0,71.0,73.0,66.0,66.0,62.3,59.3,54.3,51.3,51.3,52.3,52.3,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
2026-01-10,297,9.61,82.1,17.9,Likely D,7.49,3.09,9.61,7.09,2.53,54.81,45.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,9.61,-0.97,39.7,-17.2,53.0,98.0,71.0,73.0,66.0,66.0,62.3,59.3,54.3,51.3,51.3,52.3,52.3,55.0,50.0,52.0,53.0,59.0,65.0,63.0,67.0,59.8,58.8,58.8,57.8,56.8,55.8,54.8,53.8,53.8,52.8,52.8,52.8,53.8,53.8,54.8,55.8
