section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,MI-05,house,Democratic candidate (MI-05),Republican candidate (MI-05),-17.46,4.6,95.4,Safe R,122017,173643,0,295660.0,41.27,58.73,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-21.11,5.32,False,-21.25,51.4,6.0,,,,,,,,,,,
demographic,,,,,,,,,97096,160547,0,,37.7,62.3,0.0,,,0.0,0,,,,,,,,,,,,,race,White,87.14,257643.0,,,,,,,
demographic,,,,,,,,,12139,2366,0,,83.7,16.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,4.91,14505.0,,,,,,,
demographic,,,,,,,,,6837,5441,0,,55.7,44.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,4.15,12278.0,,,,,,,
demographic,,,,,,,,,2082,1527,0,,57.7,42.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,1.22,3610.0,,,,,,,
demographic,,,,,,,,,3747,3645,0,,50.7,49.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,2.5,7392.0,,,,,,,
demographic,,,,,,,,,118,115,0,,50.7,49.3,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.08,233.0,,,,,,,
demographic,,,,,,,,,22482,23698,0,,48.7,51.3,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,15.62,46180.0,,,,,,,
demographic,,,,,,,,,20766,24690,0,,45.7,54.3,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,15.37,45456.0,,,,,,,
demographic,,,,,,,,,18783,27386,0,,40.7,59.3,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.62,46168.0,,,,,,,
demographic,,,,,,,,,20182,33375,0,,37.7,62.3,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,18.11,53556.0,,,,,,,
demographic,,,,,,,,,20322,33606,0,,37.7,62.3,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,18.24,53928.0,,,,,,,
demographic,,,,,,,,,12932,20499,0,,38.7,61.3,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,11.31,33432.0,,,,,,,
demographic,,,,,,,,,6553,10387,0,,38.7,61.3,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.73,16940.0,,,,,,,
demographic,,,,,,,,,10940,14803,0,,42.5,57.5,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,8.71,25743.0,,,,,,,
demographic,,,,,,,,,38243,63742,0,,37.5,62.5,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,34.49,101985.0,,,,,,,
demographic,,,,,,,,,27166,41611,0,,39.5,60.5,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,23.26,68777.0,,,,,,,
demographic,,,,,,,,,12733,18707,0,,40.5,59.5,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,10.63,31440.0,,,,,,,
demographic,,,,,,,,,20167,23205,0,,46.5,53.5,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,14.67,43372.0,,,,,,,
demographic,,,,,,,,,9979,9029,0,,52.5,47.5,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,6.43,19007.0,,,,,,,
demographic,,,,,,,,,1476,1447,0,,50.5,49.5,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,0.99,2923.0,,,,,,,
demographic,,,,,,,,,1314,1097,0,,54.5,45.5,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,0.82,2412.0,,,,,,,
demographic,,,,,,,,,5676,6570,0,,46.4,53.6,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,4.14,12246.0,,,,,,,
demographic,,,,,,,,,4912,5919,0,,45.4,54.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,3.66,10831.0,,,,,,,
demographic,,,,,,,,,5041,6074,0,,45.4,54.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,3.76,11115.0,,,,,,,
demographic,,,,,,,,,5668,7112,0,,44.4,55.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,4.32,12779.0,,,,,,,
demographic,,,,,,,,,5655,7390,0,,43.4,56.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,4.41,13046.0,,,,,,,
demographic,,,,,,,,,5592,7611,0,,42.4,57.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,4.47,13203.0,,,,,,,
demographic,,,,,,,,,5394,7650,0,,41.4,58.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,4.41,13044.0,,,,,,,
demographic,,,,,,,,,5179,7656,0,,40.4,59.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,4.34,12835.0,,,,,,,
demographic,,,,,,,,,4837,7150,0,,40.4,59.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,4.05,11986.0,,,,,,,
demographic,,,,,,,,,9414,14509,0,,39.4,60.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,8.09,23923.0,,,,,,,
demographic,,,,,,,,,12882,19854,0,,39.4,60.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,11.07,32737.0,,,,,,,
demographic,,,,,,,,,15984,24634,0,,39.4,60.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,13.74,40618.0,,,,,,,
demographic,,,,,,,,,12128,17928,0,,40.4,59.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,10.17,30055.0,,,,,,,
demographic,,,,,,,,,7480,11057,0,,40.4,59.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,6.27,18537.0,,,,,,,
demographic,,,,,,,,,8855,12560,0,,41.4,58.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,7.24,21415.0,,,,,,,
demographic,,,,,,,,,7323,9968,0,,42.4,57.6,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,5.85,17292.0,,,,,,,
county,,,,,-6.61,,,,17413,19880,0,37294.0,,,,,,,0,,,,,,,,,,,,,,,,,26021,75.9,12.5,4.7,2.1,0.4,0.1
county,,,,,-33.11,,,,4940,9831,0,14771.0,,,,,,,0,,,,,,,,,,,,,,,,,26023,88.1,3.0,4.6,0.6,0.3,0.0
county,,,,,-16.02,,,,7664,10587,0,18251.0,,,,,,,0,,,,,,,,,,,,,,,,,26025,78.1,10.0,4.5,2.5,0.5,0.0
