date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,16.15,93.8,6.2,Likely D,2.11,3.11,16.15,-2.01,18.16,58.08,41.92,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.68,-0.62,43.0,-10.5,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-02,305,16.15,93.8,6.2,Likely D,2.11,3.11,16.15,-2.01,18.16,58.08,41.92,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.68,-0.62,43.0,-10.5,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-03,304,16.15,93.8,6.2,Likely D,2.11,3.11,16.15,-2.01,18.16,58.08,41.92,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.68,-0.62,43.0,-10.5,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-04,303,16.06,93.7,6.3,Likely D,2.08,3.04,16.06,-2.01,18.06,58.03,41.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.61,-0.62,43.2,-10.2,49.6,95.6,67.6,69.6,62.6,62.6,65.3,62.3,57.3,54.3,54.3,55.3,55.3,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-05,302,16.11,93.8,6.2,Likely D,2.1,3.08,16.11,-2.01,18.12,58.06,41.94,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.65,-0.62,43.1,-10.3,49.7,95.7,67.7,69.7,62.7,62.7,65.3,62.3,57.3,54.3,54.3,55.3,55.3,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-06,301,16.17,93.9,6.1,Likely D,2.16,3.08,16.17,-2.01,18.18,58.09,41.91,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.65,-0.62,43.1,-10.3,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-07,300,16.17,93.9,6.1,Likely D,2.16,3.08,16.17,-2.01,18.18,58.09,41.91,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.65,-0.62,43.1,-10.4,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-08,299,16.17,93.9,6.1,Likely D,2.16,3.08,16.17,-2.01,18.18,58.09,41.91,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.65,-0.62,43.2,-10.4,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-09,298,16.18,93.9,6.1,Likely D,2.16,3.09,16.18,-2.01,18.19,58.09,41.91,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.66,-0.62,43.1,-10.3,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-10,297,16.18,93.9,6.1,Likely D,2.16,3.09,16.18,-2.01,18.19,58.09,41.91,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4384972,414719,0,1.66,-0.62,43.1,-10.3,49.7,95.7,67.7,69.7,62.7,62.7,65.4,62.4,57.4,54.4,54.4,55.4,55.4,59.2,54.2,56.2,57.2,63.2,69.2,67.2,71.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
