date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-0.16,49.4,50.6,Toss-up,-2.52,3.11,-0.16,-6.68,6.53,49.92,50.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.07,-0.75,45.0,-6.6,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-02,305,-0.16,49.4,50.6,Toss-up,-2.52,3.11,-0.16,-6.68,6.53,49.92,50.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.07,-0.75,45.0,-6.6,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-03,304,-0.16,49.4,50.6,Toss-up,-2.52,3.11,-0.16,-6.68,6.53,49.92,50.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.07,-0.75,45.0,-6.6,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-04,303,-0.24,49.1,50.9,Toss-up,-2.54,3.05,-0.24,-6.68,6.45,49.88,50.12,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.13,-0.75,45.1,-6.3,41.8,87.8,59.8,61.8,54.8,54.8,57.0,54.0,49.0,46.0,46.0,47.0,47.0,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-05,302,-0.2,49.2,50.8,Toss-up,-2.53,3.08,-0.2,-6.68,6.49,49.9,50.1,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.1,-0.75,45.1,-6.4,41.9,87.9,59.9,61.9,54.9,54.9,57.0,54.0,49.0,46.0,46.0,47.0,47.0,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-06,301,-0.14,49.5,50.5,Toss-up,-2.47,3.08,-0.14,-6.68,6.55,49.93,50.07,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.1,-0.75,45.1,-6.4,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-07,300,-0.14,49.5,50.5,Toss-up,-2.47,3.08,-0.14,-6.68,6.55,49.93,50.07,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.1,-0.75,45.1,-6.5,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-08,299,-0.13,49.5,50.5,Toss-up,-2.47,3.09,-0.13,-6.68,6.56,49.94,50.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.09,-0.75,45.1,-6.5,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-09,298,-0.13,49.5,50.5,Toss-up,-2.47,3.09,-0.13,-6.68,6.56,49.94,50.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.09,-0.75,45.1,-6.5,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-10,297,-0.13,49.5,50.5,Toss-up,-2.47,3.09,-0.13,-6.68,6.56,49.94,50.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.09,-0.75,45.1,-6.5,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-11,296,-0.17,49.4,50.6,Toss-up,-2.48,3.06,-0.17,-6.68,6.52,49.92,50.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.12,-0.75,45.0,-6.7,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-12,295,-0.1,49.6,50.4,Toss-up,-2.46,3.11,-0.1,-6.68,6.59,49.95,50.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.07,-0.75,44.9,-6.8,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.1,54.1,54.1,53.1,52.1,51.1,50.1,49.1,49.1,48.1,48.1,48.1,49.1,49.1,50.1,51.1
2026-01-13,294,-0.13,49.5,50.5,Toss-up,-2.47,3.09,-0.13,-6.68,6.56,49.94,50.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.09,-0.75,44.9,-7.0,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-14,293,-0.11,49.6,50.4,Toss-up,-2.46,3.1,-0.11,-6.68,6.57,49.94,50.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.08,-0.75,44.9,-6.9,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-15,292,-0.1,49.6,50.4,Toss-up,-2.46,3.11,-0.1,-6.68,6.59,49.95,50.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.07,-0.75,44.9,-6.9,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.1,54.1,54.1,53.1,52.1,51.1,50.1,49.1,49.1,48.1,48.1,48.1,49.1,49.1,50.1,51.1
2026-01-16,291,-0.1,49.6,50.4,Toss-up,-2.46,3.11,-0.1,-6.68,6.59,49.95,50.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.07,-0.75,44.9,-7.0,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.1,54.1,54.1,53.1,52.1,51.1,50.1,49.1,49.1,48.1,48.1,48.1,49.1,49.1,50.1,51.1
2026-01-17,290,-0.04,49.8,50.2,Toss-up,-2.44,3.15,-0.04,-6.68,6.64,49.98,50.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.03,-0.75,44.8,-7.1,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.5,45.5,47.5,48.5,54.5,60.5,58.5,62.5,55.1,54.1,54.1,53.1,52.1,51.1,50.1,49.1,49.1,48.1,48.1,48.1,49.1,49.1,50.1,51.1
2026-01-18,289,-0.13,49.5,50.5,Toss-up,-2.47,3.09,-0.13,-6.68,6.56,49.94,50.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.09,-0.75,44.9,-7.0,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.0,54.0,54.0,53.0,52.0,51.0,50.0,49.0,49.0,48.0,48.0,48.0,49.0,49.0,50.0,51.0
2026-01-19,288,-0.08,49.7,50.3,Toss-up,-2.45,3.12,-0.08,-6.68,6.6,49.96,50.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-3.06,-0.75,44.9,-6.9,41.9,87.9,59.9,61.9,54.9,54.9,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.4,45.4,47.4,48.4,54.4,60.4,58.4,62.4,55.1,54.1,54.1,53.1,52.1,51.1,50.1,49.1,49.1,48.1,48.1,48.1,49.1,49.1,50.1,51.1
2026-01-20,287,0.01,50.0,50.0,Toss-up,-2.43,3.19,0.01,-6.68,6.7,50.01,49.99,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-2.99,-0.75,44.7,-7.2,42.0,88.0,60.0,62.0,55.0,55.0,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.5,45.5,47.5,48.5,54.5,60.5,58.5,62.5,55.1,54.1,54.1,53.1,52.1,51.1,50.1,49.1,49.1,48.1,48.1,48.1,49.1,49.1,50.1,51.1
2026-01-21,286,0.01,50.0,50.0,Toss-up,-2.43,3.19,0.01,-6.68,6.7,50.01,49.99,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-2.99,-0.75,44.8,-7.1,42.0,88.0,60.0,62.0,55.0,55.0,57.1,54.1,49.1,46.1,46.1,47.1,47.1,50.5,45.5,47.5,48.5,54.5,60.5,58.5,62.5,55.1,54.1,54.1,53.1,52.1,51.1,50.1,49.1,49.1,48.1,48.1,48.1,49.1,49.1,50.1,51.1
