date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,8.57,79.3,20.7,Likely D,-0.43,3.1,12.23,-1.44,10.01,54.29,45.71,0.0,False,False,,,,0.0,0.0,0.0,32.24,35.68,8,-3.44,0.233,5958887,4492470,5164615,2.04,-0.63,42.8,-11.0,45.9,91.9,63.9,65.9,58.9,58.9,61.4,58.4,53.4,50.4,50.4,51.4,51.4,54.6,49.6,51.6,52.6,58.6,64.6,62.6,66.6,59.3,58.3,58.3,57.3,56.3,55.3,54.3,53.3,53.3,52.3,52.3,52.3,53.3,53.3,54.3,55.3
2026-01-02,305,8.58,79.4,20.6,Likely D,-0.43,3.11,12.24,-1.44,10.02,54.29,45.71,0.0,False,False,,,,0.0,0.0,0.0,32.24,35.68,8,-3.44,0.233,5958887,4492470,5164615,2.05,-0.63,42.8,-11.0,45.9,91.9,63.9,65.9,58.9,58.9,61.4,58.4,53.4,50.4,50.4,51.4,51.4,54.6,49.6,51.6,52.6,58.6,64.6,62.6,66.6,59.3,58.3,58.3,57.3,56.3,55.3,54.3,53.3,53.3,52.3,52.3,52.3,53.3,53.3,54.3,55.3
2026-01-03,304,8.58,79.4,20.6,Likely D,-0.43,3.11,12.24,-1.44,10.02,54.29,45.71,0.0,False,False,,,,0.0,0.0,0.0,32.24,35.68,8,-3.44,0.233,5958887,4492470,5164615,2.05,-0.63,42.8,-11.0,45.9,91.9,63.9,65.9,58.9,58.9,61.4,58.4,53.4,50.4,50.4,51.4,51.4,54.6,49.6,51.6,52.6,58.6,64.6,62.6,66.6,59.3,58.3,58.3,57.3,56.3,55.3,54.3,53.3,53.3,52.3,52.3,52.3,53.3,53.3,54.3,55.3
2026-01-04,303,8.52,79.2,20.8,Likely D,-0.43,3.04,12.17,-1.44,9.96,54.26,45.74,0.0,False,False,,,,0.0,0.0,0.0,32.24,35.68,8,-3.44,0.233,5958887,4492470,5164615,1.98,-0.63,42.9,-10.7,45.9,91.9,63.9,65.9,58.9,58.9,61.4,58.4,53.4,50.4,50.4,51.4,51.4,54.6,49.6,51.6,52.6,58.6,64.6,62.6,66.6,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-05,302,8.55,79.3,20.7,Likely D,-0.43,3.07,12.2,-1.44,9.99,54.27,45.73,0.0,False,False,,,,0.0,0.0,0.0,32.24,35.68,8,-3.44,0.233,5958887,4492470,5164615,2.01,-0.63,42.9,-10.8,45.9,91.9,63.9,65.9,58.9,58.9,61.4,58.4,53.4,50.4,50.4,51.4,51.4,54.6,49.6,51.6,52.6,58.6,64.6,62.6,66.6,59.2,58.2,58.2,57.2,56.2,55.2,54.2,53.2,53.2,52.2,52.2,52.2,53.2,53.2,54.2,55.2
2026-01-06,301,9.01,80.5,19.5,Likely D,-0.43,3.08,12.21,-1.44,10.45,54.5,45.5,0.0,False,False,,,,0.0,0.0,0.0,38.89,39.88,9,-0.99,0.242,5958887,4492470,5164615,2.02,-0.63,42.9,-10.8,46.1,92.1,64.1,66.1,59.1,59.1,61.6,58.6,53.6,50.6,50.6,51.6,51.6,54.8,49.8,51.8,52.8,58.8,64.8,62.8,66.8,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-07,300,9.01,80.5,19.5,Likely D,-0.43,3.08,12.21,-1.44,10.45,54.5,45.5,0.0,False,False,,,,0.0,0.0,0.0,38.89,39.88,9,-0.99,0.242,5958887,4492470,5164615,2.02,-0.63,42.9,-10.9,46.1,92.1,64.1,66.1,59.1,59.1,61.6,58.6,53.6,50.6,50.6,51.6,51.6,54.8,49.8,51.8,52.8,58.8,64.8,62.8,66.8,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-08,299,9.01,80.5,19.5,Likely D,-0.43,3.08,12.21,-1.44,10.45,54.5,45.5,0.0,False,False,,,,0.0,0.0,0.0,38.89,39.88,9,-0.99,0.242,5958887,4492470,5164615,2.02,-0.63,42.9,-10.9,46.1,92.1,64.1,66.1,59.1,59.1,61.6,58.6,53.6,50.6,50.6,51.6,51.6,54.8,49.8,51.8,52.8,58.8,64.8,62.8,66.8,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-09,298,9.02,80.5,19.5,Likely D,-0.43,3.09,12.22,-1.44,10.45,54.51,45.49,0.0,False,False,,,,0.0,0.0,0.0,38.89,39.88,9,-0.99,0.242,5958887,4492470,5164615,2.03,-0.63,42.9,-10.9,46.1,92.1,64.1,66.1,59.1,59.1,61.6,58.6,53.6,50.6,50.6,51.6,51.6,54.8,49.8,51.8,52.8,58.8,64.8,62.8,66.8,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-10,297,9.02,80.5,19.5,Likely D,-0.43,3.09,12.22,-1.44,10.45,54.51,45.49,0.0,False,False,,,,0.0,0.0,0.0,38.89,39.88,9,-0.99,0.242,5958887,4492470,5164615,2.03,-0.63,42.9,-10.9,46.1,92.1,64.1,66.1,59.1,59.1,61.6,58.6,53.6,50.6,50.6,51.6,51.6,54.8,49.8,51.8,52.8,58.8,64.8,62.8,66.8,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
