date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,3.25,62.2,37.8,Lean D,2.11,3.11,5.03,-1.44,4.68,51.62,48.38,0.0,False,False,,,,0.0,0.0,0.0,35.57,42.44,3,-6.87,0.15,2.12,-0.63,42.8,-11.0,43.2,89.2,61.2,63.2,56.2,56.2,58.7,55.7,50.7,47.7,47.7,48.7,48.7,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.6,55.6,55.6,54.6,53.6,52.6,51.6,50.6,50.6,49.6,49.6,49.6,50.6,50.6,51.6,52.6
2026-01-02,305,3.25,62.2,37.8,Lean D,2.11,3.11,5.03,-1.44,4.68,51.62,48.38,0.0,False,False,,,,0.0,0.0,0.0,35.57,42.44,3,-6.87,0.15,2.12,-0.63,42.8,-11.0,43.2,89.2,61.2,63.2,56.2,56.2,58.7,55.7,50.7,47.7,47.7,48.7,48.7,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.6,55.6,55.6,54.6,53.6,52.6,51.6,50.6,50.6,49.6,49.6,49.6,50.6,50.6,51.6,52.6
2026-01-03,304,3.25,62.2,37.8,Lean D,2.11,3.11,5.03,-1.44,4.68,51.62,48.38,0.0,False,False,,,,0.0,0.0,0.0,35.57,42.44,3,-6.87,0.15,2.12,-0.63,42.8,-11.0,43.2,89.2,61.2,63.2,56.2,56.2,58.7,55.7,50.7,47.7,47.7,48.7,48.7,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.6,55.6,55.6,54.6,53.6,52.6,51.6,50.6,50.6,49.6,49.6,49.6,50.6,50.6,51.6,52.6
2026-01-04,303,3.19,61.9,38.1,Lean D,2.1,3.05,4.96,-1.44,4.62,51.59,48.41,0.0,False,False,,,,0.0,0.0,0.0,35.57,42.44,3,-6.87,0.15,2.06,-0.63,42.9,-10.8,43.2,89.2,61.2,63.2,56.2,56.2,58.7,55.7,50.7,47.7,47.7,48.7,48.7,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.6,55.6,55.6,54.6,53.6,52.6,51.6,50.6,50.6,49.6,49.6,49.6,50.6,50.6,51.6,52.6
2026-01-05,302,3.22,62.1,37.9,Lean D,2.11,3.08,5.0,-1.44,4.65,51.61,48.39,0.0,False,False,,,,0.0,0.0,0.0,35.57,42.44,3,-6.87,0.15,2.09,-0.63,42.9,-10.8,43.2,89.2,61.2,63.2,56.2,56.2,58.7,55.7,50.7,47.7,47.7,48.7,48.7,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.6,55.6,55.6,54.6,53.6,52.6,51.6,50.6,50.6,49.6,49.6,49.6,50.6,50.6,51.6,52.6
2026-01-06,301,3.07,61.5,38.5,Lean D,2.22,3.08,5.11,-1.44,4.51,51.53,48.47,0.0,False,False,,,,0.0,0.0,0.0,39.47,46.04,4,-6.57,0.175,2.09,-0.63,42.9,-10.8,43.1,89.1,61.1,63.1,56.1,56.1,58.6,55.6,50.6,47.6,47.6,48.6,48.6,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-07,300,3.07,61.5,38.5,Lean D,2.22,3.08,5.11,-1.44,4.51,51.53,48.47,0.0,False,False,,,,0.0,0.0,0.0,39.47,46.04,4,-6.57,0.175,2.09,-0.63,42.9,-10.9,43.1,89.1,61.1,63.1,56.1,56.1,58.6,55.6,50.6,47.6,47.6,48.6,48.6,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-08,299,3.07,61.5,38.5,Lean D,2.22,3.09,5.12,-1.44,4.51,51.54,48.46,0.0,False,False,,,,0.0,0.0,0.0,39.47,46.04,4,-6.57,0.175,2.1,-0.63,42.9,-10.9,43.2,89.2,61.2,63.2,56.2,56.2,58.6,55.6,50.6,47.6,47.6,48.6,48.6,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-09,298,3.07,61.5,38.5,Lean D,2.22,3.09,5.12,-1.44,4.51,51.54,48.46,0.0,False,False,,,,0.0,0.0,0.0,39.47,46.04,4,-6.57,0.175,2.1,-0.63,42.9,-10.9,43.2,89.2,61.2,63.2,56.2,56.2,58.6,55.6,50.6,47.6,47.6,48.6,48.6,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
2026-01-10,297,3.07,61.5,38.5,Lean D,2.22,3.09,5.12,-1.44,4.51,51.54,48.46,0.0,False,False,,,,0.0,0.0,0.0,39.47,46.04,4,-6.57,0.175,2.1,-0.63,42.9,-10.9,43.2,89.2,61.2,63.2,56.2,56.2,58.6,55.6,50.6,47.6,47.6,48.6,48.6,51.9,46.9,48.9,49.9,55.9,61.9,59.9,63.9,56.5,55.5,55.5,54.5,53.5,52.5,51.5,50.5,50.5,49.5,49.5,49.5,50.5,50.5,51.5,52.5
