section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,MN-02,house,Democratic candidate (MN-02),Republican candidate (MN-02),15.6,93.4,6.6,Likely D,172632,126027,0,298658.0,57.8,42.2,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,8.62,5.32,False,11.31,37.3,-22.3,,,,,,,,,,,
demographic,,,,,,,,,123987,112961,0,,52.3,47.7,0.0,,,0.0,0,,,,,,,,,,,,,race,White,79.34,236948.0,,,,,,,
demographic,,,,,,,,,18040,368,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,6.16,18408.0,,,,,,,
demographic,,,,,,,,,13407,5657,0,,70.3,29.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,6.38,19064.0,,,,,,,
demographic,,,,,,,,,13399,5127,0,,72.3,27.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,6.2,18526.0,,,,,,,
demographic,,,,,,,,,3452,1832,0,,65.3,34.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.77,5284.0,,,,,,,
demographic,,,,,,,,,280,149,0,,65.3,34.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.14,429.0,,,,,,,
demographic,,,,,,,,,31444,17062,0,,64.8,35.2,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,16.24,48505.0,,,,,,,
demographic,,,,,,,,,34956,21584,0,,61.8,38.2,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.93,56539.0,,,,,,,
demographic,,,,,,,,,30779,23385,0,,56.8,43.2,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,18.14,54165.0,,,,,,,
demographic,,,,,,,,,30040,25770,0,,53.8,46.2,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,18.69,55809.0,,,,,,,
demographic,,,,,,,,,24188,20750,0,,53.8,46.2,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,15.05,44938.0,,,,,,,
demographic,,,,,,,,,13960,11503,0,,54.8,45.2,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,8.53,25463.0,,,,,,,
demographic,,,,,,,,,7258,5981,0,,54.8,45.2,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.43,13239.0,,,,,,,
demographic,,,,,,,,,7929,5933,0,,57.2,42.8,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,4.64,13861.0,,,,,,,
demographic,,,,,,,,,32408,29677,0,,52.2,47.8,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,20.79,62085.0,,,,,,,
demographic,,,,,,,,,31901,26957,0,,54.2,45.8,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,19.71,58858.0,,,,,,,
demographic,,,,,,,,,20465,16610,0,,55.2,44.8,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,12.41,37075.0,,,,,,,
demographic,,,,,,,,,53181,33716,0,,61.2,38.8,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,29.1,86897.0,,,,,,,
demographic,,,,,,,,,19666,9599,0,,67.2,32.8,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,9.8,29265.0,,,,,,,
demographic,,,,,,,,,4440,2370,0,,65.2,34.8,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,2.28,6810.0,,,,,,,
demographic,,,,,,,,,2634,1173,0,,69.2,30.8,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.27,3807.0,,,,,,,
demographic,,,,,,,,,4713,2760,0,,63.1,36.9,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,2.5,7472.0,,,,,,,
demographic,,,,,,,,,2702,1651,0,,62.1,37.9,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,1.46,4354.0,,,,,,,
demographic,,,,,,,,,3086,1886,0,,62.1,37.9,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,1.66,4972.0,,,,,,,
demographic,,,,,,,,,4268,2721,0,,61.1,38.9,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,2.34,6988.0,,,,,,,
demographic,,,,,,,,,4017,2670,0,,60.1,39.9,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,2.24,6687.0,,,,,,,
