date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-36.67,0.0,100.0,Safe R,-35.0,3.11,-36.67,-37.1,0.42,31.66,68.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.95,-0.84,58.0,19.4,29.7,75.7,47.7,49.7,42.7,42.7,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.9,27.9,29.9,30.9,36.9,42.9,40.9,44.9,36.8,35.8,35.8,34.8,33.8,32.8,31.8,30.8,30.8,29.8,29.8,29.8,30.8,30.8,31.8,32.8
2026-01-02,305,-36.67,0.0,100.0,Safe R,-35.0,3.11,-36.67,-37.1,0.42,31.66,68.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.95,-0.84,58.0,19.4,29.7,75.7,47.7,49.7,42.7,42.7,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.9,27.9,29.9,30.9,36.9,42.9,40.9,44.9,36.8,35.8,35.8,34.8,33.8,32.8,31.8,30.8,30.8,29.8,29.8,29.8,30.8,30.8,31.8,32.8
2026-01-03,304,-36.67,0.0,100.0,Safe R,-35.0,3.11,-36.67,-37.1,0.42,31.66,68.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.95,-0.84,58.0,19.4,29.7,75.7,47.7,49.7,42.7,42.7,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.9,27.9,29.9,30.9,36.9,42.9,40.9,44.9,36.8,35.8,35.8,34.8,33.8,32.8,31.8,30.8,30.8,29.8,29.8,29.8,30.8,30.8,31.8,32.8
2026-01-04,303,-36.77,0.0,100.0,Safe R,-35.03,3.04,-36.77,-37.1,0.32,31.61,68.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-34.02,-0.84,58.1,19.7,29.6,75.6,47.6,49.6,42.6,42.6,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,36.7,35.7,35.7,34.7,33.7,32.7,31.7,30.7,30.7,29.7,29.7,29.7,30.7,30.7,31.7,32.7
2026-01-05,302,-36.72,0.0,100.0,Safe R,-35.02,3.08,-36.72,-37.1,0.38,31.64,68.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.98,-0.84,58.1,19.6,29.6,75.6,47.6,49.6,42.6,42.6,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,36.7,35.7,35.7,34.7,33.7,32.7,31.7,30.7,30.7,29.7,29.7,29.7,30.7,30.7,31.7,32.7
2026-01-06,301,-36.72,0.0,100.0,Safe R,-35.02,3.08,-36.72,-37.1,0.38,31.64,68.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.98,-0.84,58.1,19.6,29.6,75.6,47.6,49.6,42.6,42.6,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,36.7,35.7,35.7,34.7,33.7,32.7,31.7,30.7,30.7,29.7,29.7,29.7,30.7,30.7,31.7,32.7
2026-01-07,300,-36.72,0.0,100.0,Safe R,-35.02,3.08,-36.72,-37.1,0.38,31.64,68.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.98,-0.84,58.1,19.5,29.6,75.6,47.6,49.6,42.6,42.6,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,36.7,35.7,35.7,34.7,33.7,32.7,31.7,30.7,30.7,29.7,29.7,29.7,30.7,30.7,31.7,32.7
2026-01-08,299,-36.72,0.0,100.0,Safe R,-35.02,3.08,-36.72,-37.1,0.38,31.64,68.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.98,-0.84,58.1,19.6,29.6,75.6,47.6,49.6,42.6,42.6,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,36.7,35.7,35.7,34.7,33.7,32.7,31.7,30.7,30.7,29.7,29.7,29.7,30.7,30.7,31.7,32.7
2026-01-09,298,-36.7,0.0,100.0,Safe R,-35.01,3.09,-36.7,-37.1,0.4,31.65,68.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.97,-0.84,58.1,19.6,29.7,75.7,47.7,49.7,42.7,42.7,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.9,27.9,29.9,30.9,36.9,42.9,40.9,44.9,36.8,35.8,35.8,34.8,33.8,32.8,31.8,30.8,30.8,29.8,29.8,29.8,30.8,30.8,31.8,32.8
2026-01-10,297,-36.7,0.0,100.0,Safe R,-35.01,3.09,-36.7,-37.1,0.4,31.65,68.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,987633,0,-33.97,-0.84,58.1,19.6,29.7,75.7,47.7,49.7,42.7,42.7,39.1,36.1,31.1,28.1,28.1,29.1,29.1,32.9,27.9,29.9,30.9,36.9,42.9,40.9,44.9,36.8,35.8,35.8,34.8,33.8,32.8,31.8,30.8,30.8,29.8,29.8,29.8,30.8,30.8,31.8,32.8
