date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,6.54,73.4,26.6,Lean D,4.94,3.18,6.55,4.34,2.19,53.27,46.73,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.67,-1.45,40.4,-15.8,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-02,305,6.54,73.4,26.6,Lean D,4.94,3.18,6.55,4.34,2.19,53.27,46.73,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.67,-1.45,40.4,-15.8,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-03,304,6.55,73.4,26.6,Lean D,4.94,3.19,6.56,4.34,2.2,53.27,46.73,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.68,-1.45,40.4,-15.8,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-04,303,6.5,73.2,26.8,Lean D,4.94,3.13,6.5,4.34,2.15,53.25,46.75,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.62,-1.45,40.5,-15.6,47.8,93.8,65.8,67.8,60.8,60.8,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-05,302,6.53,73.3,26.7,Lean D,4.94,3.17,6.54,4.34,2.19,53.26,46.74,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.66,-1.45,40.5,-15.6,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-06,301,6.53,73.3,26.7,Lean D,4.94,3.17,6.54,4.34,2.19,53.26,46.74,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.66,-1.45,40.5,-15.6,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-07,300,6.53,73.3,26.7,Lean D,4.94,3.17,6.54,4.34,2.19,53.26,46.74,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.66,-1.45,40.5,-15.8,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-08,299,6.53,73.3,26.7,Lean D,4.94,3.17,6.54,4.34,2.19,53.26,46.74,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.66,-1.45,40.5,-15.7,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-09,298,6.53,73.3,26.7,Lean D,4.94,3.17,6.54,4.34,2.19,53.26,46.74,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.66,-1.45,40.5,-15.7,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
2026-01-10,297,6.53,73.3,26.7,Lean D,4.94,3.17,6.54,4.34,2.19,53.26,46.74,0.0,False,False,,,,0.0,0.0,0.0,46.66,40.17,2,6.489999999999995,0.15,6.66,-1.45,40.5,-15.7,47.8,93.8,65.8,67.8,60.8,60.8,60.3,57.3,52.3,49.3,49.3,50.3,50.3,53.0,48.0,50.0,51.0,57.0,63.0,61.0,65.0,58.4,57.4,57.4,56.4,55.4,54.4,53.4,52.4,52.4,51.4,51.4,51.4,52.4,52.4,53.4,54.4
