date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,63.9,100.0,0.0,Safe D,59.05,3.18,63.9,58.61,5.28,81.95,18.05,0.0,False,False,,,,0.0,0.0,0.0,62.23,17.9,-60.8,59.5,98.0,77.5,79.5,72.5,72.5,88.6,85.6,80.6,77.6,77.6,78.6,78.6,81.7,76.7,78.7,79.7,85.7,91.7,89.7,93.7,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-02,305,63.9,100.0,0.0,Safe D,59.05,3.18,63.9,58.61,5.28,81.95,18.05,0.0,False,False,,,,0.0,0.0,0.0,62.23,17.9,-60.8,59.5,98.0,77.5,79.5,72.5,72.5,88.6,85.6,80.6,77.6,77.6,78.6,78.6,81.7,76.7,78.7,79.7,85.7,91.7,89.7,93.7,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-03,304,63.91,100.0,0.0,Safe D,59.05,3.19,63.91,58.61,5.29,81.95,18.05,0.0,False,False,,,,0.0,0.0,0.0,62.24,17.9,-60.8,59.5,98.0,77.5,79.5,72.5,72.5,88.6,85.6,80.6,77.6,77.6,78.6,78.6,81.7,76.7,78.7,79.7,85.7,91.7,89.7,93.7,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-04,303,63.85,100.0,0.0,Safe D,59.05,3.13,63.85,58.61,5.23,81.92,18.08,0.0,False,False,,,,0.0,0.0,0.0,62.18,18.0,-60.5,59.5,98.0,77.5,79.5,72.5,72.5,88.5,85.5,80.5,77.5,77.5,78.5,78.5,81.6,76.6,78.6,79.6,85.6,91.6,89.6,93.6,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-05,302,63.89,100.0,0.0,Safe D,59.05,3.17,63.89,58.61,5.27,81.94,18.06,0.0,False,False,,,,0.0,0.0,0.0,62.22,18.0,-60.6,59.5,98.0,77.5,79.5,72.5,72.5,88.5,85.5,80.5,77.5,77.5,78.5,78.5,81.6,76.6,78.6,79.6,85.6,91.6,89.6,93.6,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-06,301,63.89,100.0,0.0,Safe D,59.05,3.17,63.89,58.61,5.27,81.94,18.06,0.0,False,False,,,,0.0,0.0,0.0,62.22,18.0,-60.6,59.5,98.0,77.5,79.5,72.5,72.5,88.5,85.5,80.5,77.5,77.5,78.5,78.5,81.6,76.6,78.6,79.6,85.6,91.6,89.6,93.6,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-07,300,63.89,100.0,0.0,Safe D,59.05,3.17,63.89,58.61,5.27,81.94,18.06,0.0,False,False,,,,0.0,0.0,0.0,62.22,18.0,-60.7,59.5,98.0,77.5,79.5,72.5,72.5,88.5,85.5,80.5,77.5,77.5,78.5,78.5,81.6,76.6,78.6,79.6,85.6,91.6,89.6,93.6,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-08,299,63.89,100.0,0.0,Safe D,59.05,3.17,63.89,58.61,5.27,81.94,18.06,0.0,False,False,,,,0.0,0.0,0.0,62.22,18.0,-60.7,59.5,98.0,77.5,79.5,72.5,72.5,88.5,85.5,80.5,77.5,77.5,78.5,78.5,81.6,76.6,78.6,79.6,85.6,91.6,89.6,93.6,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-09,298,63.89,100.0,0.0,Safe D,59.05,3.17,63.89,58.61,5.27,81.94,18.06,0.0,False,False,,,,0.0,0.0,0.0,62.22,18.0,-60.7,59.5,98.0,77.5,79.5,72.5,72.5,88.5,85.5,80.5,77.5,77.5,78.5,78.5,81.6,76.6,78.6,79.6,85.6,91.6,89.6,93.6,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
2026-01-10,297,63.89,100.0,0.0,Safe D,59.05,3.17,63.89,58.61,5.27,81.94,18.06,0.0,False,False,,,,0.0,0.0,0.0,62.22,18.0,-60.7,59.5,98.0,77.5,79.5,72.5,72.5,88.5,85.5,80.5,77.5,77.5,78.5,78.5,81.6,76.6,78.6,79.6,85.6,91.6,89.6,93.6,86.7,85.7,85.7,84.7,83.7,82.7,81.7,80.7,80.7,79.7,79.7,79.7,80.7,80.7,81.7,82.7
