date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-33.98,0.1,99.9,Safe R,-34.49,3.18,-33.98,-37.53,3.55,33.01,66.99,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.98,-1.0,58.3,20.1,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-02,305,-33.98,0.1,99.9,Safe R,-34.49,3.18,-33.98,-37.53,3.55,33.01,66.99,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.98,-1.0,58.3,20.1,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-03,304,-33.97,0.1,99.9,Safe R,-34.49,3.19,-33.97,-37.53,3.57,33.02,66.98,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.97,-1.0,58.3,20.1,19.6,65.6,37.6,39.6,32.6,32.6,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-04,303,-34.04,0.1,99.9,Safe R,-34.5,3.13,-34.04,-37.53,3.49,32.98,67.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-34.03,-1.0,58.4,20.4,19.5,65.5,37.5,39.5,32.5,32.5,39.9,36.9,31.9,28.9,28.9,29.9,29.9,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-05,302,-33.99,0.1,99.9,Safe R,-34.49,3.17,-33.99,-37.53,3.54,33.0,67.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.99,-1.0,58.4,20.3,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-06,301,-33.99,0.1,99.9,Safe R,-34.49,3.17,-33.99,-37.53,3.54,33.0,67.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.99,-1.0,58.4,20.3,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-07,300,-33.99,0.1,99.9,Safe R,-34.49,3.17,-33.99,-37.53,3.54,33.0,67.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.99,-1.0,58.4,20.2,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-08,299,-33.99,0.1,99.9,Safe R,-34.49,3.17,-33.99,-37.53,3.54,33.0,67.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.99,-1.0,58.4,20.2,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-09,298,-33.99,0.1,99.9,Safe R,-34.49,3.17,-33.99,-37.53,3.54,33.0,67.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.99,-1.0,58.4,20.2,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
2026-01-10,297,-33.99,0.1,99.9,Safe R,-34.49,3.17,-33.99,-37.53,3.54,33.0,67.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-33.99,-1.0,58.4,20.2,19.5,65.5,37.5,39.5,32.5,32.5,40.0,37.0,32.0,29.0,29.0,30.0,30.0,34.0,29.0,31.0,32.0,38.0,44.0,42.0,46.0,37.8,36.8,36.8,35.8,34.8,33.8,32.8,31.8,31.8,30.8,30.8,30.8,31.8,31.8,32.8,33.8
