date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,28.93,99.7,0.3,Safe D,24.08,3.18,28.93,20.59,8.34,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.4,34.0,-28.6,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-02,305,28.93,99.7,0.3,Safe D,24.08,3.18,28.93,20.59,8.34,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.4,34.0,-28.6,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-03,304,28.94,99.7,0.3,Safe D,24.08,3.19,28.94,20.59,8.35,64.47,35.53,0.0,False,False,,,,0.0,0.0,0.0,25.41,34.0,-28.6,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-04,303,28.86,99.7,0.3,Safe D,24.07,3.13,28.86,20.59,8.27,64.43,35.57,0.0,False,False,,,,0.0,0.0,0.0,25.35,34.1,-28.4,35.3,81.3,53.3,55.3,48.3,48.3,71.4,68.4,63.4,60.4,60.4,61.4,61.4,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-05,302,28.91,99.7,0.3,Safe D,24.08,3.17,28.91,20.59,8.32,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.39,34.1,-28.4,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-06,301,28.91,99.7,0.3,Safe D,24.08,3.17,28.91,20.59,8.32,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.39,34.1,-28.4,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-07,300,28.91,99.7,0.3,Safe D,24.08,3.17,28.91,20.59,8.32,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.39,34.1,-28.5,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-08,299,28.91,99.7,0.3,Safe D,24.08,3.17,28.91,20.59,8.32,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.39,34.1,-28.5,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-09,298,28.91,99.7,0.3,Safe D,24.08,3.17,28.91,20.59,8.32,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.39,34.1,-28.5,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
2026-01-10,297,28.91,99.7,0.3,Safe D,24.08,3.17,28.91,20.59,8.32,64.46,35.54,0.0,False,False,,,,0.0,0.0,0.0,25.39,34.1,-28.5,35.3,81.3,53.3,55.3,48.3,48.3,71.5,68.5,63.5,60.5,60.5,61.5,61.5,65.5,60.5,62.5,63.5,69.5,75.5,73.5,77.5,68.7,67.7,67.7,66.7,65.7,64.7,63.7,62.7,62.7,61.7,61.7,61.7,62.7,62.7,63.7,64.7
