date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-3.96,35.3,64.7,Lean R,-8.81,3.18,-3.96,-11.71,7.75,48.02,51.98,0.0,False,False,,,,0.0,0.0,0.0,-6.94,47.2,-2.2,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-02,305,-3.96,35.3,64.7,Lean R,-8.81,3.18,-3.96,-11.71,7.75,48.02,51.98,0.0,False,False,,,,0.0,0.0,0.0,-6.94,47.2,-2.2,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-03,304,-3.95,35.3,64.7,Lean R,-8.8,3.19,-3.95,-11.71,7.76,48.03,51.97,0.0,False,False,,,,0.0,0.0,0.0,-6.93,47.2,-2.2,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-04,303,-4.02,35.0,65.0,Lean R,-8.82,3.13,-4.02,-11.71,7.69,47.99,52.01,0.0,False,False,,,,0.0,0.0,0.0,-6.99,47.3,-1.9,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-05,302,-3.97,35.2,64.8,Lean R,-8.81,3.17,-3.97,-11.71,7.74,48.01,51.99,0.0,False,False,,,,0.0,0.0,0.0,-6.95,47.3,-2.0,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-06,301,-3.97,35.2,64.8,Lean R,-8.81,3.17,-3.97,-11.71,7.74,48.01,51.99,0.0,False,False,,,,0.0,0.0,0.0,-6.95,47.3,-2.0,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-07,300,-3.97,35.2,64.8,Lean R,-8.81,3.17,-3.97,-11.71,7.74,48.01,51.99,0.0,False,False,,,,0.0,0.0,0.0,-6.95,47.3,-2.1,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-08,299,-3.97,35.2,64.8,Lean R,-8.81,3.17,-3.97,-11.71,7.74,48.01,51.99,0.0,False,False,,,,0.0,0.0,0.0,-6.95,47.3,-2.1,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-09,298,-3.97,35.2,64.8,Lean R,-8.81,3.17,-3.97,-11.71,7.74,48.01,51.99,0.0,False,False,,,,0.0,0.0,0.0,-6.95,47.3,-2.0,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-10,297,-3.97,35.2,64.8,Lean R,-8.81,3.17,-3.97,-11.71,7.74,48.01,51.99,0.0,False,False,,,,0.0,0.0,0.0,-6.95,47.3,-2.0,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-11,296,-4.0,35.1,64.9,Lean R,-8.81,3.15,-4.0,-11.71,7.71,48.0,52.0,0.0,False,False,,,,0.0,0.0,0.0,-6.97,47.2,-2.2,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.7,51.7,51.7,50.7,49.7,48.7,47.7,46.7,46.7,45.7,45.7,45.7,46.7,46.7,47.7,48.7
2026-01-12,295,-3.95,35.3,64.7,Lean R,-8.8,3.19,-3.95,-11.71,7.76,48.03,51.97,0.0,False,False,,,,0.0,0.0,0.0,-6.93,47.2,-2.4,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-13,294,-3.97,35.2,64.8,Lean R,-8.81,3.17,-3.97,-11.71,7.74,48.01,51.99,0.0,False,False,,,,0.0,0.0,0.0,-6.95,47.1,-2.6,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-14,293,-3.96,35.3,64.7,Lean R,-8.81,3.18,-3.96,-11.71,7.75,48.02,51.98,0.0,False,False,,,,0.0,0.0,0.0,-6.94,47.1,-2.5,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
2026-01-15,292,-3.93,35.4,64.6,Lean R,-8.8,3.2,-3.93,-11.71,7.78,48.03,51.97,0.0,False,False,,,,0.0,0.0,0.0,-6.92,47.1,-2.5,31.8,77.8,49.8,51.8,44.8,44.8,55.6,52.6,47.6,44.6,44.6,45.6,45.6,49.1,44.1,46.1,47.1,53.1,59.1,57.1,61.1,52.8,51.8,51.8,50.8,49.8,48.8,47.8,46.8,46.8,45.8,45.8,45.8,46.8,46.8,47.8,48.8
