date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,40.85,100.0,0.0,Safe D,36.28,3.18,40.85,34.41,6.44,70.43,29.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.67,-0.27,27.4,-41.8,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.6,63.6,65.6,66.6,72.6,78.6,76.6,80.6,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-02,305,40.85,100.0,0.0,Safe D,36.28,3.18,40.85,34.41,6.44,70.43,29.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.67,-0.27,27.4,-41.8,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.6,63.6,65.6,66.6,72.6,78.6,76.6,80.6,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-03,304,40.87,100.0,0.0,Safe D,36.28,3.19,40.87,34.41,6.46,70.43,29.57,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.68,-0.27,27.4,-41.8,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.6,63.6,65.6,66.6,72.6,78.6,76.6,80.6,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-04,303,40.79,100.0,0.0,Safe D,36.27,3.13,40.79,34.41,6.38,70.4,29.6,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.62,-0.27,27.5,-41.5,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.5,63.5,65.5,66.5,72.5,78.5,76.5,80.5,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-05,302,40.84,100.0,0.0,Safe D,36.27,3.17,40.84,34.41,6.43,70.42,29.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.66,-0.27,27.5,-41.5,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.5,63.5,65.5,66.5,72.5,78.5,76.5,80.5,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-06,301,40.84,100.0,0.0,Safe D,36.27,3.17,40.84,34.41,6.43,70.42,29.58,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.66,-0.27,27.5,-41.5,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.5,63.5,65.5,66.5,72.5,78.5,76.5,80.5,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-07,300,40.78,100.0,0.0,Safe D,36.21,3.17,40.78,34.41,6.37,70.39,29.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.66,-0.27,27.5,-41.7,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.5,63.5,65.5,66.5,72.5,78.5,76.5,80.5,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-08,299,40.78,100.0,0.0,Safe D,36.21,3.17,40.78,34.41,6.37,70.39,29.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.66,-0.27,27.5,-41.6,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.5,63.5,65.5,66.5,72.5,78.5,76.5,80.5,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-09,298,40.78,100.0,0.0,Safe D,36.21,3.17,40.78,34.41,6.37,70.39,29.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.66,-0.27,27.5,-41.6,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.5,63.5,65.5,66.5,72.5,78.5,76.5,80.5,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-10,297,40.78,100.0,0.0,Safe D,36.21,3.17,40.78,34.41,6.37,70.39,29.61,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,37.66,-0.27,27.5,-41.6,55.9,98.0,73.9,75.9,68.9,68.9,76.8,73.8,68.8,65.8,65.8,66.8,66.8,68.5,63.5,65.5,66.5,72.5,78.5,76.5,80.5,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
