section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,NC-SEN,senate,Roy Cooper,Michael Whatley,4.11,65.4,34.6,Lean D,2036862,1876040,74566,3987467.0,51.08,47.05,1.87,GRN,,0.0,0,0.0,,,0.0,0.0,0.0,-2.64,5.32,False,2.68,41.0,-14.9,,,,,,,,,,,
demographic,,,,,,,,,979246,1495719,47164,,38.8,59.3,1.9,,,0.0,0,,,,,,,,,,,,,race,White,63.25,2522129.0,,,,,,,
demographic,,,,,,,,,711286,119985,15841,,84.0,14.2,1.9,,,0.0,0,,,,,,,,,,,,,race,Black,21.24,847112.0,,,,,,,
demographic,,,,,,,,,198849,146579,6583,,56.5,41.6,1.9,,,0.0,0,,,,,,,,,,,,,race,Hispanic,8.83,352011.0,,,,,,,
demographic,,,,,,,,,85905,58313,2748,,58.5,39.7,1.9,,,0.0,0,,,,,,,,,,,,,race,Asian,3.69,146967.0,,,,,,,
demographic,,,,,,,,,57999,52337,2103,,51.6,46.5,1.9,,,0.0,0,,,,,,,,,,,,,race,Native,2.82,112439.0,,,,,,,
demographic,,,,,,,,,3512,3170,127,,51.6,46.5,1.9,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.17,6809.0,,,,,,,
demographic,,,,,,,,,415042,287836,13394,,57.9,40.2,1.9,,,0.0,0,,,,,,,,,,,,,age,20-29,17.96,716272.0,,,,,,,
demographic,,,,,,,,,376712,295400,12808,,55.0,43.1,1.9,,,0.0,0,,,,,,,,,,,,,age,30-39,17.18,684920.0,,,,,,,
demographic,,,,,,,,,336371,322547,12557,,50.1,48.0,1.9,,,0.0,0,,,,,,,,,,,,,age,40-49,16.84,671475.0,,,,,,,
demographic,,,,,,,,,326416,352924,12946,,47.2,51.0,1.9,,,0.0,0,,,,,,,,,,,,,age,50-59,17.36,692286.0,,,,,,,
demographic,,,,,,,,,296029,320069,11741,,47.2,51.0,1.9,,,0.0,0,,,,,,,,,,,,,age,60-69,15.75,627838.0,,,,,,,
demographic,,,,,,,,,193954,201475,7535,,48.1,50.0,1.9,,,0.0,0,,,,,,,,,,,,,age,70-79,10.11,402965.0,,,,,,,
demographic,,,,,,,,,92273,95851,3585,,48.1,50.0,1.9,,,0.0,0,,,,,,,,,,,,,age,80+,4.81,191709.0,,,,,,,
demographic,,,,,,,,,215199,198420,7882,,51.1,47.1,1.9,,,0.0,0,,,,,,,,,,,,,education,No HS,10.57,421501.0,,,,,,,
demographic,,,,,,,,,462963,521470,18760,,46.1,52.0,1.9,,,0.0,0,,,,,,,,,,,,,education,HS grad,25.16,1003193.0,,,,,,,
demographic,,,,,,,,,390560,406040,15180,,48.1,50.0,1.9,,,0.0,0,,,,,,,,,,,,,education,Some college,20.36,811780.0,,,,,,,
demographic,,,,,,,,,196669,196446,7491,,49.1,49.0,1.9,,,0.0,0,,,,,,,,,,,,,education,Associate,10.05,400607.0,,,,,,,
demographic,,,,,,,,,468769,367894,15944,,55.0,43.1,1.9,,,0.0,0,,,,,,,,,,,,,education,Bachelor,21.38,852606.0,,,,,,,
demographic,,,,,,,,,219530,134389,6744,,60.9,37.3,1.9,,,0.0,0,,,,,,,,,,,,,education,Master,9.04,360663.0,,,,,,,
demographic,,,,,,,,,45697,30429,1451,,58.9,39.2,1.9,,,0.0,0,,,,,,,,,,,,,education,Professional,1.95,77576.0,,,,,,,
demographic,,,,,,,,,37409,21017,1113,,62.8,35.3,1.9,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.49,59540.0,,,,,,,
demographic,,,,,,,,,113677,85837,3802,,55.9,42.2,1.9,,,0.0,0,,,,,,,,,,,,,income,<$10k,5.1,203316.0,,,,,,,
demographic,,,,,,,,,93304,73379,3176,,54.9,43.2,1.9,,,0.0,0,,,,,,,,,,,,,income,$10-15k,4.26,169859.0,,,,,,,
demographic,,,,,,,,,87434,68762,2977,,54.9,43.2,1.9,,,0.0,0,,,,,,,,,,,,,income,$15-20k,3.99,159173.0,,,,,,,
demographic,,,,,,,,,88569,72533,3070,,53.9,44.2,1.9,,,0.0,0,,,,,,,,,,,,,income,$20-25k,4.12,164171.0,,,,,,,
demographic,,,,,,,,,89493,76306,3160,,53.0,45.2,1.9,,,0.0,0,,,,,,,,,,,,,income,$25-30k,4.24,168959.0,,,,,,,
demographic,,,,,,,,,89391,79345,3215,,52.0,46.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$30-35k,4.31,171952.0,,,,,,,
demographic,,,,,,,,,81859,75632,3001,,51.0,47.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$35-40k,4.02,160493.0,,,,,,,
demographic,,,,,,,,,84774,81525,3169,,50.0,48.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$40-45k,4.25,169468.0,,,,,,,
demographic,,,,,,,,,80239,77164,3000,,50.0,48.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$45-50k,4.02,160403.0,,,,,,,
demographic,,,,,,,,,149025,149162,5682,,49.0,49.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$50-60k,7.62,303870.0,,,,,,,
demographic,,,,,,,,,188352,188526,7182,,49.0,49.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$60-75k,9.63,384059.0,,,,,,,
demographic,,,,,,,,,251873,252105,9604,,49.0,49.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$75-100k,12.88,513582.0,,,,,,,
demographic,,,,,,,,,187601,180410,7013,,50.0,48.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$100-125k,9.41,375024.0,,,,,,,
demographic,,,,,,,,,129757,124783,4851,,50.0,48.1,1.9,,,0.0,0,,,,,,,,,,,,,income,$125-150k,6.51,259390.0,,,,,,,
