date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-35.24,0.0,100.0,Safe R,-36.76,3.18,-35.24,-37.39,2.15,32.38,67.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.78,0.8,58.2,19.8,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-02,305,-35.24,0.0,100.0,Safe R,-36.76,3.18,-35.24,-37.39,2.15,32.38,67.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.78,0.8,58.2,19.8,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-03,304,-35.23,0.0,100.0,Safe R,-36.76,3.19,-35.23,-37.39,2.16,32.38,67.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.77,0.8,58.2,19.8,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-04,303,-35.29,0.0,100.0,Safe R,-36.76,3.13,-35.29,-37.39,2.1,32.35,67.65,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.83,0.8,58.3,20.1,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-05,302,-35.25,0.0,100.0,Safe R,-36.76,3.17,-35.25,-37.39,2.14,32.37,67.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.8,58.3,20.0,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-06,301,-35.25,0.0,100.0,Safe R,-36.76,3.17,-35.25,-37.39,2.14,32.37,67.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.8,58.3,20.0,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-07,300,-35.25,0.0,100.0,Safe R,-36.76,3.17,-35.25,-37.39,2.14,32.37,67.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.8,58.3,19.9,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-08,299,-35.25,0.0,100.0,Safe R,-36.76,3.17,-35.25,-37.39,2.14,32.37,67.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.8,58.3,19.9,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-09,298,-35.25,0.0,100.0,Safe R,-36.76,3.17,-35.25,-37.39,2.14,32.37,67.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.8,58.3,20.0,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-10,297,-35.25,0.0,100.0,Safe R,-36.76,3.17,-35.25,-37.39,2.14,32.37,67.63,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.79,0.8,58.3,20.0,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-11,296,-35.27,0.0,100.0,Safe R,-36.76,3.15,-35.27,-37.39,2.12,32.36,67.64,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.81,0.8,58.2,19.8,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
2026-01-12,295,-35.23,0.0,100.0,Safe R,-36.76,3.19,-35.23,-37.39,2.16,32.38,67.62,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.77,0.8,58.2,19.6,28.8,74.8,46.8,48.8,41.8,41.8,38.9,35.9,30.9,27.9,27.9,28.9,28.9,32.8,27.8,29.8,30.8,36.8,42.8,40.8,44.8,37.4,36.4,36.4,35.4,34.4,33.4,32.4,31.4,31.4,30.4,30.4,30.4,31.4,31.4,32.4,33.4
