date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,8.77,79.9,20.1,Likely D,6.87,3.11,9.79,4.68,4.09,54.39,45.61,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.55,-0.36,40.1,-16.5,46.4,92.4,64.4,66.4,59.4,59.4,61.0,58.0,53.0,50.0,50.0,51.0,51.0,53.7,48.7,50.7,51.7,57.7,63.7,61.7,65.7,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-02,305,8.63,79.5,20.5,Likely D,6.7,3.11,9.62,4.68,3.95,54.31,45.69,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.55,-0.36,40.1,-16.5,46.3,92.3,64.3,66.3,59.3,59.3,60.9,57.9,52.9,49.9,49.9,50.9,50.9,53.6,48.6,50.6,51.6,57.6,63.6,61.6,65.6,59.4,58.4,58.4,57.4,56.4,55.4,54.4,53.4,53.4,52.4,52.4,52.4,53.4,53.4,54.4,55.4
2026-01-03,304,8.66,79.6,20.4,Likely D,6.73,3.11,9.65,4.68,3.97,54.33,45.67,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.55,-0.36,40.1,-16.5,46.3,92.3,64.3,66.3,59.3,59.3,60.9,57.9,52.9,49.9,49.9,50.9,50.9,53.6,48.6,50.6,51.6,57.6,63.6,61.6,65.6,59.4,58.4,58.4,57.4,56.4,55.4,54.4,53.4,53.4,52.4,52.4,52.4,53.4,53.4,54.4,55.4
2026-01-04,303,8.59,79.4,20.6,Likely D,6.73,3.04,9.58,4.68,3.91,54.3,45.7,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.48,-0.36,40.2,-16.2,46.3,92.3,64.3,66.3,59.3,59.3,60.9,57.9,52.9,49.9,49.9,50.9,50.9,53.6,48.6,50.6,51.6,57.6,63.6,61.6,65.6,59.4,58.4,58.4,57.4,56.4,55.4,54.4,53.4,53.4,52.4,52.4,52.4,53.4,53.4,54.4,55.4
2026-01-05,302,8.5,79.1,20.9,Likely D,6.57,3.08,9.46,4.68,3.81,54.25,45.75,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.52,-0.36,40.2,-16.2,46.2,92.2,64.2,66.2,59.2,59.2,60.9,57.9,52.9,49.9,49.9,50.9,50.9,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,59.3,58.3,58.3,57.3,56.3,55.3,54.3,53.3,53.3,52.3,52.3,52.3,53.3,53.3,54.3,55.3
2026-01-06,301,8.77,79.9,20.1,Likely D,6.9,3.08,9.79,4.68,4.09,54.39,45.61,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.52,-0.36,40.2,-16.2,46.4,92.4,64.4,66.4,59.4,59.4,61.0,58.0,53.0,50.0,50.0,51.0,51.0,53.7,48.7,50.7,51.7,57.7,63.7,61.7,65.7,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-07,300,8.75,79.8,20.2,Likely D,6.87,3.08,9.76,4.68,4.07,54.38,45.62,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.52,-0.36,40.2,-16.4,46.4,92.4,64.4,66.4,59.4,59.4,61.0,58.0,53.0,50.0,50.0,51.0,51.0,53.7,48.7,50.7,51.7,57.7,63.7,61.7,65.7,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-08,299,8.85,80.1,19.9,Likely D,6.99,3.08,9.88,4.68,4.16,54.42,45.58,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.52,-0.36,40.2,-16.3,46.4,92.4,64.4,66.4,59.4,59.4,61.0,58.0,53.0,50.0,50.0,51.0,51.0,53.7,48.7,50.7,51.7,57.7,63.7,61.7,65.7,59.5,58.5,58.5,57.5,56.5,55.5,54.5,53.5,53.5,52.5,52.5,52.5,53.5,53.5,54.5,55.5
2026-01-09,298,8.74,79.8,20.2,Likely D,6.85,3.09,9.75,4.68,4.05,54.37,45.63,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.53,-0.36,40.2,-16.3,46.4,92.4,64.4,66.4,59.4,59.4,61.0,58.0,53.0,50.0,50.0,51.0,51.0,53.7,48.7,50.7,51.7,57.7,63.7,61.7,65.7,59.4,58.4,58.4,57.4,56.4,55.4,54.4,53.4,53.4,52.4,52.4,52.4,53.4,53.4,54.4,55.4
2026-01-10,297,8.72,79.7,20.3,Likely D,6.83,3.09,9.73,4.68,4.04,54.36,45.64,0.0,False,False,,,,0.0,0.0,0.0,46.5,40.5,1,3.0,0.15,1617997,1279187,0,7.53,-0.36,40.2,-16.3,46.3,92.3,64.3,66.3,59.3,59.3,61.0,58.0,53.0,50.0,50.0,51.0,51.0,53.7,48.7,50.7,51.7,57.7,63.7,61.7,65.7,59.4,58.4,58.4,57.4,56.4,55.4,54.4,53.4,53.4,52.4,52.4,52.4,53.4,53.4,54.4,55.4
