date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-50.54,0.0,100.0,Safe R,-52.06,3.18,-50.54,-54.43,3.89,24.73,75.27,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.36,0.44,65.1,33.7,21.6,67.6,39.6,41.6,34.6,34.6,32.1,29.1,24.1,21.1,21.1,22.1,22.1,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.8,28.8,28.8,27.8,26.8,25.8,24.8,23.8,23.8,22.8,22.8,22.8,23.8,23.8,24.8,25.8
2026-01-02,305,-50.53,0.0,100.0,Safe R,-52.04,3.18,-50.53,-54.43,3.91,24.74,75.26,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.36,0.44,65.1,33.7,21.6,67.6,39.6,41.6,34.6,34.6,32.1,29.1,24.1,21.1,21.1,22.1,22.1,25.9,20.9,22.9,23.9,29.9,35.9,33.9,37.9,29.8,28.8,28.8,27.8,26.8,25.8,24.8,23.8,23.8,22.8,22.8,22.8,23.8,23.8,24.8,25.8
2026-01-03,304,-50.5,0.0,100.0,Safe R,-52.02,3.19,-50.5,-54.43,3.93,24.75,75.25,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.35,0.44,65.1,33.7,21.6,67.6,39.6,41.6,34.6,34.6,32.1,29.1,24.1,21.1,21.1,22.1,22.1,25.9,20.9,22.9,23.9,29.9,35.9,33.9,37.9,29.8,28.8,28.8,27.8,26.8,25.8,24.8,23.8,23.8,22.8,22.8,22.8,23.8,23.8,24.8,25.8
2026-01-04,303,-50.66,0.0,100.0,Safe R,-52.12,3.13,-50.66,-54.43,3.77,24.67,75.33,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.41,0.44,65.3,34.0,21.6,67.6,39.6,41.6,34.6,34.6,32.0,29.0,24.0,21.0,21.0,22.0,22.0,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.7,28.7,28.7,27.7,26.7,25.7,24.7,23.7,23.7,22.7,22.7,22.7,23.7,23.7,24.7,25.7
2026-01-05,302,-50.64,0.0,100.0,Safe R,-52.14,3.17,-50.64,-54.43,3.79,24.68,75.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.37,0.44,65.3,33.9,21.6,67.6,39.6,41.6,34.6,34.6,32.0,29.0,24.0,21.0,21.0,22.0,22.0,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.7,28.7,28.7,27.7,26.7,25.7,24.7,23.7,23.7,22.7,22.7,22.7,23.7,23.7,24.7,25.7
2026-01-06,301,-50.65,0.0,100.0,Safe R,-52.15,3.17,-50.65,-54.43,3.78,24.68,75.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.37,0.44,65.3,33.9,21.6,67.6,39.6,41.6,34.6,34.6,32.0,29.0,24.0,21.0,21.0,22.0,22.0,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.7,28.7,28.7,27.7,26.7,25.7,24.7,23.7,23.7,22.7,22.7,22.7,23.7,23.7,24.7,25.7
2026-01-07,300,-50.54,0.0,100.0,Safe R,-52.04,3.17,-50.54,-54.43,3.9,24.73,75.27,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.37,0.44,65.2,33.8,21.6,67.6,39.6,41.6,34.6,34.6,32.1,29.1,24.1,21.1,21.1,22.1,22.1,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.8,28.8,28.8,27.8,26.8,25.8,24.8,23.8,23.8,22.8,22.8,22.8,23.8,23.8,24.8,25.8
2026-01-08,299,-50.67,0.0,100.0,Safe R,-52.17,3.17,-50.67,-54.43,3.76,24.67,75.33,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.37,0.44,65.3,33.9,21.6,67.6,39.6,41.6,34.6,34.6,32.0,29.0,24.0,21.0,21.0,22.0,22.0,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.7,28.7,28.7,27.7,26.7,25.7,24.7,23.7,23.7,22.7,22.7,22.7,23.7,23.7,24.7,25.7
2026-01-09,298,-50.6,0.0,100.0,Safe R,-52.1,3.17,-50.6,-54.43,3.83,24.7,75.3,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.37,0.44,65.2,33.9,21.6,67.6,39.6,41.6,34.6,34.6,32.0,29.0,24.0,21.0,21.0,22.0,22.0,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.7,28.7,28.7,27.7,26.7,25.7,24.7,23.7,23.7,22.7,22.7,22.7,23.7,23.7,24.7,25.7
2026-01-10,297,-50.64,0.0,100.0,Safe R,-52.14,3.17,-50.64,-54.43,3.79,24.68,75.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-50.37,0.44,65.2,33.9,21.6,67.6,39.6,41.6,34.6,34.6,32.0,29.0,24.0,21.0,21.0,22.0,22.0,25.8,20.8,22.8,23.8,29.8,35.8,33.8,37.8,29.7,28.7,28.7,27.7,26.7,25.7,24.7,23.7,23.7,22.7,22.7,22.7,23.7,23.7,24.7,25.7
