date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,10.18,83.4,16.6,Likely D,2.23,3.18,10.62,3.63,6.55,55.09,44.91,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.13,-1.72,40.6,-15.3,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-02,305,10.18,83.4,16.6,Likely D,2.23,3.18,10.62,3.63,6.55,55.09,44.91,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.13,-1.72,40.6,-15.3,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-03,304,10.19,83.5,16.5,Likely D,2.23,3.19,10.64,3.63,6.56,55.09,44.91,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.14,-1.72,40.6,-15.3,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-04,303,10.12,83.3,16.7,Likely D,2.21,3.13,10.55,3.63,6.49,55.06,44.94,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.08,-1.72,40.7,-15.1,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-05,302,10.16,83.4,16.6,Likely D,2.22,3.17,10.61,3.63,6.54,55.08,44.92,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.12,-1.72,40.7,-15.1,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-06,301,10.16,83.4,16.6,Likely D,2.22,3.17,10.61,3.63,6.54,55.08,44.92,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.12,-1.72,40.7,-15.1,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-07,300,10.16,83.4,16.6,Likely D,2.22,3.17,10.61,3.63,6.54,55.08,44.92,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.12,-1.72,40.7,-15.2,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-08,299,10.16,83.4,16.6,Likely D,2.22,3.17,10.61,3.63,6.54,55.08,44.92,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.12,-1.72,40.7,-15.2,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-09,298,10.16,83.4,16.6,Likely D,2.22,3.17,10.61,3.63,6.54,55.08,44.92,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.12,-1.72,40.7,-15.2,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-10,297,10.16,83.4,16.6,Likely D,2.22,3.17,10.61,3.63,6.54,55.08,44.92,0.0,False,False,,,,0.0,0.0,0.0,43.0,35.35,3,7.649999999999999,0.15,6.12,-1.72,40.7,-15.2,52.7,98.0,70.7,72.7,65.7,65.7,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.7,49.7,51.7,52.7,58.7,64.7,62.7,66.7,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
