date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,6.36,72.8,27.2,Lean D,-0.27,3.18,5.4,2.82,3.54,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.13,-1.71,41.0,-14.5,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-02,305,6.36,72.8,27.2,Lean D,-0.27,3.18,5.4,2.82,3.54,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.13,-1.71,41.0,-14.5,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-03,304,6.37,72.8,27.2,Lean D,-0.27,3.19,5.41,2.82,3.55,53.19,46.81,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.14,-1.71,41.0,-14.5,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-04,303,6.32,72.7,27.3,Lean D,-0.28,3.13,5.34,2.82,3.49,53.16,46.84,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.08,-1.71,41.2,-14.2,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-05,302,6.35,72.8,27.2,Lean D,-0.27,3.17,5.39,2.82,3.53,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.12,-1.71,41.2,-14.3,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-06,301,6.35,72.8,27.2,Lean D,-0.27,3.17,5.39,2.82,3.53,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.12,-1.71,41.2,-14.3,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-07,300,6.35,72.8,27.2,Lean D,-0.27,3.17,5.39,2.82,3.53,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.12,-1.71,41.1,-14.4,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-08,299,6.35,72.8,27.2,Lean D,-0.27,3.17,5.39,2.82,3.53,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.12,-1.71,41.2,-14.3,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-09,298,6.35,72.8,27.2,Lean D,-0.27,3.17,5.39,2.82,3.53,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.12,-1.71,41.1,-14.3,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
2026-01-10,297,6.35,72.8,27.2,Lean D,-0.27,3.17,5.39,2.82,3.53,53.18,46.82,0.0,False,False,,,,0.0,0.0,0.0,45.7,36.45,10,9.25,0.25,5.12,-1.71,41.1,-14.3,50.8,96.8,68.8,70.8,63.8,63.8,60.5,57.5,52.5,49.5,49.5,50.5,50.5,52.8,47.8,49.8,50.8,56.8,62.8,60.8,64.8,58.3,57.3,57.3,56.3,55.3,54.3,53.3,52.3,52.3,51.3,51.3,51.3,52.3,52.3,53.3,54.3
