date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,2.35,58.9,41.1,Toss-up,0.83,3.18,2.35,-1.9,4.25,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.37,0.25,42.4,-11.7,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-02,305,2.35,58.9,41.1,Toss-up,0.83,3.18,2.35,-1.9,4.25,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.37,0.25,42.4,-11.7,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-03,304,2.36,58.9,41.1,Toss-up,0.84,3.19,2.36,-1.9,4.26,51.18,48.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.38,0.25,42.4,-11.7,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-04,303,2.29,58.6,41.4,Toss-up,0.82,3.13,2.29,-1.9,4.18,51.14,48.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.32,0.25,42.5,-11.5,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.1,55.1,55.1,54.1,53.1,52.1,51.1,50.1,50.1,49.1,49.1,49.1,50.1,50.1,51.1,52.1
2026-01-05,302,2.34,58.8,41.2,Toss-up,0.83,3.17,2.34,-1.9,4.23,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.36,0.25,42.5,-11.5,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-06,301,2.34,58.8,41.2,Toss-up,0.83,3.17,2.34,-1.9,4.23,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.36,0.25,42.5,-11.5,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-07,300,2.34,58.8,41.2,Toss-up,0.83,3.17,2.34,-1.9,4.23,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.36,0.25,42.5,-11.7,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-08,299,2.34,58.8,41.2,Toss-up,0.83,3.17,2.34,-1.9,4.23,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.36,0.25,42.5,-11.6,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-09,298,2.34,58.8,41.2,Toss-up,0.83,3.17,2.34,-1.9,4.23,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.36,0.25,42.5,-11.6,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
2026-01-10,297,2.34,58.8,41.2,Toss-up,0.83,3.17,2.34,-1.9,4.23,51.17,48.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2.36,0.25,42.5,-11.6,44.6,90.6,62.6,64.6,57.6,57.6,58.8,55.8,50.8,47.8,47.8,48.8,48.8,49.3,44.3,46.3,47.3,53.3,59.3,57.3,61.3,56.2,55.2,55.2,54.2,53.2,52.2,51.2,50.2,50.2,49.2,49.2,49.2,50.2,50.2,51.2,52.2
