date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,17.51,95.3,4.7,Safe D,8.13,3.11,17.51,5.63,11.89,58.76,41.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.44,0.19,37.9,-20.8,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-02,305,17.51,95.3,4.7,Safe D,8.13,3.11,17.51,5.63,11.89,58.76,41.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.44,0.19,37.9,-20.8,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-03,304,17.51,95.3,4.7,Safe D,8.13,3.11,17.51,5.63,11.89,58.76,41.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.44,0.19,37.9,-20.8,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-04,303,17.44,95.2,4.8,Safe D,8.13,3.04,17.44,5.63,11.82,58.72,41.28,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.37,0.19,38.0,-20.6,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-05,302,17.48,95.2,4.8,Safe D,8.13,3.08,17.48,5.63,11.86,58.74,41.26,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.41,0.19,38.0,-20.6,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-06,301,17.48,95.2,4.8,Safe D,8.13,3.08,17.48,5.63,11.86,58.74,41.26,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.41,0.19,38.0,-20.6,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-07,300,17.48,95.2,4.8,Safe D,8.13,3.08,17.48,5.63,11.86,58.74,41.26,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.41,0.19,38.0,-20.7,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-08,299,17.48,95.2,4.8,Safe D,8.13,3.08,17.48,5.63,11.86,58.74,41.26,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.41,0.19,38.0,-20.7,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-09,298,17.49,95.3,4.7,Safe D,8.13,3.09,17.49,5.63,11.87,58.75,41.25,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.42,0.19,38.0,-20.7,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-10,297,17.49,95.3,4.7,Safe D,8.13,3.09,17.49,5.63,11.87,58.75,41.25,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.42,0.19,38.0,-20.7,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
2026-01-11,296,17.45,95.2,4.8,Safe D,8.13,3.05,17.45,5.63,11.83,58.73,41.27,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,17623907,15454,0,11.38,0.19,37.9,-20.9,46.3,92.3,64.3,66.3,59.3,59.3,65.9,62.9,57.9,54.9,54.9,55.9,55.9,58.0,53.0,55.0,56.0,62.0,68.0,66.0,70.0,63.7,62.7,62.7,61.7,60.7,59.7,58.7,57.7,57.7,56.7,56.7,56.7,57.7,57.7,58.7,59.7
