date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,12.1,87.6,12.4,Likely D,1.52,3.11,12.1,-1.84,13.94,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.22,1.83,38.8,-18.9,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-02,305,12.1,87.6,12.4,Likely D,1.52,3.11,12.1,-1.84,13.94,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.22,1.83,38.8,-18.9,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-03,304,12.1,87.6,12.4,Likely D,1.52,3.11,12.1,-1.84,13.94,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.22,1.83,38.8,-18.9,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-04,303,12.01,87.4,12.6,Likely D,1.49,3.05,12.01,-1.84,13.85,56.0,44.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.16,1.83,38.9,-18.7,43.4,89.4,61.4,63.4,56.4,56.4,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.8,51.8,53.8,54.8,60.8,66.8,64.8,68.8,60.6,59.6,59.6,58.6,57.6,56.6,55.6,54.6,54.6,53.6,53.6,53.6,54.6,54.6,55.6,56.6
2026-01-05,302,12.05,87.5,12.5,Likely D,1.5,3.08,12.05,-1.84,13.9,56.03,43.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.19,1.83,38.9,-18.7,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.8,51.8,53.8,54.8,60.8,66.8,64.8,68.8,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-06,301,12.05,87.5,12.5,Likely D,1.5,3.08,12.05,-1.84,13.9,56.03,43.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.19,1.83,38.9,-18.7,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.8,51.8,53.8,54.8,60.8,66.8,64.8,68.8,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-07,300,12.05,87.5,12.5,Likely D,1.5,3.08,12.05,-1.84,13.9,56.03,43.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.19,1.83,38.9,-18.8,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.8,51.8,53.8,54.8,60.8,66.8,64.8,68.8,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-08,299,12.07,87.5,12.5,Likely D,1.51,3.09,12.07,-1.84,13.91,56.03,43.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.2,1.83,38.9,-18.8,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.8,51.8,53.8,54.8,60.8,66.8,64.8,68.8,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-09,298,12.07,87.5,12.5,Likely D,1.51,3.09,12.07,-1.84,13.91,56.03,43.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.2,1.83,38.9,-18.8,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.8,51.8,53.8,54.8,60.8,66.8,64.8,68.8,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-10,297,12.07,87.5,12.5,Likely D,1.51,3.09,12.07,-1.84,13.91,56.03,43.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,5.2,1.83,38.9,-18.8,43.5,89.5,61.5,63.5,56.5,56.5,62.7,59.7,54.7,51.7,51.7,52.7,52.7,56.8,51.8,53.8,54.8,60.8,66.8,64.8,68.8,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
