date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,6.5,73.2,26.8,Lean D,7.45,3.18,6.5,6.14,0.35,53.25,46.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.88,2.25,36.5,-23.6,42.2,88.2,60.2,62.2,55.2,55.2,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-02,305,6.5,73.2,26.8,Lean D,7.45,3.18,6.5,6.14,0.35,53.25,46.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.88,2.25,36.5,-23.6,42.2,88.2,60.2,62.2,55.2,55.2,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-03,304,6.51,73.3,26.7,Lean D,7.45,3.19,6.51,6.14,0.36,53.25,46.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.89,2.25,36.5,-23.6,42.2,88.2,60.2,62.2,55.2,55.2,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-04,303,6.45,73.1,26.9,Lean D,7.45,3.13,6.45,6.14,0.3,53.22,46.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.83,2.25,36.6,-23.3,42.1,88.1,60.1,62.1,55.1,55.1,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.4,48.4,50.4,51.4,57.4,63.4,61.4,65.4,57.9,56.9,56.9,55.9,54.9,53.9,52.9,51.9,51.9,50.9,50.9,50.9,51.9,51.9,52.9,53.9
2026-01-05,302,6.49,73.2,26.8,Lean D,7.45,3.17,6.49,6.14,0.34,53.24,46.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.87,2.25,36.6,-23.4,42.1,88.1,60.1,62.1,55.1,55.1,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-06,301,6.49,73.2,26.8,Lean D,7.45,3.17,6.49,6.14,0.34,53.24,46.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.87,2.25,36.6,-23.4,42.1,88.1,60.1,62.1,55.1,55.1,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-07,300,6.49,73.2,26.8,Lean D,7.45,3.17,6.49,6.14,0.34,53.24,46.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.87,2.25,36.6,-23.5,42.1,88.1,60.1,62.1,55.1,55.1,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-08,299,6.49,73.2,26.8,Lean D,7.45,3.17,6.49,6.14,0.34,53.24,46.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.87,2.25,36.6,-23.5,42.1,88.1,60.1,62.1,55.1,55.1,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-09,298,6.49,73.2,26.8,Lean D,7.45,3.17,6.49,6.14,0.34,53.24,46.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.87,2.25,36.6,-23.5,42.1,88.1,60.1,62.1,55.1,55.1,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
2026-01-10,297,6.49,73.2,26.8,Lean D,7.45,3.17,6.49,6.14,0.34,53.24,46.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,12.87,2.25,36.6,-23.5,42.1,88.1,60.1,62.1,55.1,55.1,60.2,57.2,52.2,49.2,49.2,50.2,50.2,53.5,48.5,50.5,51.5,57.5,63.5,61.5,65.5,58.0,57.0,57.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,51.0,51.0,52.0,52.0,53.0,54.0
