date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,12.11,87.6,12.4,Likely D,5.69,3.18,12.11,2.3,9.81,56.06,43.94,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.98,1.57,38.7,-19.2,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-02,305,12.11,87.6,12.4,Likely D,5.69,3.18,12.11,2.3,9.81,56.06,43.94,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.98,1.57,38.7,-19.2,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-03,304,12.12,87.6,12.4,Likely D,5.7,3.19,12.12,2.3,9.82,56.06,43.94,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.99,1.57,38.7,-19.2,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-04,303,12.05,87.5,12.5,Likely D,5.68,3.13,12.05,2.3,9.75,56.03,43.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.93,1.57,38.8,-19.0,42.5,88.5,60.5,62.5,55.5,55.5,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-05,302,12.1,87.6,12.4,Likely D,5.69,3.17,12.1,2.3,9.8,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.97,1.57,38.8,-19.0,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-06,301,12.1,87.6,12.4,Likely D,5.69,3.17,12.1,2.3,9.8,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.97,1.57,38.8,-19.0,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-07,300,12.1,87.6,12.4,Likely D,5.69,3.17,12.1,2.3,9.8,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.97,1.57,38.8,-19.1,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-08,299,12.1,87.6,12.4,Likely D,5.69,3.17,12.1,2.3,9.8,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.97,1.57,38.8,-19.1,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-09,298,12.1,87.6,12.4,Likely D,5.69,3.17,12.1,2.3,9.8,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.97,1.57,38.8,-19.1,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-10,297,12.1,87.6,12.4,Likely D,5.69,3.17,12.1,2.3,9.8,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.97,1.57,38.8,-19.1,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-11,296,12.07,87.5,12.5,Likely D,5.69,3.15,12.07,2.3,9.77,56.04,43.96,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.95,1.57,38.7,-19.3,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-12,295,12.12,87.6,12.4,Likely D,5.7,3.19,12.12,2.3,9.82,56.06,43.94,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.99,1.57,38.6,-19.4,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
2026-01-13,294,12.1,87.6,12.4,Likely D,5.69,3.17,12.1,2.3,9.8,56.05,43.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.97,1.57,38.5,-19.6,42.6,88.6,60.6,62.6,55.6,55.6,63.0,60.0,55.0,52.0,52.0,53.0,53.0,56.9,51.9,53.9,54.9,60.9,66.9,64.9,68.9,60.9,59.9,59.9,58.9,57.9,56.9,55.9,54.9,54.9,53.9,53.9,53.9,54.9,54.9,55.9,56.9
