section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,NV-03,house,Democratic candidate (NV-03),Republican candidate (NV-03),10.21,83.8,16.2,Likely D,148566,121029,0,269595.0,55.11,44.89,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,3.23,5.32,False,6.6,37.9,-21.0,,,,,,,,,,,
demographic,,,,,,,,,52325,71906,0,,42.1,57.9,0.0,,,0.0,0,,,,,,,,,,,,,race,White,46.08,124231.0,,,,,,,
demographic,,,,,,,,,26176,3529,0,,88.1,11.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,11.02,29705.0,,,,,,,
demographic,,,,,,,,,29825,19785,0,,60.1,39.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,18.4,49611.0,,,,,,,
demographic,,,,,,,,,34105,20798,0,,62.1,37.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,20.36,54903.0,,,,,,,
demographic,,,,,,,,,3310,2695,0,,55.1,44.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,2.23,6004.0,,,,,,,
demographic,,,,,,,,,2834,2307,0,,55.1,44.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,1.91,5141.0,,,,,,,
demographic,,,,,,,,,28313,17380,0,,62.0,38.0,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,16.95,45693.0,,,,,,,
demographic,,,,,,,,,31853,22169,0,,59.0,41.0,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,20.04,54022.0,,,,,,,
demographic,,,,,,,,,26258,22401,0,,54.0,46.0,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,18.05,48659.0,,,,,,,
demographic,,,,,,,,,23278,22398,0,,51.0,49.0,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,16.94,45675.0,,,,,,,
demographic,,,,,,,,,19594,18853,0,,51.0,49.0,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,14.26,38448.0,,,,,,,
demographic,,,,,,,,,13261,12258,0,,52.0,48.0,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,9.47,25519.0,,,,,,,
demographic,,,,,,,,,6017,5562,0,,52.0,48.0,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.3,11579.0,,,,,,,
demographic,,,,,,,,,13614,11020,0,,55.3,44.7,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,9.14,24634.0,,,,,,,
demographic,,,,,,,,,33722,33365,0,,50.3,49.7,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,24.88,67086.0,,,,,,,
demographic,,,,,,,,,33680,30760,0,,52.3,47.7,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,23.9,64440.0,,,,,,,
demographic,,,,,,,,,12537,11000,0,,53.3,46.7,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,8.73,23537.0,,,,,,,
demographic,,,,,,,,,35510,24406,0,,59.3,40.7,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,22.22,59916.0,,,,,,,
demographic,,,,,,,,,13301,7079,0,,65.3,34.7,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,7.56,20379.0,,,,,,,
demographic,,,,,,,,,3942,2289,0,,63.3,36.7,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,2.31,6230.0,,,,,,,
