date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,15.61,93.2,6.8,Likely D,5.64,3.11,15.61,2.37,13.24,57.81,42.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.18,0.79,38.9,-18.8,42.3,88.3,60.3,62.3,55.3,55.3,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-02,305,15.61,93.2,6.8,Likely D,5.64,3.11,15.61,2.37,13.24,57.81,42.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.18,0.79,38.9,-18.8,42.3,88.3,60.3,62.3,55.3,55.3,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-03,304,15.61,93.2,6.8,Likely D,5.64,3.11,15.61,2.37,13.24,57.81,42.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.18,0.79,38.9,-18.8,42.3,88.3,60.3,62.3,55.3,55.3,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-04,303,15.53,93.1,6.9,Likely D,5.63,3.04,15.53,2.37,13.16,57.76,42.24,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.11,0.79,39.0,-18.6,42.2,88.2,60.2,62.2,55.2,55.2,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.0,54.0,56.0,57.0,63.0,69.0,67.0,71.0,62.8,61.8,61.8,60.8,59.8,58.8,57.8,56.8,56.8,55.8,55.8,55.8,56.8,56.8,57.8,58.8
2026-01-05,302,15.58,93.2,6.8,Likely D,5.64,3.08,15.58,2.37,13.21,57.79,42.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.15,0.79,39.0,-18.6,42.2,88.2,60.2,62.2,55.2,55.2,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.8,61.8,61.8,60.8,59.8,58.8,57.8,56.8,56.8,55.8,55.8,55.8,56.8,56.8,57.8,58.8
2026-01-06,301,15.58,93.2,6.8,Likely D,5.64,3.08,15.58,2.37,13.21,57.79,42.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.15,0.79,39.0,-18.6,42.2,88.2,60.2,62.2,55.2,55.2,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.8,61.8,61.8,60.8,59.8,58.8,57.8,56.8,56.8,55.8,55.8,55.8,56.8,56.8,57.8,58.8
2026-01-07,300,15.58,93.2,6.8,Likely D,5.64,3.08,15.58,2.37,13.21,57.79,42.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.15,0.79,39.0,-18.7,42.2,88.2,60.2,62.2,55.2,55.2,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.8,61.8,61.8,60.8,59.8,58.8,57.8,56.8,56.8,55.8,55.8,55.8,56.8,56.8,57.8,58.8
2026-01-08,299,15.58,93.2,6.8,Likely D,5.64,3.08,15.58,2.37,13.21,57.79,42.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.15,0.79,39.0,-18.7,42.2,88.2,60.2,62.2,55.2,55.2,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.8,61.8,61.8,60.8,59.8,58.8,57.8,56.8,56.8,55.8,55.8,55.8,56.8,56.8,57.8,58.8
2026-01-09,298,15.59,93.2,6.8,Likely D,5.64,3.09,15.59,2.37,13.22,57.79,42.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.16,0.79,39.0,-18.7,42.2,88.2,60.2,62.2,55.2,55.2,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.8,61.8,61.8,60.8,59.8,58.8,57.8,56.8,56.8,55.8,55.8,55.8,56.8,56.8,57.8,58.8
2026-01-10,297,15.59,93.2,6.8,Likely D,5.64,3.09,15.59,2.37,13.22,57.79,42.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2789015,751392,0,8.16,0.79,39.0,-18.7,42.2,88.2,60.2,62.2,55.2,55.2,64.5,61.5,56.5,53.5,53.5,54.5,54.5,59.1,54.1,56.1,57.1,63.1,69.1,67.1,71.1,62.8,61.8,61.8,60.8,59.8,58.8,57.8,56.8,56.8,55.8,55.8,55.8,56.8,56.8,57.8,58.8
