section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,NV-GOV,governor,Aaron Ford,Joe Lombardo,4.62,67.2,32.8,Lean D,543547,495520,0,1039067.0,52.31,47.69,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-1.54,5.32,False,3.78,39.0,-18.8,,,,,,,,,,,
demographic,,,,,,,,,204061,304340,0,,40.1,59.9,0.0,,,0.0,0,,,,,,,,,,,,,race,White,48.93,508401.0,,,,,,,
demographic,,,,,,,,,95467,15364,0,,86.1,13.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,10.67,110831.0,,,,,,,
demographic,,,,,,,,,149397,107574,0,,58.1,41.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,24.73,256971.0,,,,,,,
demographic,,,,,,,,,69313,45944,0,,60.1,39.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,11.09,115257.0,,,,,,,
demographic,,,,,,,,,17495,15429,0,,53.1,46.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,3.17,32924.0,,,,,,,
demographic,,,,,,,,,7802,6881,0,,53.1,46.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,1.41,14683.0,,,,,,,
demographic,,,,,,,,,107867,74309,0,,59.2,40.8,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,17.53,182176.0,,,,,,,
demographic,,,,,,,,,110490,86075,0,,56.2,43.8,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.92,196565.0,,,,,,,
demographic,,,,,,,,,91320,87003,0,,51.2,48.8,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,17.16,178323.0,,,,,,,
demographic,,,,,,,,,84892,91195,0,,48.2,51.8,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,16.95,176087.0,,,,,,,
demographic,,,,,,,,,75920,81556,0,,48.2,51.8,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,15.16,157476.0,,,,,,,
demographic,,,,,,,,,51471,53122,0,,49.2,50.8,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,10.07,104593.0,,,,,,,
demographic,,,,,,,,,21577,22270,0,,49.2,50.8,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.22,43846.0,,,,,,,
demographic,,,,,,,,,71171,63151,0,,53.0,47.0,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,12.93,134322.0,,,,,,,
demographic,,,,,,,,,137587,149140,0,,48.0,52.0,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,27.59,286727.0,,,,,,,
demographic,,,,,,,,,126133,126206,0,,50.0,50.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,24.29,252339.0,,,,,,,
demographic,,,,,,,,,45791,44021,0,,51.0,49.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,8.64,89813.0,,,,,,,
