date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,10.43,84.0,16.0,Likely D,4.11,3.18,10.43,1.29,9.14,55.22,44.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.13,0.6,39.6,-17.3,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-02,305,10.43,84.0,16.0,Likely D,4.11,3.18,10.43,1.29,9.14,55.22,44.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.13,0.6,39.6,-17.3,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-03,304,10.45,84.1,15.9,Likely D,4.12,3.19,10.45,1.29,9.15,55.22,44.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.14,0.6,39.6,-17.3,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-04,303,10.37,83.9,16.1,Likely D,4.1,3.13,10.37,1.29,9.08,55.19,44.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.08,0.6,39.7,-17.1,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-05,302,10.42,84.0,16.0,Likely D,4.11,3.17,10.42,1.29,9.13,55.21,44.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.12,0.6,39.7,-17.1,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-06,301,10.42,84.0,16.0,Likely D,4.11,3.17,10.42,1.29,9.13,55.21,44.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.12,0.6,39.7,-17.1,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-07,300,10.42,84.0,16.0,Likely D,4.11,3.17,10.42,1.29,9.13,55.21,44.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.12,0.6,39.7,-17.2,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-08,299,10.44,84.1,15.9,Likely D,4.13,3.17,10.44,1.29,9.15,55.22,44.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.12,0.6,39.7,-17.2,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-09,298,10.44,84.1,15.9,Likely D,4.13,3.17,10.44,1.29,9.15,55.22,44.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.12,0.6,39.7,-17.2,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-10,297,10.44,84.1,15.9,Likely D,4.13,3.17,10.44,1.29,9.15,55.22,44.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.12,0.6,39.7,-17.2,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-11,296,10.42,84.0,16.0,Likely D,4.13,3.15,10.42,1.29,9.12,55.21,44.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.1,0.6,39.6,-17.4,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-12,295,10.47,84.1,15.9,Likely D,4.14,3.19,10.47,1.29,9.17,55.23,44.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.14,0.6,39.6,-17.5,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-13,294,10.44,84.1,15.9,Likely D,4.13,3.17,10.44,1.29,9.15,55.22,44.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.12,0.6,39.5,-17.7,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-14,293,10.45,84.1,15.9,Likely D,4.13,3.18,10.45,1.29,9.16,55.23,44.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.13,0.6,39.5,-17.6,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-15,292,10.48,84.1,15.9,Likely D,4.14,3.2,10.48,1.29,9.18,55.24,44.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.15,0.6,39.5,-17.6,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-16,291,10.48,84.1,15.9,Likely D,4.14,3.2,10.48,1.29,9.18,55.24,44.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.15,0.6,39.5,-17.7,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-17,290,10.52,84.3,15.7,Likely D,4.14,3.24,10.52,1.29,9.23,55.26,44.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.19,0.6,39.5,-17.8,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-18,289,10.47,84.1,15.9,Likely D,4.14,3.19,10.47,1.29,9.17,55.23,44.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.14,0.6,39.5,-17.7,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-19,288,10.51,84.2,15.8,Likely D,4.14,3.23,10.51,1.29,9.22,55.26,44.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.18,0.6,39.5,-17.7,41.3,87.3,59.3,61.3,54.3,54.3,62.4,59.4,54.4,51.4,51.4,52.4,52.4,54.2,49.2,51.2,52.2,58.2,64.2,62.2,66.2,60.2,59.2,59.2,58.2,57.2,56.2,55.2,54.2,54.2,53.2,53.2,53.2,54.2,54.2,55.2,56.2
2026-01-20,287,10.61,84.4,15.6,Likely D,4.16,3.31,10.61,1.29,9.31,55.3,44.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.26,0.6,39.4,-17.9,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-21,286,10.61,84.4,15.6,Likely D,4.16,3.31,10.61,1.29,9.31,55.3,44.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.26,0.6,39.4,-17.8,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-22,285,10.63,84.5,15.5,Likely D,4.16,3.33,10.63,1.29,9.34,55.32,44.68,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.28,0.6,39.3,-18.0,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-23,284,10.64,84.5,15.5,Likely D,4.16,3.34,10.64,1.29,9.35,55.32,44.68,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.29,0.6,39.3,-18.0,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-24,283,10.64,84.5,15.5,Likely D,4.16,3.34,10.64,1.29,9.35,55.32,44.68,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.29,0.6,39.4,-18.0,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-25,282,10.57,84.4,15.6,Likely D,4.15,3.28,10.57,1.29,9.28,55.29,44.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.23,0.6,39.3,-18.0,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-26,281,10.61,84.4,15.6,Likely D,4.16,3.31,10.61,1.29,9.31,55.3,44.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.26,0.6,39.2,-18.3,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-27,280,10.61,84.4,15.6,Likely D,4.16,3.31,10.61,1.29,9.31,55.3,44.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.26,0.6,39.2,-18.3,41.4,87.4,59.4,61.4,54.4,54.4,62.5,59.5,54.5,51.5,51.5,52.5,52.5,54.3,49.3,51.3,52.3,58.3,64.3,62.3,66.3,60.3,59.3,59.3,58.3,57.3,56.3,55.3,54.3,54.3,53.3,53.3,53.3,54.3,54.3,55.3,56.3
2026-01-28,279,10.9,85.1,14.9,Likely D,4.42,3.34,10.9,1.29,9.6,55.45,44.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.29,0.6,39.3,-18.3,41.5,87.5,59.5,61.5,54.5,54.5,62.6,59.6,54.6,51.6,51.6,52.6,52.6,54.4,49.4,51.4,52.4,58.4,64.4,62.4,66.4,60.4,59.4,59.4,58.4,57.4,56.4,55.4,54.4,54.4,53.4,53.4,53.4,54.4,54.4,55.4,56.4
2026-01-29,278,10.88,85.1,14.9,Likely D,4.41,3.33,10.88,1.29,9.59,55.44,44.56,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.28,0.6,39.3,-18.2,41.5,87.5,59.5,61.5,54.5,54.5,62.6,59.6,54.6,51.6,51.6,52.6,52.6,54.4,49.4,51.4,52.4,58.4,64.4,62.4,66.4,60.4,59.4,59.4,58.4,57.4,56.4,55.4,54.4,54.4,53.4,53.4,53.4,54.4,54.4,55.4,56.4
2026-01-30,277,10.9,85.1,14.9,Likely D,4.42,3.34,10.9,1.29,9.6,55.45,44.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.29,0.6,39.2,-18.3,41.5,87.5,59.5,61.5,54.5,54.5,62.6,59.6,54.6,51.6,51.6,52.6,52.6,54.4,49.4,51.4,52.4,58.4,64.4,62.4,66.4,60.4,59.4,59.4,58.4,57.4,56.4,55.4,54.4,54.4,53.4,53.4,53.4,54.4,54.4,55.4,56.4
2026-01-31,276,10.9,85.1,14.9,Likely D,4.42,3.34,10.9,1.29,9.6,55.45,44.55,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,8.29,0.6,39.3,-18.3,41.5,87.5,59.5,61.5,54.5,54.5,62.6,59.6,54.6,51.6,51.6,52.6,52.6,54.4,49.4,51.4,52.4,58.4,64.4,62.4,66.4,60.4,59.4,59.4,58.4,57.4,56.4,55.4,54.4,54.4,53.4,53.4,53.4,54.4,54.4,55.4,56.4
