date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,56.0,100.0,0.0,Safe D,51.16,3.18,56.0,47.19,8.81,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.75,18.3,-60.0,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-02,305,56.0,100.0,0.0,Safe D,51.16,3.18,56.0,47.19,8.81,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.75,18.3,-60.0,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-03,304,56.02,100.0,0.0,Safe D,51.16,3.19,56.02,47.19,8.83,78.01,21.99,0.0,False,False,,,,0.0,0.0,0.0,54.76,18.3,-60.0,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.2,72.2,74.2,75.2,81.2,87.2,85.2,89.2,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-04,303,55.94,100.0,0.0,Safe D,51.15,3.13,55.94,47.19,8.75,77.97,22.03,0.0,False,False,,,,0.0,0.0,0.0,54.7,18.4,-59.7,62.3,98.0,80.3,82.3,75.3,75.3,83.6,80.6,75.6,72.6,72.6,73.6,73.6,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-05,302,55.99,100.0,0.0,Safe D,51.16,3.17,55.99,47.19,8.8,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.74,18.4,-59.8,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-06,301,55.99,100.0,0.0,Safe D,51.16,3.17,55.99,47.19,8.8,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.74,18.4,-59.8,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-07,300,55.99,100.0,0.0,Safe D,51.16,3.17,55.99,47.19,8.8,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.74,18.4,-59.9,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-08,299,55.99,100.0,0.0,Safe D,51.16,3.17,55.99,47.19,8.8,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.74,18.4,-59.9,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-09,298,55.99,100.0,0.0,Safe D,51.16,3.17,55.99,47.19,8.8,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.74,18.4,-59.8,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-10,297,55.99,100.0,0.0,Safe D,51.16,3.17,55.99,47.19,8.8,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.74,18.4,-59.8,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-11,296,55.97,100.0,0.0,Safe D,51.15,3.15,55.97,47.19,8.78,77.98,22.02,0.0,False,False,,,,0.0,0.0,0.0,54.72,18.3,-60.0,62.3,98.0,80.3,82.3,75.3,75.3,83.6,80.6,75.6,72.6,72.6,73.6,73.6,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-12,295,56.02,100.0,0.0,Safe D,51.16,3.19,56.02,47.19,8.83,78.01,21.99,0.0,False,False,,,,0.0,0.0,0.0,54.76,18.3,-60.2,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.2,72.2,74.2,75.2,81.2,87.2,85.2,89.2,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
2026-01-13,294,55.99,100.0,0.0,Safe D,51.16,3.17,55.99,47.19,8.8,78.0,22.0,0.0,False,False,,,,0.0,0.0,0.0,54.74,18.2,-60.4,62.3,98.0,80.3,82.3,75.3,75.3,83.7,80.7,75.7,72.7,72.7,73.7,73.7,77.1,72.1,74.1,75.1,81.1,87.1,85.1,89.1,82.7,81.7,81.7,80.7,79.7,78.7,77.7,76.7,76.7,75.7,75.7,75.7,76.7,76.7,77.7,78.7
