section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,NY-12,house,Democratic candidate (NY-12),Republican candidate (NY-12),74.05,100.0,0.0,Safe D,206542,30795,0,237337.0,87.02,12.98,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,67.06,5.32,False,72.26,10.7,-75.3,,,,,,,,,,,
demographic,,,,,,,,,122965,33129,0,,78.8,21.2,0.0,,,0.0,0,,,,,,,,,,,,,race,White,65.77,156094.0,,,,,,,
demographic,,,,,,,,,15153,309,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,6.51,15462.0,,,,,,,
demographic,,,,,,,,,24938,831,0,,96.8,3.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,10.86,25768.0,,,,,,,
demographic,,,,,,,,,36585,747,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,15.73,37332.0,,,,,,,
demographic,,,,,,,,,1861,167,0,,91.8,8.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,0.85,2028.0,,,,,,,
demographic,,,,,,,,,599,54,0,,91.8,8.2,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.28,653.0,,,,,,,
demographic,,,,,,,,,41481,2858,0,,93.6,6.4,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,18.68,44339.0,,,,,,,
demographic,,,,,,,,,48326,5041,0,,90.6,9.4,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,22.49,53366.0,,,,,,,
demographic,,,,,,,,,29718,5018,0,,85.6,14.4,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,14.64,34736.0,,,,,,,
demographic,,,,,,,,,27720,5858,0,,82.6,17.4,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,14.15,33578.0,,,,,,,
demographic,,,,,,,,,25141,5313,0,,82.6,17.4,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,12.83,30454.0,,,,,,,
demographic,,,,,,,,,21128,4158,0,,83.6,16.4,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,10.65,25286.0,,,,,,,
demographic,,,,,,,,,13016,2562,0,,83.6,16.4,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,6.56,15578.0,,,,,,,
demographic,,,,,,,,,7646,1667,0,,82.1,17.9,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,3.92,9313.0,,,,,,,
demographic,,,,,,,,,12614,3746,0,,77.1,22.9,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,6.89,16360.0,,,,,,,
demographic,,,,,,,,,13384,3536,0,,79.1,20.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,7.13,16920.0,,,,,,,
demographic,,,,,,,,,5355,1330,0,,80.1,19.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,2.82,6686.0,,,,,,,
demographic,,,,,,,,,77387,12491,0,,86.1,13.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,37.87,89878.0,,,,,,,
demographic,,,,,,,,,54982,4715,0,,92.1,7.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,25.15,59697.0,,,,,,,
demographic,,,,,,,,,23679,2601,0,,90.1,9.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,11.07,26281.0,,,,,,,
demographic,,,,,,,,,11482,720,0,,94.1,5.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,5.14,12202.0,,,,,,,
demographic,,,,,,,,,10981,1008,0,,91.6,8.4,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,5.05,11989.0,,,,,,,
demographic,,,,,,,,,6277,652,0,,90.6,9.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,2.92,6928.0,,,,,,,
demographic,,,,,,,,,4273,444,0,,90.6,9.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,1.99,4717.0,,,,,,,
demographic,,,,,,,,,4854,564,0,,89.6,10.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,2.28,5418.0,,,,,,,
demographic,,,,,,,,,4091,527,0,,88.6,11.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,1.95,4617.0,,,,,,,
demographic,,,,,,,,,3917,555,0,,87.6,12.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,1.88,4472.0,,,,,,,
demographic,,,,,,,,,3508,543,0,,86.6,13.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,1.71,4051.0,,,,,,,
demographic,,,,,,,,,3297,555,0,,85.6,14.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,1.62,3852.0,,,,,,,
demographic,,,,,,,,,3546,597,0,,85.6,14.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,1.75,4143.0,,,,,,,
demographic,,,,,,,,,6908,1258,0,,84.6,15.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,3.44,8166.0,,,,,,,
demographic,,,,,,,,,10290,1874,0,,84.6,15.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,5.13,12164.0,,,,,,,
demographic,,,,,,,,,16099,2932,0,,84.6,15.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,8.02,19031.0,,,,,,,
demographic,,,,,,,,,17280,2908,0,,85.6,14.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,8.51,20188.0,,,,,,,
demographic,,,,,,,,,12950,2179,0,,85.6,14.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,6.37,15129.0,,,,,,,
demographic,,,,,,,,,22419,3471,0,,86.6,13.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,10.91,25889.0,,,,,,,
demographic,,,,,,,,,75842,10741,0,,87.6,12.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,36.48,86583.0,,,,,,,
county,,,,,74.05,,,,206542,30795,0,237337.0,,,,,,,0,,,,,,,,,,,,,,,,,36061,48.6,11.4,22.5,13.4,0.1,0.1
