date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,19.34,96.8,3.2,Safe D,4.13,3.11,19.34,3.35,15.99,59.67,40.33,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.47,-0.04,39.9,-16.7,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-02,305,19.34,96.8,3.2,Safe D,4.13,3.11,19.34,3.35,15.99,59.67,40.33,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.47,-0.04,39.9,-16.7,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-03,304,19.34,96.8,3.2,Safe D,4.13,3.11,19.34,3.35,15.99,59.67,40.33,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.47,-0.04,39.9,-16.7,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-04,303,19.25,96.7,3.3,Safe D,4.12,3.04,19.25,3.35,15.9,59.63,40.37,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.4,-0.04,40.0,-16.5,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-05,302,19.3,96.7,3.3,Safe D,4.13,3.08,19.3,3.35,15.95,59.65,40.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.44,-0.04,40.0,-16.5,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-06,301,19.3,96.7,3.3,Safe D,4.13,3.08,19.3,3.35,15.95,59.65,40.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.44,-0.04,40.0,-16.5,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-07,300,19.3,96.7,3.3,Safe D,4.13,3.08,19.3,3.35,15.95,59.65,40.35,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.44,-0.04,40.0,-16.6,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-08,299,19.32,96.7,3.3,Safe D,4.14,3.08,19.32,3.35,15.96,59.66,40.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.44,-0.04,40.0,-16.6,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-09,298,19.33,96.8,3.2,Safe D,4.14,3.09,19.33,3.35,15.98,59.66,40.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.45,-0.04,40.0,-16.6,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-10,297,19.33,96.8,3.2,Safe D,4.14,3.09,19.33,3.35,15.98,59.66,40.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.45,-0.04,40.0,-16.6,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-11,296,19.28,96.7,3.3,Safe D,4.13,3.05,19.28,3.35,15.93,59.64,40.36,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.41,-0.04,39.9,-16.8,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
2026-01-12,295,19.34,96.8,3.2,Safe D,4.14,3.1,19.34,3.35,15.99,59.67,40.33,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,4465683,0,0,7.46,-0.04,39.9,-16.9,50.1,96.1,68.1,70.1,63.1,63.1,66.8,63.8,58.8,55.8,55.8,56.8,56.8,59.5,54.5,56.5,57.5,63.5,69.5,67.5,71.5,64.6,63.6,63.6,62.6,61.6,60.6,59.6,58.6,58.6,57.6,57.6,57.6,58.6,58.6,59.6,60.6
