date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,11.9,87.2,12.8,Likely D,15.56,3.1,11.46,12.68,-0.78,55.95,44.05,0.0,False,False,,,,0.0,0.0,0.0,47.61,33.16,3,14.44,0.15,10826228,8635059,0,18.79,0.13,34.9,-26.8,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-02,305,11.91,87.2,12.8,Likely D,15.56,3.11,11.47,12.68,-0.77,55.96,44.04,0.0,False,False,,,,0.0,0.0,0.0,47.61,33.16,3,14.44,0.15,10826228,8635059,0,18.8,0.13,34.9,-26.8,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-03,304,11.91,87.2,12.8,Likely D,15.56,3.11,11.47,12.68,-0.77,55.96,44.04,0.0,False,False,,,,0.0,0.0,0.0,47.61,33.16,3,14.44,0.15,10826228,8635059,0,18.8,0.13,34.9,-26.8,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-04,303,11.85,87.1,12.9,Likely D,15.56,3.04,11.4,12.68,-0.83,55.93,44.07,0.0,False,False,,,,0.0,0.0,0.0,47.61,33.16,3,14.44,0.15,10826228,8635059,0,18.73,0.13,35.0,-26.6,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-05,302,11.88,87.2,12.8,Likely D,15.56,3.07,11.43,12.68,-0.81,55.94,44.06,0.0,False,False,,,,0.0,0.0,0.0,47.61,33.16,3,14.44,0.15,10826228,8635059,0,18.76,0.13,35.0,-26.6,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-06,301,11.89,87.2,12.8,Likely D,15.56,3.08,11.44,12.68,-0.8,55.94,44.06,0.0,False,False,,,,0.0,0.0,0.0,47.61,33.16,3,14.44,0.15,10826228,8635059,0,18.77,0.13,35.0,-26.6,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-07,300,11.89,87.2,12.8,Likely D,15.56,3.08,11.44,12.68,-0.8,55.94,44.06,0.0,False,False,,,,0.0,0.0,0.0,47.61,33.16,3,14.44,0.15,10826228,8635059,0,18.77,0.13,35.0,-26.7,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-08,299,11.93,87.3,12.7,Likely D,15.56,3.08,11.44,12.68,-0.75,55.97,44.03,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.77,0.13,35.0,-26.7,42.9,88.9,60.9,62.9,55.9,55.9,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-09,298,11.94,87.3,12.7,Likely D,15.56,3.09,11.45,12.68,-0.74,55.97,44.03,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.78,0.13,35.0,-26.7,42.9,88.9,60.9,62.9,55.9,55.9,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-10,297,11.94,87.3,12.7,Likely D,15.56,3.09,11.45,12.68,-0.74,55.97,44.03,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.78,0.13,35.0,-26.7,42.9,88.9,60.9,62.9,55.9,55.9,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-11,296,11.91,87.2,12.8,Likely D,15.56,3.05,11.41,12.68,-0.78,55.95,44.05,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.74,0.13,34.9,-26.9,42.8,88.8,60.8,62.8,55.8,55.8,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.7,59.7,59.7,58.7,57.7,56.7,55.7,54.7,54.7,53.7,53.7,53.7,54.7,54.7,55.7,56.7
2026-01-12,295,11.95,87.3,12.7,Likely D,15.56,3.1,11.46,12.68,-0.74,55.97,44.03,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.79,0.13,34.8,-27.0,42.9,88.9,60.9,62.9,55.9,55.9,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-13,294,11.94,87.3,12.7,Likely D,15.56,3.09,11.45,12.68,-0.74,55.97,44.03,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.78,0.13,34.8,-27.2,42.9,88.9,60.9,62.9,55.9,55.9,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-14,293,11.94,87.3,12.7,Likely D,15.56,3.09,11.45,12.68,-0.74,55.97,44.03,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.78,0.13,34.8,-27.1,42.9,88.9,60.9,62.9,55.9,55.9,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
2026-01-15,292,11.96,87.3,12.7,Likely D,15.56,3.11,11.47,12.68,-0.73,55.98,44.02,0.0,False,False,,,,0.0,0.0,0.0,49.75,35.49,4,14.27,0.175,10826228,8635059,0,18.8,0.13,34.8,-27.1,42.9,88.9,60.9,62.9,55.9,55.9,62.9,59.9,54.9,51.9,51.9,52.9,52.9,55.3,50.3,52.3,53.3,59.3,65.3,63.3,67.3,60.8,59.8,59.8,58.8,57.8,56.8,55.8,54.8,54.8,53.8,53.8,53.8,54.8,54.8,55.8,56.8
