date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-38.03,0.0,100.0,Safe R,-39.54,3.18,-38.03,-43.01,4.98,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.03,1.01,60.7,24.9,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-02,305,-38.03,0.0,100.0,Safe R,-39.54,3.18,-38.03,-43.01,4.98,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.03,1.01,60.7,24.9,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-03,304,-38.02,0.0,100.0,Safe R,-39.54,3.19,-38.02,-43.01,5.0,30.99,69.01,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.02,1.01,60.7,24.9,27.2,73.2,45.2,47.2,40.2,40.2,38.3,35.3,30.3,27.3,27.3,28.3,28.3,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-04,303,-38.1,0.0,100.0,Safe R,-39.56,3.13,-38.1,-43.01,4.92,30.95,69.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.08,1.01,60.9,25.2,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-05,302,-38.04,0.0,100.0,Safe R,-39.55,3.17,-38.04,-43.01,4.97,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.04,1.01,60.8,25.1,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-06,301,-38.04,0.0,100.0,Safe R,-39.55,3.17,-38.04,-43.01,4.97,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.04,1.01,60.8,25.1,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-07,300,-38.04,0.0,100.0,Safe R,-39.55,3.17,-38.04,-43.01,4.97,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.04,1.01,60.8,25.0,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-08,299,-38.04,0.0,100.0,Safe R,-39.55,3.17,-38.04,-43.01,4.97,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.04,1.01,60.9,25.0,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-09,298,-38.04,0.0,100.0,Safe R,-39.55,3.17,-38.04,-43.01,4.97,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.04,1.01,60.8,25.1,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
2026-01-10,297,-38.04,0.0,100.0,Safe R,-39.55,3.17,-38.04,-43.01,4.97,30.98,69.02,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-38.04,1.01,60.8,25.1,27.2,73.2,45.2,47.2,40.2,40.2,38.2,35.2,30.2,27.2,27.2,28.2,28.2,32.3,27.3,29.3,30.3,36.3,42.3,40.3,44.3,36.1,35.1,35.1,34.1,33.1,32.1,31.1,30.1,30.1,29.1,29.1,29.1,30.1,30.1,31.1,32.1
