date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-28.98,0.3,99.7,Safe R,-27.4,3.11,-28.98,-30.36,1.38,35.51,64.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.75,-0.93,55.4,14.3,32.2,78.2,50.2,52.2,45.2,45.2,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.6,39.6,39.6,38.6,37.6,36.6,35.6,34.6,34.6,33.6,33.6,33.6,34.6,34.6,35.6,36.6
2026-01-02,305,-28.98,0.3,99.7,Safe R,-27.4,3.11,-28.98,-30.36,1.38,35.51,64.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.75,-0.93,55.4,14.3,32.2,78.2,50.2,52.2,45.2,45.2,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.6,39.6,39.6,38.6,37.6,36.6,35.6,34.6,34.6,33.6,33.6,33.6,34.6,34.6,35.6,36.6
2026-01-03,304,-28.98,0.3,99.7,Safe R,-27.4,3.11,-28.98,-30.36,1.38,35.51,64.49,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.75,-0.93,55.4,14.3,32.2,78.2,50.2,52.2,45.2,45.2,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.6,39.6,39.6,38.6,37.6,36.6,35.6,34.6,34.6,33.6,33.6,33.6,34.6,34.6,35.6,36.6
2026-01-04,303,-29.07,0.3,99.7,Safe R,-27.42,3.04,-29.07,-30.36,1.28,35.46,64.54,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.82,-0.93,55.6,14.6,32.1,78.1,50.1,52.1,45.1,45.1,42.8,39.8,34.8,31.8,31.8,32.8,32.8,35.9,30.9,32.9,33.9,39.9,45.9,43.9,47.9,40.5,39.5,39.5,38.5,37.5,36.5,35.5,34.5,34.5,33.5,33.5,33.5,34.5,34.5,35.5,36.5
2026-01-05,302,-29.02,0.3,99.7,Safe R,-27.41,3.08,-29.02,-30.36,1.34,35.49,64.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.78,-0.93,55.6,14.5,32.1,78.1,50.1,52.1,45.1,45.1,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.5,39.5,39.5,38.5,37.5,36.5,35.5,34.5,34.5,33.5,33.5,33.5,34.5,34.5,35.5,36.5
2026-01-06,301,-29.02,0.3,99.7,Safe R,-27.41,3.08,-29.02,-30.36,1.34,35.49,64.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.78,-0.93,55.6,14.5,32.1,78.1,50.1,52.1,45.1,45.1,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.5,39.5,39.5,38.5,37.5,36.5,35.5,34.5,34.5,33.5,33.5,33.5,34.5,34.5,35.5,36.5
2026-01-07,300,-29.02,0.3,99.7,Safe R,-27.41,3.08,-29.02,-30.36,1.34,35.49,64.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.78,-0.93,55.5,14.4,32.1,78.1,50.1,52.1,45.1,45.1,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.5,39.5,39.5,38.5,37.5,36.5,35.5,34.5,34.5,33.5,33.5,33.5,34.5,34.5,35.5,36.5
2026-01-08,299,-29.02,0.3,99.7,Safe R,-27.41,3.08,-29.02,-30.36,1.34,35.49,64.51,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.78,-0.93,55.6,14.5,32.1,78.1,50.1,52.1,45.1,45.1,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.5,39.5,39.5,38.5,37.5,36.5,35.5,34.5,34.5,33.5,33.5,33.5,34.5,34.5,35.5,36.5
2026-01-09,298,-29.01,0.3,99.7,Safe R,-27.4,3.09,-29.01,-30.36,1.35,35.5,64.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.77,-0.93,55.5,14.5,32.2,78.2,50.2,52.2,45.2,45.2,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.5,39.5,39.5,38.5,37.5,36.5,35.5,34.5,34.5,33.5,33.5,33.5,34.5,34.5,35.5,36.5
2026-01-10,297,-29.01,0.3,99.7,Safe R,-27.4,3.09,-29.01,-30.36,1.35,35.5,64.5,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,54829,1400346,0,-27.77,-0.93,55.5,14.5,32.2,78.2,50.2,52.2,45.2,45.2,42.8,39.8,34.8,31.8,31.8,32.8,32.8,36.0,31.0,33.0,34.0,40.0,46.0,44.0,48.0,40.5,39.5,39.5,38.5,37.5,36.5,35.5,34.5,34.5,33.5,33.5,33.5,34.5,34.5,35.5,36.5
