section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,OH-GOV,governor,Amy Acton,Vivek Ramaswamy,-4.94,31.7,68.3,Lean R,1918074,2117438,0,4035512.0,47.53,52.47,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-10.26,5.32,False,-4.94,44.5,-7.7,,,,,,,,,,,
demographic,,,,,,,,,1269561,1898096,0,,40.1,59.9,0.0,,,0.0,0,,,,,,,,,,,,,race,White,78.49,3167657.0,,,,,,,
demographic,,,,,,,,,449097,72630,0,,86.1,13.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,12.93,521727.0,,,,,,,
demographic,,,,,,,,,85637,61812,0,,58.1,41.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,3.65,147449.0,,,,,,,
demographic,,,,,,,,,71476,47494,0,,60.1,39.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,2.95,118969.0,,,,,,,
demographic,,,,,,,,,39962,35326,0,,53.1,46.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.87,75289.0,,,,,,,
demographic,,,,,,,,,2346,2074,0,,53.1,46.9,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.11,4420.0,,,,,,,
demographic,,,,,,,,,384639,319477,0,,54.6,45.4,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,17.45,704116.0,,,,,,,
demographic,,,,,,,,,351458,329303,0,,51.6,48.4,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,16.87,680761.0,,,,,,,
demographic,,,,,,,,,299642,342991,0,,46.6,53.4,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.92,642632.0,,,,,,,
demographic,,,,,,,,,306811,396444,0,,43.6,56.4,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.43,703255.0,,,,,,,
demographic,,,,,,,,,294258,380224,0,,43.6,56.4,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,16.71,674482.0,,,,,,,
demographic,,,,,,,,,182825,226847,0,,44.6,55.4,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,10.15,409672.0,,,,,,,
demographic,,,,,,,,,98445,122149,0,,44.6,55.4,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.47,220594.0,,,,,,,
demographic,,,,,,,,,166654,180401,0,,48.0,52.0,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,8.6,347055.0,,,,,,,
demographic,,,,,,,,,562953,745650,0,,43.0,57.0,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,32.43,1308603.0,,,,,,,
demographic,,,,,,,,,359134,438598,0,,45.0,55.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,19.77,797732.0,,,,,,,
demographic,,,,,,,,,164064,192447,0,,46.0,54.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,8.83,356511.0,,,,,,,
demographic,,,,,,,,,392947,362438,0,,52.0,48.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,18.72,755384.0,,,,,,,
demographic,,,,,,,,,201481,145784,0,,58.0,42.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,8.61,347265.0,,,,,,,
demographic,,,,,,,,,41387,32493,0,,56.0,44.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,1.83,73880.0,,,,,,,
demographic,,,,,,,,,29458,19623,0,,60.0,40.0,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.22,49081.0,,,,,,,
demographic,,,,,,,,,109928,99548,0,,52.5,47.5,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,5.19,209476.0,,,,,,,
demographic,,,,,,,,,91225,85988,0,,51.5,48.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,4.39,177213.0,,,,,,,
demographic,,,,,,,,,79946,75356,0,,51.5,48.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,3.85,155302.0,,,,,,,
demographic,,,,,,,,,81628,80083,0,,50.5,49.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,4.01,161710.0,,,,,,,
demographic,,,,,,,,,83393,85153,0,,49.5,50.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,4.18,168546.0,,,,,,,
demographic,,,,,,,,,80322,85367,0,,48.5,51.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,4.11,165689.0,,,,,,,
demographic,,,,,,,,,77707,85964,0,,47.5,52.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,4.06,163671.0,,,,,,,
demographic,,,,,,,,,75342,86762,0,,46.5,53.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,4.02,162104.0,,,,,,,
demographic,,,,,,,,,75695,87168,0,,46.5,53.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,4.04,162864.0,,,,,,,
demographic,,,,,,,,,136791,163996,0,,45.5,54.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,7.45,300787.0,,,,,,,
demographic,,,,,,,,,181017,217018,0,,45.5,54.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,9.86,398035.0,,,,,,,
demographic,,,,,,,,,243949,292466,0,,45.5,54.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,13.29,536415.0,,,,,,,
demographic,,,,,,,,,183071,210819,0,,46.5,53.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,9.76,393890.0,,,,,,,
demographic,,,,,,,,,126944,146185,0,,46.5,53.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,6.77,273129.0,,,,,,,
demographic,,,,,,,,,141705,156762,0,,47.5,52.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,7.4,298467.0,,,,,,,
demographic,,,,,,,,,149415,158799,0,,48.5,51.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,7.64,308215.0,,,,,,,
county,,,,,-59.7,,,,1750,6934,0,8684.0,,,,,,,0,,,,,,,,,,,,,,,,,39001,95.9,0.3,0.6,0.2,0.3,0.0
county,,,,,-38.13,,,,10018,22369,0,32387.0,,,,,,,0,,,,,,,,,,,,,,,,,39003,80.9,11.7,2.6,0.9,0.2,0.0
county,,,,,-44.07,,,,5208,13418,0,18626.0,,,,,,,0,,,,,,,,,,,,,,,,,39005,94.1,0.7,1.4,0.7,0.2,0.1
county,,,,,-22.28,,,,11772,18521,0,30293.0,,,,,,,0,,,,,,,,,,,,,,,,,39007,88.0,3.8,3.6,0.4,0.2,0.0
