date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-4.93,31.9,68.1,Lean R,-9.11,3.18,-5.91,-11.31,6.38,46.79,51.64,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.46,-1.38,47.1,-2.4,39.5,84.7,57.2,59.1,52.3,52.3,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.4,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.7,47.7
2026-01-02,305,-4.93,31.9,68.1,Lean R,-9.11,3.18,-5.91,-11.31,6.38,46.79,51.64,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.46,-1.38,47.1,-2.4,39.5,84.7,57.2,59.1,52.3,52.3,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.4,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.7,47.7
2026-01-03,304,-4.93,31.9,68.1,Lean R,-9.11,3.19,-5.9,-11.31,6.39,46.79,51.64,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.45,-1.38,47.1,-2.4,39.5,84.7,57.2,59.1,52.3,52.3,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.4,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.7,47.7
2026-01-04,303,-4.98,31.7,68.3,Lean R,-9.12,3.13,-5.97,-11.31,6.33,46.76,51.67,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.51,-1.38,47.2,-2.1,39.4,84.7,57.1,59.1,52.2,52.2,53.7,50.8,45.9,42.9,42.9,43.9,43.9,47.2,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.6,50.6,50.6,49.7,48.7,47.7,46.7,45.7,45.7,44.7,44.7,44.7,45.7,45.7,46.7,47.7
2026-01-05,302,-4.94,31.8,68.2,Lean R,-9.11,3.17,-5.93,-11.31,6.37,46.78,51.65,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.47,-1.38,47.2,-2.2,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.8,44.8,44.8,45.7,45.7,46.7,47.7
2026-01-06,301,-4.94,31.8,68.2,Lean R,-9.11,3.17,-5.93,-11.31,6.37,46.78,51.65,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.47,-1.38,47.2,-2.2,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.8,44.8,44.8,45.7,45.7,46.7,47.7
2026-01-07,300,-4.94,31.8,68.2,Lean R,-9.11,3.17,-5.93,-11.31,6.37,46.78,51.65,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.47,-1.38,47.2,-2.3,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.8,44.8,44.8,45.7,45.7,46.7,47.7
2026-01-08,299,-4.94,31.8,68.2,Lean R,-9.11,3.17,-5.93,-11.31,6.37,46.78,51.65,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.47,-1.38,47.2,-2.3,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.8,44.8,44.8,45.7,45.7,46.7,47.7
2026-01-09,298,-4.94,31.8,68.2,Lean R,-9.11,3.17,-5.93,-11.31,6.37,46.78,51.65,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.47,-1.38,47.2,-2.3,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.8,44.8,44.8,45.7,45.7,46.7,47.7
2026-01-10,297,-4.94,31.8,68.2,Lean R,-9.11,3.17,-5.93,-11.31,6.37,46.78,51.65,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.47,-1.38,47.2,-2.3,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.8,44.8,44.8,45.7,45.7,46.7,47.7
2026-01-11,296,-4.96,31.8,68.2,Lean R,-9.12,3.15,-5.95,-11.31,6.35,46.77,51.66,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.49,-1.38,47.1,-2.5,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.6,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.7,44.7,44.7,45.7,45.7,46.7,47.7
2026-01-12,295,-4.93,31.9,68.1,Lean R,-9.11,3.19,-5.9,-11.31,6.39,46.79,51.64,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.45,-1.38,47.0,-2.6,39.5,84.7,57.2,59.1,52.3,52.3,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.4,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.7,47.7
2026-01-13,294,-4.94,31.8,68.2,Lean R,-9.11,3.17,-5.93,-11.31,6.37,46.78,51.65,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.47,-1.38,47.0,-2.8,39.4,84.7,57.2,59.1,52.2,52.2,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.3,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.7,45.7,44.8,44.8,44.8,45.7,45.7,46.7,47.7
2026-01-14,293,-4.93,31.9,68.1,Lean R,-9.11,3.18,-5.91,-11.31,6.38,46.79,51.64,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.46,-1.38,47.0,-2.7,39.5,84.7,57.2,59.1,52.3,52.3,53.8,50.8,45.9,42.9,42.9,43.9,43.9,47.3,42.4,44.3,45.3,51.2,57.1,55.1,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.7,47.7
2026-01-15,292,-4.92,31.9,68.1,Lean R,-9.11,3.2,-5.89,-11.31,6.4,46.8,51.63,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.44,-1.38,47.0,-2.7,39.5,84.7,57.2,59.2,52.3,52.3,53.8,50.8,45.9,43.0,43.0,43.9,43.9,47.3,42.4,44.3,45.3,51.2,57.1,55.2,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.7,47.7
2026-01-16,291,-4.92,31.9,68.1,Lean R,-9.11,3.2,-5.89,-11.31,6.4,46.8,51.63,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.44,-1.38,47.0,-2.8,39.5,84.7,57.2,59.2,52.3,52.3,53.8,50.8,45.9,43.0,43.0,43.9,43.9,47.3,42.4,44.3,45.3,51.2,57.1,55.2,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.7,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.7,47.7
2026-01-17,290,-4.88,32.1,67.9,Lean R,-9.1,3.24,-5.84,-11.31,6.44,46.81,51.62,1.57,False,False,,LIB,,0.0,0.0,0.0,46.3,48.79,5,-2.490000000000002,0.194,-8.4,-1.38,46.9,-2.9,39.5,84.8,57.2,59.2,52.3,52.3,53.8,50.8,45.9,43.0,43.0,44.0,44.0,47.3,42.4,44.3,45.3,51.2,57.1,55.2,59.1,51.7,50.7,50.7,49.7,48.7,47.7,46.8,45.8,45.8,44.8,44.8,44.8,45.8,45.8,46.8,47.7
