section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,OK-04,house,Democratic candidate (OK-04),Republican candidate (OK-04),-26.13,0.6,99.4,Safe R,80485,137436,0,217922.0,36.93,63.07,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-29.79,5.32,False,-27.9,53.7,10.6,,,,,,,,,,,
demographic,,,,,,,,,42641,104211,0,,29.0,71.0,0.0,,,0.0,0,,,,,,,,,,,,,race,White,67.39,146852.0,,,,,,,
demographic,,,,,,,,,14871,4947,0,,75.0,25.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,9.09,19819.0,,,,,,,
demographic,,,,,,,,,8490,9560,0,,47.0,53.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,8.28,18050.0,,,,,,,
demographic,,,,,,,,,3634,3777,0,,49.0,51.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,3.4,7412.0,,,,,,,
demographic,,,,,,,,,10518,14503,0,,42.0,58.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,11.48,25021.0,,,,,,,
demographic,,,,,,,,,323,445,0,,42.0,58.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.35,768.0,,,,,,,
demographic,,,,,,,,,19881,25793,0,,43.5,56.5,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,20.96,45674.0,,,,,,,
demographic,,,,,,,,,16307,23929,0,,40.5,59.5,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.46,40235.0,,,,,,,
demographic,,,,,,,,,12345,22403,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.95,34748.0,,,,,,,
demographic,,,,,,,,,11059,22938,0,,32.5,67.5,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,15.6,33997.0,,,,,,,
demographic,,,,,,,,,10606,22000,0,,32.5,67.5,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,14.96,32607.0,,,,,,,
demographic,,,,,,,,,6800,13481,0,,33.5,66.5,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,9.31,20282.0,,,,,,,
demographic,,,,,,,,,3480,6899,0,,33.5,66.5,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.76,10379.0,,,,,,,
demographic,,,,,,,,,7924,13084,0,,37.7,62.3,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,9.64,21008.0,,,,,,,
demographic,,,,,,,,,22581,46437,0,,32.7,67.3,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,31.67,69019.0,,,,,,,
demographic,,,,,,,,,18017,33879,0,,34.7,65.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,23.81,51896.0,,,,,,,
demographic,,,,,,,,,6190,11140,0,,35.7,64.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,7.95,17329.0,,,,,,,
demographic,,,,,,,,,15487,21637,0,,41.7,58.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,17.04,37124.0,,,,,,,
demographic,,,,,,,,,7370,8075,0,,47.7,52.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,7.09,15445.0,,,,,,,
demographic,,,,,,,,,1418,1683,0,,45.7,54.3,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,1.42,3101.0,,,,,,,
