date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-33.59,0.1,99.9,Safe R,-34.68,3.18,-33.59,-34.95,1.36,33.21,66.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.89,-1.39,56.7,16.9,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-02,305,-33.59,0.1,99.9,Safe R,-34.68,3.18,-33.59,-34.95,1.36,33.21,66.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.89,-1.39,56.7,16.9,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-03,304,-33.58,0.1,99.9,Safe R,-34.68,3.19,-33.58,-34.95,1.37,33.21,66.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.88,-1.39,56.7,16.9,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-04,303,-33.64,0.1,99.9,Safe R,-34.68,3.13,-33.64,-34.95,1.31,33.18,66.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.94,-1.39,56.9,17.2,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-05,302,-33.6,0.1,99.9,Safe R,-34.68,3.17,-33.6,-34.95,1.35,33.2,66.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.9,-1.39,56.8,17.1,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-06,301,-33.6,0.1,99.9,Safe R,-34.68,3.17,-33.6,-34.95,1.35,33.2,66.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.9,-1.39,56.8,17.1,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-07,300,-33.6,0.1,99.9,Safe R,-34.68,3.17,-33.6,-34.95,1.35,33.2,66.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.9,-1.39,56.8,17.0,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-08,299,-33.6,0.1,99.9,Safe R,-34.68,3.17,-33.6,-34.95,1.35,33.2,66.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.9,-1.39,56.9,17.0,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-09,298,-33.6,0.1,99.9,Safe R,-34.68,3.17,-33.6,-34.95,1.35,33.2,66.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.9,-1.39,56.8,17.1,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
2026-01-10,297,-33.6,0.1,99.9,Safe R,-34.68,3.17,-33.6,-34.95,1.35,33.2,66.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-32.9,-1.39,56.8,17.1,25.1,71.1,43.1,45.1,38.1,38.1,40.0,37.0,32.0,29.0,29.0,30.0,30.0,33.9,28.9,30.9,31.9,37.9,43.9,41.9,45.9,38.1,37.1,37.1,36.1,35.1,34.1,33.1,32.1,32.1,31.1,31.1,31.1,32.1,32.1,33.1,34.1
