section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,OK-SEN,senate,Oklahoma Democrat,Markwayne Mullin,-22.66,1.4,98.6,Safe R,423897,672325,0,1096222.0,38.67,61.33,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-33.46,5.32,False,-29.36,54.2,11.6,,,,,,,,,,,
demographic,,,,,,,,,216661,491993,0,,30.6,69.4,0.0,,,0.0,0,,,,,,,,,,,,,race,White,64.65,708654.0,,,,,,,
demographic,,,,,,,,,71540,21887,0,,76.6,23.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,8.52,93427.0,,,,,,,
demographic,,,,,,,,,51816,54859,0,,48.6,51.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,9.73,106674.0,,,,,,,
demographic,,,,,,,,,15938,15577,0,,50.6,49.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,2.87,31515.0,,,,,,,
demographic,,,,,,,,,66540,86168,0,,43.6,56.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,13.93,152708.0,,,,,,,
demographic,,,,,,,,,1414,1831,0,,43.6,56.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.3,3244.0,,,,,,,
demographic,,,,,,,,,95067,114022,0,,45.5,54.5,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,19.07,209089.0,,,,,,,
demographic,,,,,,,,,85531,115873,0,,42.5,57.5,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.37,201404.0,,,,,,,
demographic,,,,,,,,,66715,111347,0,,37.5,62.5,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,16.24,178062.0,,,,,,,
demographic,,,,,,,,,61052,116078,0,,34.5,65.5,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,16.16,177130.0,,,,,,,
demographic,,,,,,,,,58208,110671,0,,34.5,65.5,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,15.41,168879.0,,,,,,,
demographic,,,,,,,,,38077,69281,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,9.79,107358.0,,,,,,,
demographic,,,,,,,,,19259,35042,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,4.95,54301.0,,,,,,,
demographic,,,,,,,,,47736,73414,0,,39.4,60.6,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,11.05,121150.0,,,,,,,
demographic,,,,,,,,,116127,221426,0,,34.4,65.6,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,30.79,337553.0,,,,,,,
