date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,52.37,100.0,0.0,Safe D,46.57,3.11,52.37,47.61,4.76,76.18,23.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.91,-0.37,21.3,-53.9,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-02,305,52.37,100.0,0.0,Safe D,46.57,3.11,52.37,47.61,4.76,76.18,23.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.91,-0.37,21.3,-53.9,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-03,304,52.37,100.0,0.0,Safe D,46.57,3.11,52.37,47.61,4.76,76.18,23.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.91,-0.37,21.3,-53.9,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-04,303,52.28,100.0,0.0,Safe D,46.55,3.05,52.28,47.61,4.67,76.14,23.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.85,-0.37,21.4,-53.6,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.2,80.2,80.2,79.2,78.2,77.2,76.2,75.2,75.2,74.2,74.2,74.2,75.2,75.2,76.2,77.2
2026-01-05,302,52.32,100.0,0.0,Safe D,46.56,3.08,52.32,47.61,4.71,76.16,23.84,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.88,-0.37,21.4,-53.7,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-06,301,52.32,100.0,0.0,Safe D,46.56,3.08,52.32,47.61,4.71,76.16,23.84,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.88,-0.37,21.4,-53.7,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-07,300,52.32,100.0,0.0,Safe D,46.56,3.08,52.32,47.61,4.71,76.16,23.84,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.88,-0.37,21.4,-53.8,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-08,299,52.34,100.0,0.0,Safe D,46.56,3.09,52.34,47.61,4.73,76.17,23.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.89,-0.37,21.4,-53.8,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-09,298,52.34,100.0,0.0,Safe D,46.56,3.09,52.34,47.61,4.73,76.17,23.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.89,-0.37,21.4,-53.8,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-10,297,52.34,100.0,0.0,Safe D,46.56,3.09,52.34,47.61,4.73,76.17,23.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.89,-0.37,21.4,-53.8,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-11,296,52.29,100.0,0.0,Safe D,46.55,3.06,52.29,47.61,4.68,76.15,23.85,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.86,-0.37,21.4,-54.0,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-12,295,52.37,100.0,0.0,Safe D,46.57,3.11,52.37,47.61,4.76,76.18,23.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.91,-0.37,21.3,-54.1,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-13,294,52.34,100.0,0.0,Safe D,46.56,3.09,52.34,47.61,4.73,76.17,23.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.89,-0.37,21.2,-54.3,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-14,293,52.35,100.0,0.0,Safe D,46.57,3.1,52.35,47.61,4.74,76.18,23.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.9,-0.37,21.2,-54.2,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-15,292,52.37,100.0,0.0,Safe D,46.57,3.11,52.37,47.61,4.76,76.18,23.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.91,-0.37,21.2,-54.2,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-16,291,52.37,100.0,0.0,Safe D,46.57,3.11,52.37,47.61,4.76,76.18,23.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.91,-0.37,21.2,-54.3,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-17,290,52.42,100.0,0.0,Safe D,46.59,3.15,52.42,47.61,4.81,76.21,23.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.95,-0.37,21.2,-54.4,68.5,98.0,86.5,88.5,81.5,81.5,82.9,79.9,74.9,71.9,71.9,72.9,72.9,75.6,70.6,72.6,73.6,79.6,85.6,83.6,87.6,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-18,289,52.34,100.0,0.0,Safe D,46.56,3.09,52.34,47.61,4.73,76.17,23.83,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.89,-0.37,21.2,-54.3,68.5,98.0,86.5,88.5,81.5,81.5,82.8,79.8,74.8,71.8,71.8,72.8,72.8,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-19,288,52.38,100.0,0.0,Safe D,46.58,3.12,52.38,47.61,4.77,76.19,23.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.92,-0.37,21.2,-54.2,68.5,98.0,86.5,88.5,81.5,81.5,82.9,79.9,74.9,71.9,71.9,72.9,72.9,75.5,70.5,72.5,73.5,79.5,85.5,83.5,87.5,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-20,287,52.48,100.0,0.0,Safe D,46.61,3.19,52.48,47.61,4.87,76.24,23.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.99,-0.37,21.1,-54.5,68.6,98.0,86.6,88.6,81.6,81.6,82.9,79.9,74.9,71.9,71.9,72.9,72.9,75.6,70.6,72.6,73.6,79.6,85.6,83.6,87.6,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-21,286,52.48,100.0,0.0,Safe D,46.61,3.19,52.48,47.61,4.87,76.24,23.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,50.99,-0.37,21.1,-54.4,68.6,98.0,86.6,88.6,81.6,81.6,82.9,79.9,74.9,71.9,71.9,72.9,72.9,75.6,70.6,72.6,73.6,79.6,85.6,83.6,87.6,81.3,80.3,80.3,79.3,78.3,77.3,76.3,75.3,75.3,74.3,74.3,74.3,75.3,75.3,76.3,77.3
2026-01-22,285,52.53,100.0,0.0,Safe D,46.62,3.22,52.53,47.61,4.92,76.26,23.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,51.02,-0.37,21.1,-54.5,68.6,98.0,86.6,88.6,81.6,81.6,82.9,79.9,74.9,71.9,71.9,72.9,72.9,75.6,70.6,72.6,73.6,79.6,85.6,83.6,87.6,81.4,80.4,80.4,79.4,78.4,77.4,76.4,75.4,75.4,74.4,74.4,74.4,75.4,75.4,76.4,77.4
2026-01-23,284,52.53,100.0,0.0,Safe D,46.62,3.22,52.53,47.61,4.92,76.26,23.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,51.02,-0.37,21.1,-54.5,68.6,98.0,86.6,88.6,81.6,81.6,82.9,79.9,74.9,71.9,71.9,72.9,72.9,75.6,70.6,72.6,73.6,79.6,85.6,83.6,87.6,81.4,80.4,80.4,79.4,78.4,77.4,76.4,75.4,75.4,74.4,74.4,74.4,75.4,75.4,76.4,77.4
2026-01-24,283,52.53,100.0,0.0,Safe D,46.62,3.22,52.53,47.61,4.92,76.26,23.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,51.02,-0.37,21.1,-54.5,68.6,98.0,86.6,88.6,81.6,81.6,82.9,79.9,74.9,71.9,71.9,72.9,72.9,75.6,70.6,72.6,73.6,79.6,85.6,83.6,87.6,81.4,80.4,80.4,79.4,78.4,77.4,76.4,75.4,75.4,74.4,74.4,74.4,75.4,75.4,76.4,77.4
