section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,OR-05,house,Janelle Bynum,Republican,16.3,94.2,5.8,Likely D,169168,121744,0,290912.0,58.15,41.85,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,8.51,5.32,False,14.22,35.9,-25.1,,,,,,,,,,,
demographic,,,,,,,,,129903,108184,0,,54.6,45.4,0.0,,,0.0,0,,,,,,,,,,,,,race,White,81.84,238087.0,,,,,,,
demographic,,,,,,,,,4386,90,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,1.54,4475.0,,,,,,,
demographic,,,,,,,,,17658,6677,0,,72.6,27.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,8.37,24335.0,,,,,,,
demographic,,,,,,,,,9369,3197,0,,74.6,25.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,4.32,12566.0,,,,,,,
demographic,,,,,,,,,6617,3177,0,,67.6,32.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,3.37,9795.0,,,,,,,
demographic,,,,,,,,,1118,537,0,,67.6,32.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.57,1654.0,,,,,,,
demographic,,,,,,,,,28911,15306,0,,65.4,34.6,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,15.2,44217.0,,,,,,,
demographic,,,,,,,,,32067,19335,0,,62.4,37.6,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,17.67,51403.0,,,,,,,
demographic,,,,,,,,,28692,21308,0,,57.4,42.6,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,17.19,49999.0,,,,,,,
demographic,,,,,,,,,26054,21853,0,,54.4,45.6,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,16.47,47907.0,,,,,,,
demographic,,,,,,,,,26915,22576,0,,54.4,45.6,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,17.01,49491.0,,,,,,,
demographic,,,,,,,,,17993,14494,0,,55.4,44.6,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,11.17,32487.0,,,,,,,
demographic,,,,,,,,,8534,6875,0,,55.4,44.6,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.3,15409.0,,,,,,,
demographic,,,,,,,,,11473,8339,0,,57.9,42.1,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,6.81,19812.0,,,,,,,
demographic,,,,,,,,,33673,29969,0,,52.9,47.1,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,21.88,63642.0,,,,,,,
demographic,,,,,,,,,39691,32592,0,,54.9,45.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,24.85,72283.0,,,,,,,
demographic,,,,,,,,,15591,12295,0,,55.9,44.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,9.59,27886.0,,,,,,,
demographic,,,,,,,,,41986,25831,0,,61.9,38.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,23.31,67817.0,,,,,,,
demographic,,,,,,,,,18446,8716,0,,67.9,32.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,9.34,27162.0,,,,,,,
demographic,,,,,,,,,4954,2562,0,,65.9,34.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,2.58,7516.0,,,,,,,
demographic,,,,,,,,,3351,1442,0,,69.9,30.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.65,4793.0,,,,,,,
demographic,,,,,,,,,7016,4069,0,,63.3,36.7,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,3.81,11085.0,,,,,,,
demographic,,,,,,,,,4814,2914,0,,62.3,37.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,2.66,7728.0,,,,,,,
demographic,,,,,,,,,4705,2847,0,,62.3,37.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,2.6,7552.0,,,,,,,
demographic,,,,,,,,,5490,3467,0,,61.3,38.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,3.08,8957.0,,,,,,,
demographic,,,,,,,,,5337,3514,0,,60.3,39.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,3.04,8851.0,,,,,,,
demographic,,,,,,,,,5497,3773,0,,59.3,40.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,3.19,9270.0,,,,,,,
demographic,,,,,,,,,5312,3800,0,,58.3,41.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,3.13,9112.0,,,,,,,
demographic,,,,,,,,,5404,4027,0,,57.3,42.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,3.24,9431.0,,,,,,,
demographic,,,,,,,,,5844,4355,0,,57.3,42.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,3.51,10199.0,,,,,,,
demographic,,,,,,,,,11407,8855,0,,56.3,43.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,6.97,20262.0,,,,,,,
demographic,,,,,,,,,15214,11811,0,,56.3,43.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,9.29,27025.0,,,,,,,
demographic,,,,,,,,,22576,17526,0,,56.3,43.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,13.78,40101.0,,,,,,,
demographic,,,,,,,,,18128,13511,0,,57.3,42.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,10.88,31639.0,,,,,,,
demographic,,,,,,,,,13080,9748,0,,57.3,42.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$125-150k,7.85,22828.0,,,,,,,
demographic,,,,,,,,,18005,12880,0,,58.3,41.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$150-200k,10.62,30885.0,,,,,,,
demographic,,,,,,,,,21338,14648,0,,59.3,40.7,0.0,,,0.0,0,,,,,,,,,,,,,income,$200k+,12.37,35986.0,,,,,,,
county,,,,,21.85,,,,74585,47835,0,122420.0,,,,,,,0,,,,,,,,,,,,,,,,,41005,80.0,1.0,8.0,4.9,0.6,0.2
county,,,,,23.26,,,,48026,29898,0,77924.0,,,,,,,0,,,,,,,,,,,,,,,,,41017,85.4,0.3,7.1,1.3,0.6,0.1
county,,,,,-18.13,,,,20284,29270,0,49553.0,,,,,,,0,,,,,,,,,,,,,,,,,41043,83.4,0.5,8.0,1.2,1.0,0.2
county,,,,,-20.41,,,,8208,12418,0,20627.0,,,,,,,0,,,,,,,,,,,,,,,,,41047,66.8,1.1,23.2,2.3,0.9,0.9
county,,,,,77.21,,,,18065,2324,0,20388.0,,,,,,,0,,,,,,,,,,,,,,,,,41051,69.0,5.0,10.9,7.7,0.7,0.6
