section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,PA-04,house,Democratic candidate (PA-04),Republican candidate (PA-04),28.13,99.7,0.3,Safe D,209797,117674,0,327471.0,64.07,35.93,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,21.14,5.32,False,22.01,32.9,-31.1,,,,,,,,,,,
demographic,,,,,,,,,148402,109095,0,,57.6,42.4,0.0,,,0.0,0,,,,,,,,,,,,,race,White,78.63,257496.0,,,,,,,
demographic,,,,,,,,,28860,589,0,,98.0,2.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,8.99,29449.0,,,,,,,
demographic,,,,,,,,,11934,3845,0,,75.6,24.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,4.82,15779.0,,,,,,,
demographic,,,,,,,,,16380,4720,0,,77.6,22.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,6.44,21100.0,,,,,,,
demographic,,,,,,,,,2380,990,0,,70.6,29.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,1.03,3370.0,,,,,,,
demographic,,,,,,,,,196,81,0,,70.6,29.4,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.08,277.0,,,,,,,
demographic,,,,,,,,,34801,13887,0,,71.5,28.5,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,14.87,48687.0,,,,,,,
demographic,,,,,,,,,36320,16719,0,,68.5,31.5,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,16.2,53039.0,,,,,,,
demographic,,,,,,,,,34216,19686,0,,63.5,36.5,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,16.46,53902.0,,,,,,,
demographic,,,,,,,,,36432,23808,0,,60.5,39.5,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,18.4,60240.0,,,,,,,
demographic,,,,,,,,,34411,22488,0,,60.5,39.5,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,17.38,56899.0,,,,,,,
