date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,41.71,100.0,0.0,Safe D,33.79,3.11,41.71,28.94,12.77,70.86,29.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.6,-0.42,29.8,-36.9,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-02,305,41.71,100.0,0.0,Safe D,33.79,3.11,41.71,28.94,12.77,70.86,29.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.6,-0.42,29.8,-36.9,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-03,304,41.71,100.0,0.0,Safe D,33.79,3.11,41.71,28.94,12.77,70.86,29.14,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.6,-0.42,29.8,-36.9,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-04,303,41.63,100.0,0.0,Safe D,33.77,3.04,41.63,28.94,12.69,70.81,29.19,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.53,-0.42,29.9,-36.6,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.1,65.1,67.1,68.1,74.1,80.1,78.1,82.1,75.7,74.7,74.7,73.7,72.7,71.7,70.7,69.7,69.7,68.7,68.7,68.7,69.7,69.7,70.7,71.7
2026-01-05,302,41.67,100.0,0.0,Safe D,33.78,3.08,41.67,28.94,12.74,70.84,29.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.57,-0.42,29.9,-36.7,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-06,301,41.67,100.0,0.0,Safe D,33.78,3.08,41.67,28.94,12.74,70.84,29.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.57,-0.42,29.9,-36.7,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-07,300,41.67,100.0,0.0,Safe D,33.78,3.08,41.67,28.94,12.74,70.84,29.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.57,-0.42,29.9,-36.8,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-08,299,41.67,100.0,0.0,Safe D,33.78,3.08,41.67,28.94,12.74,70.84,29.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.57,-0.42,29.9,-36.8,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-09,298,41.69,100.0,0.0,Safe D,33.78,3.09,41.69,28.94,12.75,70.84,29.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.58,-0.42,29.9,-36.8,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
2026-01-10,297,41.69,100.0,0.0,Safe D,33.78,3.09,41.69,28.94,12.75,70.84,29.16,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,838952,0,0,32.58,-0.42,29.9,-36.8,56.9,98.0,74.9,76.9,69.9,69.9,77.8,74.8,69.8,66.8,66.8,67.8,67.8,70.2,65.2,67.2,68.2,74.2,80.2,78.2,82.2,75.8,74.8,74.8,73.8,72.8,71.8,70.8,69.8,69.8,68.8,68.8,68.8,69.8,69.8,70.8,71.8
