date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,14.44,91.6,8.4,Likely D,9.59,3.18,14.44,5.56,8.88,57.22,42.78,0.0,False,False,,,,0.0,0.0,0.0,8.85,40.4,-15.8,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-02,305,14.44,91.6,8.4,Likely D,9.59,3.18,14.44,5.56,8.88,57.22,42.78,0.0,False,False,,,,0.0,0.0,0.0,8.85,40.4,-15.8,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-03,304,14.45,91.6,8.4,Likely D,9.59,3.19,14.45,5.56,8.89,57.22,42.78,0.0,False,False,,,,0.0,0.0,0.0,8.86,40.4,-15.8,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-04,303,14.37,91.5,8.5,Likely D,9.58,3.13,14.37,5.56,8.81,57.19,42.81,0.0,False,False,,,,0.0,0.0,0.0,8.8,40.5,-15.6,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.4,51.4,53.4,54.4,60.4,66.4,64.4,68.4,62.2,61.2,61.2,60.2,59.2,58.2,57.2,56.2,56.2,55.2,55.2,55.2,56.2,56.2,57.2,58.2
2026-01-05,302,14.42,91.6,8.4,Likely D,9.59,3.17,14.42,5.56,8.86,57.21,42.79,0.0,False,False,,,,0.0,0.0,0.0,8.84,40.5,-15.6,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-06,301,14.42,91.6,8.4,Likely D,9.59,3.17,14.42,5.56,8.86,57.21,42.79,0.0,False,False,,,,0.0,0.0,0.0,8.84,40.5,-15.6,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-07,300,14.42,91.6,8.4,Likely D,9.59,3.17,14.42,5.56,8.86,57.21,42.79,0.0,False,False,,,,0.0,0.0,0.0,8.84,40.5,-15.8,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-08,299,14.42,91.6,8.4,Likely D,9.59,3.17,14.42,5.56,8.86,57.21,42.79,0.0,False,False,,,,0.0,0.0,0.0,8.84,40.5,-15.7,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-09,298,14.42,91.6,8.4,Likely D,9.59,3.17,14.42,5.56,8.86,57.21,42.79,0.0,False,False,,,,0.0,0.0,0.0,8.84,40.5,-15.7,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-10,297,14.42,91.6,8.4,Likely D,9.59,3.17,14.42,5.56,8.86,57.21,42.79,0.0,False,False,,,,0.0,0.0,0.0,8.84,40.5,-15.7,52.1,98.0,70.1,72.1,65.1,65.1,64.7,61.7,56.7,53.7,53.7,54.7,54.7,56.5,51.5,53.5,54.5,60.5,66.5,64.5,68.5,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
