date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,14.68,91.9,8.1,Likely D,11.52,3.11,14.68,6.97,7.71,57.34,42.66,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.16,-0.33,38.4,-19.7,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-02,305,14.68,91.9,8.1,Likely D,11.52,3.11,14.68,6.97,7.71,57.34,42.66,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.16,-0.33,38.4,-19.7,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-03,304,14.68,91.9,8.1,Likely D,11.52,3.11,14.68,6.97,7.71,57.34,42.66,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.16,-0.33,38.4,-19.7,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-04,303,14.58,91.8,8.2,Likely D,11.49,3.04,14.58,6.97,7.61,57.29,42.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.09,-0.33,38.5,-19.5,51.4,97.4,69.4,71.4,64.4,64.4,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.3,61.3,61.3,60.3,59.3,58.3,57.3,56.3,56.3,55.3,55.3,55.3,56.3,56.3,57.3,58.3
2026-01-05,302,14.64,91.9,8.1,Likely D,11.51,3.08,14.64,6.97,7.67,57.32,42.68,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.13,-0.33,38.5,-19.5,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-06,301,14.64,91.9,8.1,Likely D,11.51,3.08,14.64,6.97,7.67,57.32,42.68,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.13,-0.33,38.5,-19.5,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-07,300,14.64,91.9,8.1,Likely D,11.51,3.08,14.64,6.97,7.67,57.32,42.68,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.13,-0.33,38.5,-19.6,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-08,299,14.64,91.9,8.1,Likely D,11.51,3.08,14.64,6.97,7.67,57.32,42.68,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.13,-0.33,38.5,-19.6,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-09,298,14.65,91.9,8.1,Likely D,11.52,3.09,14.65,6.97,7.68,57.33,42.67,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.14,-0.33,38.5,-19.6,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
2026-01-10,297,14.65,91.9,8.1,Likely D,11.52,3.09,14.65,6.97,7.68,57.33,42.67,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1035480,606486,0,11.14,-0.33,38.5,-19.6,51.5,97.5,69.5,71.5,64.5,64.5,64.4,61.4,56.4,53.4,53.4,54.4,54.4,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,62.4,61.4,61.4,60.4,59.4,58.4,57.4,56.4,56.4,55.4,55.4,55.4,56.4,56.4,57.4,58.4
