date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,20.28,97.4,2.6,Safe D,15.7,3.11,20.28,14.16,6.12,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.61,-0.2,35.2,-26.2,52.9,98.0,70.9,72.9,65.9,65.9,67.2,64.2,59.2,56.2,56.2,57.2,57.2,59.9,54.9,56.9,57.9,63.9,69.9,67.9,71.9,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-02,305,20.28,97.4,2.6,Safe D,15.7,3.11,20.28,14.16,6.12,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.61,-0.2,35.2,-26.2,52.9,98.0,70.9,72.9,65.9,65.9,67.2,64.2,59.2,56.2,56.2,57.2,57.2,59.9,54.9,56.9,57.9,63.9,69.9,67.9,71.9,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-03,304,20.28,97.4,2.6,Safe D,15.7,3.11,20.28,14.16,6.12,60.14,39.86,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.61,-0.2,35.2,-26.2,52.9,98.0,70.9,72.9,65.9,65.9,67.2,64.2,59.2,56.2,56.2,57.2,57.2,59.9,54.9,56.9,57.9,63.9,69.9,67.9,71.9,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-04,303,20.21,97.3,2.7,Safe D,15.7,3.04,20.21,14.16,6.05,60.1,39.9,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.54,-0.2,35.3,-25.9,52.9,98.0,70.9,72.9,65.9,65.9,67.1,64.1,59.1,56.1,56.1,57.1,57.1,59.8,54.8,56.8,57.8,63.8,69.8,67.8,71.8,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-05,302,20.25,97.3,2.7,Safe D,15.7,3.08,20.25,14.16,6.09,60.12,39.88,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.58,-0.2,35.3,-26.0,52.9,98.0,70.9,72.9,65.9,65.9,67.1,64.1,59.1,56.1,56.1,57.1,57.1,59.8,54.8,56.8,57.8,63.8,69.8,67.8,71.8,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-06,301,20.25,97.3,2.7,Safe D,15.7,3.08,20.25,14.16,6.09,60.12,39.88,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.58,-0.2,35.3,-26.0,52.9,98.0,70.9,72.9,65.9,65.9,67.1,64.1,59.1,56.1,56.1,57.1,57.1,59.8,54.8,56.8,57.8,63.8,69.8,67.8,71.8,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-07,300,20.25,97.3,2.7,Safe D,15.7,3.08,20.25,14.16,6.09,60.12,39.88,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.58,-0.2,35.3,-26.1,52.9,98.0,70.9,72.9,65.9,65.9,67.1,64.1,59.1,56.1,56.1,57.1,57.1,59.8,54.8,56.8,57.8,63.8,69.8,67.8,71.8,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-08,299,20.25,97.3,2.7,Safe D,15.7,3.08,20.25,14.16,6.09,60.12,39.88,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.58,-0.2,35.3,-26.1,52.9,98.0,70.9,72.9,65.9,65.9,67.1,64.1,59.1,56.1,56.1,57.1,57.1,59.8,54.8,56.8,57.8,63.8,69.8,67.8,71.8,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-09,298,20.26,97.3,2.7,Safe D,15.7,3.09,20.26,14.16,6.1,60.13,39.87,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.59,-0.2,35.3,-26.0,52.9,98.0,70.9,72.9,65.9,65.9,67.2,64.2,59.2,56.2,56.2,57.2,57.2,59.9,54.9,56.9,57.9,63.9,69.9,67.9,71.9,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
2026-01-10,297,20.26,97.3,2.7,Safe D,15.7,3.09,20.26,14.16,6.1,60.13,39.87,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,18.59,-0.2,35.3,-26.0,52.9,98.0,70.9,72.9,65.9,65.9,67.2,64.2,59.2,56.2,56.2,57.2,57.2,59.9,54.9,56.9,57.9,63.9,69.9,67.9,71.9,65.1,64.1,64.1,63.1,62.1,61.1,60.1,59.1,59.1,58.1,58.1,58.1,59.1,59.1,60.1,61.1
