section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,SC-SEN,senate,Annie Andrews,Lindsey Graham,-6.58,26.3,73.7,Lean R,817605,932738,33355,1783698.0,45.84,52.29,1.87,LIB,,0.0,0,0.0,,,0.0,0.0,0.0,-14.91,5.32,False,-11.31,47.2,-2.3,,,,,,,,,,,
demographic,,,,,,,,,377880,754741,21584,,32.7,65.4,1.9,,,0.0,0,,,,,,,,,,,,,race,White,64.71,1154204.0,,,,,,,
demographic,,,,,,,,,350257,91077,8410,,77.9,20.3,1.9,,,0.0,0,,,,,,,,,,,,,race,Black,25.21,449743.0,,,,,,,
demographic,,,,,,,,,51635,48894,1916,,50.4,47.7,1.9,,,0.0,0,,,,,,,,,,,,,race,Hispanic,5.74,102445.0,,,,,,,
demographic,,,,,,,,,20619,18020,736,,52.4,45.8,1.9,,,0.0,0,,,,,,,,,,,,,race,Asian,2.21,39375.0,,,,,,,
demographic,,,,,,,,,16078,18601,661,,45.5,52.6,1.9,,,0.0,0,,,,,,,,,,,,,race,Native,1.98,35340.0,,,,,,,
demographic,,,,,,,,,1179,1364,48,,45.5,52.6,1.9,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.15,2591.0,,,,,,,
demographic,,,,,,,,,162029,138915,5735,,52.8,45.3,1.9,,,0.0,0,,,,,,,,,,,,,age,20-29,17.19,306679.0,,,,,,,
demographic,,,,,,,,,149267,144333,5595,,49.9,48.2,1.9,,,0.0,0,,,,,,,,,,,,,age,30-39,16.77,299195.0,,,,,,,
demographic,,,,,,,,,128102,151351,5325,,45.0,53.1,1.9,,,0.0,0,,,,,,,,,,,,,age,40-49,15.97,284778.0,,,,,,,
demographic,,,,,,,,,127496,170112,5671,,42.0,56.1,1.9,,,0.0,0,,,,,,,,,,,,,age,50-59,17.0,303280.0,,,,,,,
demographic,,,,,,,,,127030,169491,5651,,42.0,56.1,1.9,,,0.0,0,,,,,,,,,,,,,age,60-69,16.94,302171.0,,,,,,,
demographic,,,,,,,,,85455,109469,3715,,43.0,55.1,1.9,,,0.0,0,,,,,,,,,,,,,age,70-79,11.14,198639.0,,,,,,,
demographic,,,,,,,,,38269,49023,1663,,43.0,55.1,1.9,,,0.0,0,,,,,,,,,,,,,age,80+,4.99,88956.0,,,,,,,
demographic,,,,,,,,,87843,98950,3560,,46.1,52.0,1.9,,,0.0,0,,,,,,,,,,,,,education,No HS,10.67,190353.0,,,,,,,
demographic,,,,,,,,,209414,288872,9496,,41.2,56.9,1.9,,,0.0,0,,,,,,,,,,,,,education,HS grad,28.47,507781.0,,,,,,,
