section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,SD-SEN,senate,Julian Beaudion,Mike Rounds,-27.04,0.5,99.5,Safe R,108877,189596,0,298473.0,36.48,63.52,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-27.97,5.32,False,-23.99,52.4,8.0,,,,,,,,,,,
demographic,,,,,,,,,82475,165639,0,,33.2,66.8,0.0,,,0.0,0,,,,,,,,,,,,,race,White,83.13,248113.0,,,,,,,
demographic,,,,,,,,,5288,1385,0,,79.2,20.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,2.24,6673.0,,,,,,,
demographic,,,,,,,,,5454,5190,0,,51.2,48.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,3.57,10644.0,,,,,,,
demographic,,,,,,,,,2947,2588,0,,53.2,46.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,1.85,5535.0,,,,,,,
demographic,,,,,,,,,12507,14540,0,,46.2,53.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,9.06,27047.0,,,,,,,
demographic,,,,,,,,,213,248,0,,46.2,53.8,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.15,461.0,,,,,,,
demographic,,,,,,,,,23376,30415,0,,43.5,56.5,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,18.02,53790.0,,,,,,,
demographic,,,,,,,,,21606,31798,0,,40.5,59.5,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,17.89,53404.0,,,,,,,
demographic,,,,,,,,,15937,29010,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.06,44947.0,,,,,,,
demographic,,,,,,,,,15554,32367,0,,32.5,67.5,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,16.06,47921.0,,,,,,,
demographic,,,,,,,,,16729,34812,0,,32.5,67.5,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,17.27,51541.0,,,,,,,
demographic,,,,,,,,,9949,19787,0,,33.5,66.5,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,9.96,29736.0,,,,,,,
demographic,,,,,,,,,5732,11401,0,,33.5,66.5,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.74,17134.0,,,,,,,
demographic,,,,,,,,,8086,13736,0,,37.1,62.9,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,7.31,21822.0,,,,,,,
demographic,,,,,,,,,28600,60620,0,,32.1,67.9,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,29.89,89221.0,,,,,,,
demographic,,,,,,,,,20537,39767,0,,34.1,65.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,20.2,60304.0,,,,,,,
demographic,,,,,,,,,12791,23696,0,,35.1,64.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,12.22,36487.0,,,,,,,
demographic,,,,,,,,,25656,36834,0,,41.1,58.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,20.94,62490.0,,,,,,,
demographic,,,,,,,,,9205,10357,0,,47.1,52.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,6.55,19563.0,,,,,,,
demographic,,,,,,,,,2311,2819,0,,45.1,54.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,1.72,5130.0,,,,,,,
demographic,,,,,,,,,1696,1761,0,,49.1,50.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.16,3457.0,,,,,,,
demographic,,,,,,,,,5194,7292,0,,41.6,58.4,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,4.18,12485.0,,,,,,,
demographic,,,,,,,,,4436,6490,0,,40.6,59.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,3.66,10926.0,,,,,,,
demographic,,,,,,,,,4297,6287,0,,40.6,59.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,3.55,10583.0,,,,,,,
demographic,,,,,,,,,4464,6810,0,,39.6,60.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,3.78,11274.0,,,,,,,
demographic,,,,,,,,,4675,7437,0,,38.6,61.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,4.06,12112.0,,,,,,,
demographic,,,,,,,,,4636,7694,0,,37.6,62.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,4.13,12330.0,,,,,,,
demographic,,,,,,,,,4382,7592,0,,36.6,63.4,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,4.01,11974.0,,,,,,,
