date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-21.82,1.9,98.1,Safe R,-28.63,3.11,-22.32,-30.12,8.3,39.09,60.91,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.06,-0.54,54.8,13.0,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-02,305,-21.82,1.9,98.1,Safe R,-28.63,3.11,-22.32,-30.12,8.3,39.09,60.91,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.06,-0.54,54.8,13.0,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-03,304,-21.82,1.9,98.1,Safe R,-28.63,3.11,-22.32,-30.12,8.3,39.09,60.91,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.06,-0.54,54.8,13.0,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-04,303,-21.88,1.8,98.2,Safe R,-28.63,3.05,-22.38,-30.12,8.25,39.06,60.94,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.12,-0.54,54.9,13.3,29.9,75.9,47.9,49.9,42.9,42.9,46.0,43.0,38.0,35.0,35.0,36.0,36.0,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-05,302,-21.85,1.8,98.2,Safe R,-28.63,3.08,-22.35,-30.12,8.27,39.08,60.92,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.09,-0.54,54.9,13.2,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-06,301,-21.85,1.8,98.2,Safe R,-28.63,3.08,-22.35,-30.12,8.27,39.08,60.92,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.09,-0.54,54.9,13.2,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-07,300,-21.85,1.8,98.2,Safe R,-28.63,3.08,-22.35,-30.12,8.27,39.08,60.92,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.09,-0.54,54.9,13.1,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-08,299,-21.84,1.9,98.1,Safe R,-28.63,3.09,-22.34,-30.12,8.28,39.08,60.92,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.08,-0.54,54.9,13.1,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-09,298,-21.84,1.9,98.1,Safe R,-28.63,3.09,-22.34,-30.12,8.28,39.08,60.92,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.08,-0.54,54.9,13.1,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
2026-01-10,297,-21.84,1.9,98.1,Safe R,-28.63,3.09,-22.34,-30.12,8.28,39.08,60.92,0.0,False,False,,,,0.0,0.0,0.0,32.0,51.0,1,-19.0,0.15,-26.08,-0.54,54.9,13.1,29.9,75.9,47.9,49.9,42.9,42.9,46.1,43.1,38.1,35.1,35.1,36.1,36.1,39.6,34.6,36.6,37.6,43.6,49.6,47.6,51.6,44.0,43.0,43.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,37.0,37.0,38.0,38.0,39.0,40.0
